id,api_type,api_name,http_verb,uri,descriptions,parameters,amorphous_uri,tidy_uri,amorphous_comment,inconsistent_archetype,consistent_archetype,inconsistent_archetype_comment,flat_endpoint,structured_endpoint,flat_endpoint_comment
1,REST,Adobe Audience Manager,PUT , /models/{modelId} ," Updates an algorithmic model.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
2,REST,Adobe Audience Manager,DELETE , /models/{modelId} ," Deletes an algorithmic model.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
3,REST,Adobe Audience Manager,GET , /models ," Returns an array of algorithmic models and their summary.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
4,REST,Adobe Audience Manager,POST , /models ," Creates an algorithmic model.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
5,REST,Adobe Audience Manager,GET , /models/{modelId}/processing-history ," Returns an array of UNIX time stamps (UTC) of successful data runs for your model.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
6,REST,Adobe Audience Manager,GET , /models/{modelId}/runs/latest/traits ," Returns a list of your most influential (accurate) traits for your algorithmic model.
",,0,1,Tidy Endpoint,1,0,Plural Nouns Found in Consecutive Nodes,0,1,Structed Endpoint
7,REST,Adobe Audience Manager,GET , /models/{modelId}/runs/latest/stats ," Returns accuracy and reach values for your algorithmic model.
",,0,1,Tidy Endpoint,1,0,Plural Nouns Found in Consecutive Nodes,0,1,Structed Endpoint
8,REST,Adobe Audience Manager,POST , /models/bulk-delete ," Delete multiple algorithmic models with a single operation.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
9,REST,Adobe Audience Manager,GET , /models/limits ," Returns a count of the maximum number of algorithmic models you can create.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
10,REST,Adobe Audience Manager,GET , /algorithms/{algoTypeId} ," Returns ID, name, and description for the algorithm based on the passed in algoTypeId.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
11,REST,Adobe Audience Manager,GET , /algorithms ," Returns ID, name, and description for the available algorithms.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
12,REST,Adobe Audience Manager,GET , /available-data-feeds/ ," Gets the 'Available Data Feed' resources for a buyer.
",,1,0, [trailing slash found] ,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
13,REST,Adobe Audience Manager,GET , /available-data-feeds/{dataSourceId} ," Gets the data feed from the perspective of the buyer.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
14,REST,Adobe Audience Manager,GET , /available-data-feeds/{dataSourceId}/plans ," Gets the plans which belong to the data feed, from the perspective of the buyer.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
15,REST,Adobe Audience Manager,POST , /available-data-feeds/{dataSourceId}/subscribe ," Creates/Updates subscription to an available data feed.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
16,REST,Adobe Audience Manager,POST , /available-data-feeds/{dataSourceId}/requests ," Creates a request for an available data feed.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
17,REST,Adobe Audience Manager,GET , /data-feeds/billing-report ," Gets the billing report for last month
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
18,REST,Adobe Audience Manager,POST , /data-feeds/billing-report ," Gets the billing report for last month in CSV format
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
19,REST,Adobe Audience Manager,POST , /data-feeds/usage ," Inserts impression data for the plan subscription for last month.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
20,REST,Adobe Audience Manager,POST , /data-feeds/bulk-usage ," Inserts bulk impression data for multiple plan subscriptions for last month.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
21,REST,Adobe Audience Manager,GET , /destinations/segment-impressions/ ," Returns all the segments and corresponding impression counts for all destinations
",,1,0, [trailing slash found] ,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
22,REST,Adobe Audience Manager,PATCH , /destinations/segment-impressions/ ," Updates the segments and corresponding impression counts for destinations
",,1,0, [trailing slash found] ,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
23,REST,Adobe Audience Manager,GET , /data-feeds/ ," Gets the `Data Feed` resources.
",,1,0, [trailing slash found] ,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
24,REST,Adobe Audience Manager,POST , /data-feeds/ ," Creates a new `Data Feed`.
",,1,0, [trailing slash found] ,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
25,REST,Adobe Audience Manager,GET , /data-feeds/{dataSourceId} ," Gets the 'Data Feed' resource by the 'Feed ID' or 'Data Source ID'.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
26,REST,Adobe Audience Manager,PUT , /data-feeds/{dataSourceId} ," Updates the 'Data Feed'.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
27,REST,Adobe Audience Manager,DELETE , /data-feeds/{dataSourceId} ," Deletes the 'Data Feed' resource by the 'Feed ID' or 'Data Source ID'.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
28,REST,Adobe Audience Manager,GET , /data-feeds/{dataSourceId}/plans/ ," Gets the list of plans under a 'Data Feed'.
",,1,0, [trailing slash found] ,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
29,REST,Adobe Audience Manager,POST , /data-feeds/{dataSourceId}/plans/ ," Creates a new 'Plan' (also known as rate card) for this 'Data Feed'.
",,1,0, [trailing slash found] ,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
30,REST,Adobe Audience Manager,GET , /data-feeds/{dataSourceId}/subscriptions ," Gets the list of 'Subscriptions' under a 'Data Feed'.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
31,REST,Adobe Audience Manager,PUT , /data-feeds/{dataSourceId}/subscriptions ," Updates the list of 'Subscriptions' under a 'Data Feed'.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
32,REST,Adobe Audience Manager,GET , /data-feeds/{dataSourceId}/requests/ ," Gets the list of 'Subscriptions Request' under a 'Data Feed'.
",,1,0, [trailing slash found] ,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
33,REST,Adobe Audience Manager,POST , /data-feeds/{dataSourceId}/requests/ ," Creates a 'Subscription' under a 'Data Feed'.
",,1,0, [trailing slash found] ,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
