API Name,Amorphous Endpoint,Tidy Endpoint,Contextless Resource,Contextual Resource,CRUDy Endpoint,Verbless Endpoint,Inconsistent Documentation,Consistent Documentation,NonDescriptive Endpoint,Descriptive Endpoint,NonHierarchical Nodes,Hierarchical Nodes,NonPertinent Documentation,Pertinent Documentation,NonStandard Endpoint,Standard Endpoint,Pluralized Nodes,Singularized Nodes,Unversioned Endpoint,Versioned Endpoint,Parameter Tunneling,Parameter Adherence,Inconsistent Archetype,Consistent Archetype,Identifier Ambiguity,Identifier Annotation,Flat Endpoint,Structured Endpoint
Adobe Audience Manager,16,49,0,65,4,61,9,56,1,64,2,63,0,65,0,65,10,55,65,0,0,65,7,58,0,65,8,57
Amazon AWS Core IoT,0,150,11,139,11,139,18,132,2,148,23,127,2,148,0,150,31,119,148,2,22,128,16,134,0,150,13,137
Apple App Store Connect,0,32,0,32,0,32,0,32,1,31,0,32,4,28,0,32,0,32,32,0,0,32,0,32,0,32,0,32
Arduino IoT Cloud,3,17,0,20,0,20,8,12,0,20,1,19,1,19,0,20,8,12,20,0,0,20,2,18,0,20,2,18
Bitholic,0,6,0,6,1,5,0,6,0,6,0,6,1,5,0,6,0,6,6,0,0,6,0,6,0,6,0,6
BroadCom,8,32,0,40,4,36,3,37,8,32,19,21,2,38,1,39,9,31,40,0,0,40,1,39,0,40,0,40
Cisco Flare,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,25,0,0,25,10,15,0,25,0,25
ClearBlade,0,45,0,45,0,45,3,42,0,45,7,38,7,38,0,45,18,27,36,9,0,45,7,38,0,45,0,45
Coursera,0,230,0,230,0,230,25,205,64,166,16,214,32,198,22,208,0,230,0,230,9,221,167,63,0,230,13,217
Dropbox,62,12,0,74,32,42,46,28,1,73,5,69,0,74,0,74,70,4,60,14,0,74,29,45,0,74,24,50
Droplit,22,30,0,52,1,51,6,46,2,50,0,52,1,51,0,52,8,44,52,0,0,52,6,46,0,52,0,52
Google Nest,35,0,0,35,0,35,1,34,1,34,30,5,0,35,0,35,2,33,35,0,0,35,35,0,0,35,12,23
GroupWise,0,56,0,56,0,56,2,54,4,52,4,52,2,54,0,56,5,51,56,0,1,55,17,39,0,56,0,56
Guardian,0,5,0,5,1,4,4,1,0,5,0,5,0,5,0,5,2,3,5,0,0,5,0,5,0,5,0,5
IBM Watson IoT,0,57,2,55,3,54,6,51,6,51,12,45,1,56,0,57,11,46,57,0,0,57,33,24,0,57,0,57
IBM Cloud Pak System,22,12,0,34,0,34,2,32,12,22,2,32,3,31,14,20,4,30,34,0,0,34,29,5,0,34,1,33
