HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET 	 /ping 	 Returns the literal string 'pong'.  n/a 	 0 	 1 	
GET 	 /pingInStoreReader 	 Triggers a beep on a connected Reader and returns the Reader information or an error if unable to ping the device. 	 0 	 1 	
GET 	 /viewer 	 The currently authenticated viewer.  n/a 	 0 	 1 	
GET 	 /clientConfiguration 	 The client-side environment and payment method configuration. n/a 	 0 	 1 	
GET 	 /node 	 Fetch any object that extends the Node interface using its ID. n/a 	 0 	 1 	
GET 	 /idFromLegacyId 	 Get a GraphQL ID from a legacy ID that was returned from an SDK or a legacyId field. Does not verify existence except for payment methods.  n/a 	 0 	 1 	
GET 	 /report 	 A collection of the available reports. Each field on the Report type is a different report that can be queried with its own input parameters. n/a 	 0 	 1 	
GET 	 /search 	 A collection of the available searches. Each field on the Search type is a different search that can be queried with its own input parameters. n/a 	 0 	 1 	
GET 	 /paypalFinancingOptions 	 Retrieve PayPal financing options that include payment installment plans. n/a 	 0 	 1 	
GET 	 /inStoreLocations 	 Retrieve a paginated list of all in-store locations.  n/a 	 0 	 1 	
POST 	 /authorizePaymentMethod 	 Authorize an eligible payment method and return a payload that includes details of the resulting transaction. n/a 	 0 	 1 	
POST 	 /authorizePayPalAccount 	 Authorize an eligible PayPal account and return a payload that includes details of the resulting transaction. n/a 	 0 	 1 	
POST 	 /authorizeVenmoAccount 	 Authorize an eligible Venmo account and return a payload that includes details of the resulting transaction.  n/a 	 0 	 1 	
POST 	 /authorizeCreditCard 	 Authorize a credit card of any origin and return a payload that includes details of the resulting transaction.  n/a 	 0 	 1 	
POST 	 /captureTransaction 	 Capture an authorized transaction and return a payload that includes details of the transaction.  n/a 	 0 	 1 	
POST 	 /chargeUsBankAccount 	 Charge a US bank account and return a payload that includes details of the resulting transaction. See https://developers.braintreepayments.com/guides/ach/configuration for information on eligibility and setup. n/a 	 0 	 1 	
POST 	 /chargePayPalAccount 	 Charge a PayPal account and return a payload that includes details of the resulting transaction. n/a 	 0 	 1 	
POST 	 /chargeVenmoAccount 	 Charge a Venmo account and return a payload that includes details of the resulting transaction. See https://articles.braintreepayments.com/guides/payment-methods/venmo for information on eligibility and setup. n/a 	 0 	 1 	
POST 	 /chargeCreditCard 	 Charge a credit card of any origin and return a payload that includes details of the resulting transaction. n/a 	 0 	 1 	
POST 	 /vaultPaymentMethod 	 Vault payment information from a single-use payment method and return a payload that includes a new multi-use payment method. When vaulting a credit card, by default, this mutation will also verify that card before vaulting. n/a 	 0 	 1 	
POST 	 /vaultUsBankAccount 	 Vault payment information from a single-use US bank account payment method and return a payload that includes a new multi-use payment method. n/a 	 0 	 1 	
POST 	 /vaultCreditCard 	 Vault payment information from a single-use credit card and return a payload that includes a new multi-use payment method. By default, this mutation will also verify the card before vaulting. n/a 	 0 	 1 	
POST 	 /refundTransaction 	 Refund a settled transaction and return a payload that includes details of the refund.  n/a 	 0 	 1 	
POST 	 /reverseTransaction 	 Reverse a transaction and return a payload that includes either the voided transaction or a refund. n/a 	 0 	 1 	
POST 	 /reverseRefund 	 Reverse a refund and return a payload that includes voided refund. n/a 	 0 	 1 	
POST 	 /refundCreditCard 	 Create a detached refund (unassociated with any previous Braintree payment) to a credit card and return a payload that includes details of the refund. We have previously referred to this as issuing a "detached credit," and it is disallowed by default. See the documentation for more information regarding eligibility and configuration. n/a 	 0 	 1 	
