HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET	/codeOfConduct	Look up a code of conduct by its key.  key: The code of conduct's key. 	 0 	 1 	 Contextual Resource Names
GET	/codesOfConduct	Look up a code of conduct by its key. 	 0 	 1 	 Contextual Resource Names
GET	/enterprise	Look up an enterprise by URL slug.  invitationToken: The enterprise invitation token., slug: The enterprise URL slug. 	 0 	 1 	 Contextual Resource Names
GET	/enterpriseAdministratorInvitation	Look up a pending enterprise administrator invitation by invitee, enterprise and role.  enterpriseSlug: The slug of the enterprise the user was invited to join., role: The role for the business member invitation., userLogin: The login of the user invited to join the business. 	 0 	 1 	 Contextual Resource Names
GET	/enterpriseAdministratorInvitationByToken	Look up a pending enterprise administrator invitation by invitation token.  invitationToken: The invitation token sent with the invitation email. 	 0 	 1 	 Contextual Resource Names
GET	/license	Look up an open source license by its key.  key: The license's downcased SPDX ID. 	 0 	 1 	 Contextual Resource Names
GET	/licenses	Return a list of known open source licenses. 	 0 	 1 	 Contextual Resource Names
GET	/marketplaceCategories	Get alphabetically sorted list of Marketplace categories.  excludeEmpty: Exclude categories with no listings., excludeSubcategories: Returns top level categories only, excluding any subcategories., includeCategories: Return only the specified categories. 	 0 	 1 	 Contextual Resource Names
GET	/marketplaceCategory	Look up a Marketplace category by its slug.  slug: The URL slug of the category., useTopicAliases: Also check topic aliases for the category slug. 	 0 	 1 	 Contextual Resource Names
GET	/marketplaceListing	Look up a single Marketplace listing.  slug: Select the listing that matches this slug. It's the short name of the listing used in its URL. 	 0 	 1 	 Contextual Resource Names
