HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET 	 /abuseReport/{id} 	 Find an abuse report.  id AbuseReportID! ID of the abuse report. 	 0 	 1 	
GET 	 /abuseReportLabels 	 Abuse report labels.  searchTerm String Search term to find labels with. 	 0 	 1 	
GET 	 /addOnPurchase/{id} 	 Retrieve the active add-on purchase. This query can be used in GitLab SaaS and self-managed environments addOnType	GitlabSubscriptionsAddOnType!	Type of add-on for the add-on purchase. namespaceId	NamespaceID	ID of namespace that the add-on was purchased for. 	 0 	 1 	
GET 	 /aiMessages 	 Find GitLab Duo Chat messages.  requestIds [ID!] Array of request IDs to fetch. roles [AiMessageRole!] Array of roles to fetch. 	 0 	 1 	
GET 	 /auditEventDefinitions 	 Definitions for all audit events available on the instance.  n/a 	 0 	 1 	
GET 	 /auditEventsInstanceAmazonS3Configurations 	 Instance-level Amazon S3 configurations for audit events. n/a 	 1 	 0 	 [uppercase found] 
GET 	 /boardList/{id} 	 Find an issue board list.  id ListID! Global ID of the list. 	 0 	 1 	
GET 	 /ciCatalogResource/{id} 	 A single CI/CD Catalog resource visible to an authorized user.  id CiCatalogResourceID CI/CD Catalog resource global ID. 	 0 	 1 	
GET 	 /ciCatalogResources/{projectPath} 	 All CI/CD Catalog resources under a common namespace, visible to an authorized user.  projectPath ID Project with the namespace catalog. 	 0 	 1 	
GET 	 /ciConfig/{projectPath} 	 Linted and processed contents of a CI config. Should not be requested more than once per request  projectPath ID! Project of the CI config. 	 0 	 1 	
GET 	 /ciMinutesUsage/{namespaceId} 	 Compute usage data for a namespace.  namespaceId NamespaceID Global ID of the Namespace for the monthly compute usage. 	 0 	 1 	
GET 	 /ciPipelineStage/{id} 	 Stage belonging to a CI pipeline. id CiStageID! Global ID of the CI stage. 	 0 	 1 	
GET 	 /ciQueueingHistory 	 Time it took for ci job to be picked up by runner in percentiles. n/a 	 0 	 1 	
GET 	 /ciVariables 	 List of the instanceâ€™s CI/CD variables.  n/a 	 0 	 1 	
GET 	 /containerRepository/{id} 	 Find a container repository.  id ContainerRepositoryID! Global ID of the container repository. 	 0 	 1 	
GET 	 /currentLicense 	 Fields related to the current license.  n/a 	 0 	 1 	
GET 	 /currentUser 	 Get information about current user.  n/a 	 0 	 1 	
GET 	 /designManagement 	 Fields related to design management.  n/a 	 0 	 1 	
GET 	 /devopsAdoptionEnabledNamespaces/{displayNamespaceId} 	 Get configured DevOps adoption namespaces. BETA This endpoint is subject to change without notice.  displayNamespaceId NamespaceID Filter by display namespace. 	 0 	 1 	
GET 	 /echo 	 Testing endpoint to validate the API with.  n/a 	 0 	 1 	
GET 	 /epicBoardList/{id} 	 Returns EpicList.  id BoardsEpicListID! Global ID of the list. 	 0 	 1 	
