HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET 	 /allCards 	 Fetches all pipe cards based on arguments  n/a 	 0 	 1 	 Regular methods
GET 	 /autoFillFields 	 Lookup the values that will automatically fill the child-card's start form fields n/a 	 0 	 1 	 Regular methods
GET 	 /card 	 Lookup a card by its ID  n/a 	 0 	 1 	 Regular methods
GET 	 /cards 	 Fetches a group of cards based on arguments n/a 	 0 	 1 	 Regular methods
GET 	 /cardsImportations/{pipeId} 	 Lookup the cards importer history by the pipe ID pipeId: ID! Required. The pipe ID 	 0 	 1 	 Regular methods
GET 	 /findCards/{pipeId} 	 Fetch cards based on fields' inputs  pipeId: ID! Required. The pipe ID 	 0 	 1 	 Regular methods
GET 	 /findCards/{tableId} 	 Fetch records based on fields' inputs tableId: String! Required. The table ID 	 0 	 1 	 Regular methods
GET 	 /inbox_emails/card_id 	 Lookup the card's emails by its ID card_id: ID! Required. The card ID 	 0 	 1 	 Regular methods
GET 	 /me 	 Returns informations of the current authenticated user n/a 	 0 	 1 	 Regular methods
GET 	 /organization/{id} 	 Lookup an organization by its ID id: ID! Required. The organization ID 	 0 	 1 	 Regular methods
GET 	 /organizations/{ids} 	 Lookup organizations by their ID ids: [ID] The organizations IDs 	 0 	 1 	 Regular methods
GET 	 /phase/{id} 	 Lookup a phase by its ID  id: ID! Required. The phase ID 	 0 	 1 	 Regular methods
GET 	 /pipe/{id} 	 Lookup a pipe by its ID id: ID! Required. The pipe ID 	 0 	 1 	 Regular methods
GET 	 /pipeReportExport/{id} 	 Lookup a pipe report export by its ID id: ID! Required. The export ID 	 0 	 1 	 Regular methods
GET 	 /pipe/{ids} 	 Lookup a pipe by their ID ids: ID! Required. The pipes ID 	 0 	 1 	 Regular methods
GET 	 /pipe_relations/{id} 	 Lookup pipe relations by their ID ids: [ID]! Required. The pipe relation ID 	 0 	 1 	 Regular methods
GET 	 /pipe_templates 	 Lookup all pipe templates available on Pipefy n/a 	 0 	 1 	 Regular methods
GET 	 /recordsImportations/{tableID} 	 Lookup the records importer history by the table ID tableId: ID! Required. The table ID 	 0 	 1 	 Regular methods
GET 	 /table/{id} 	 Lookup a database table by its ID  id: ID! Required. The table ID 	 0 	 1 	 Regular methods
GET 	 /table/{ids} 	 Lookup a database tables by their ID  ids: ID! Required. The table ID 	 0 	 1 	 Regular methods
GET 	 /table_record/{id} 	 Lookup a record by its ID  id: ID! Required. The record ID 	 0 	 1 	 Regular methods
GET 	 /table_records/{table_id} 	 Fetches a group of records based on arguments table_id: ID! Required. The table ID 	 0 	 1 	 Regular methods
GET 	 /table_relations/{ids} 	 Lookup table relations by their ID ids: [ID]! Required. The table relation ID 	 0 	 1 	 Regular methods
POST 	 /clonePipes 	 Clones a pipe  n/a 	 0 	 1 	  [Pluralized last node with POST method.] 
POST 	 /createCard 	 Creates a card n/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 /createCardRelation 	 Creates a card relation n/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 /createComment 	 Creates a comment  n/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 /createFieldCondition 	 Creates a field condition n/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 /createInboxEmail 	 Creates an email n/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 /createLabel 	 Creates a label  n/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 /createOrganization 	 Creates an organization n/a 	 1 	 0 	  [Singular last node with POST method.] 
