HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
POST	/delegateAccessTokenCreate	creating a delegate access token. n/a 	 0 	 1 	 Consistent Documentation
POST	/storefrontAccessTokenCreate	Creates a storefront access token. An app can have a maximum of 100 active storefront access tokens for each shop. n/a 	 0 	 1 	 Consistent Documentation
POST	/storefrontAccessTokenDelete	Deletes a storefront access token.  n/a 	 1 	 0 	 Inconsistent Documentation
POST	/AccessScope	The permission required to access a Shopify Admin API or Storefront API resource for a shop. Merchants grant access scopes that are requested by applications. n/a 	 0 	 1 	 Consistent Documentation
POST	/DelegateAccessToken	A token that delegates a set of scopes from the original permission. n/a 	 0 	 1 	 Consistent Documentation
POST	/StorefrontAccessToken	A token that's used to delegate unauthenticated access scopes to clients that need to access the unauthenticated Storefront API. An app can have a maximum of 100 active storefront access tokens for each shop. n/a 	 0 	 1 	 Consistent Documentation
GET	/shopifyqlQuery	Returns the results of a ShopifyQL query  n/a 	 0 	 1 	 Consistent Documentation
POST	/ErrorPosition	Error position information in a ShopifyQL parsing error.  n/a 	 0 	 1 	 Consistent Documentation
POST	/ParseError	A ShopifyQL parsing error. n/a 	 0 	 1 	 Consistent Documentation
POST	/ParseErrorRange	A range of ShopifyQL parsing errors. n/a 	 0 	 1 	 Consistent Documentation
POST	/PolarisVizDataPoint	A PolarisViz data point structure for ShopifyQL query. n/a 	 1 	 0 	 Inconsistent Documentation
POST	/PolarisVizDataSeries	The data series used for PolarisViz visualization. n/a 	 0 	 1 	 Consistent Documentation
POST	/PolarisVizResponse	A PolarisViz response to a ShopifyQL query. n/a 	 1 	 0 	 Inconsistent Documentation
POST	/TableData	The result in a tabular format with schema information and formatted and unformatted row data. n/a 	 0 	 1 	 Consistent Documentation
POST	/TableDataColumn	A nested array representation of the data. An index in an array represents a row number. n/a 	 0 	 1 	 Consistent Documentation
POST	/TableResponse	The default table response structure for a ShopifyQL query.  n/a 	 1 	 0 	 Inconsistent Documentation
GET	/query/{id}	Lookup an App by ID or return the currently authenticated App.  id ID The ID to lookup the App by. 	 0 	 1 	 Consistent Documentation
GET	/appByHandle	Fetches app by handle. Returns null if the app doesn't exist. 	 0 	 1 	 Consistent Documentation
GET	/appByKey	Fetches an app by its client ID. Returns null if the app doesn't exist. 	 0 	 1 	 Consistent Documentation
GET	/appInstallation/{id}	Lookup an AppInstallation by ID or return the AppInstallation for the currently authenticated App. id ID ID used to lookup AppInstallation. 	 0 	 1 	 Consistent Documentation
GET	/appInstallations	A list of app installations. To use this query, you need to contact Shopify Support to grant your custom app the read_apps access scope. Public apps can't be granted this access scope. 	 0 	 1 	 Consistent Documentation
GET	/currentAppInstallation	Return the AppInstallation for the currently authenticated App. 	 0 	 1 	 Consistent Documentation
GET	/publication/{id}	Lookup a publication by ID. id id ID! non-null The ID of the Publication to return. 	 0 	 1 	 Consistent Documentation
GET	/publications	List of publications. 	 0 	 1 	 Consistent Documentation
POST	/publicationCreate	Creates a publication. 	 0 	 1 	 Consistent Documentation
POST	/publicationDelete{id}	Deletes a publication. id ID! required The ID of the publication to delete. 	 1 	 0 	 Inconsistent Documentation
POST	/publicationUpdate	Updates a publication.  id ID! required The ID of the publication to update. 	 1 	 0 	 Inconsistent Documentation
POST	/AppFeedback	Reports the status of shops and their resources and displays this information within Shopify admin. AppFeedback is used to notify merchants about steps they need to take to set up an app on their store. 	 0 	 1 	 Consistent Documentation
POST	/AppInstallation	Represents an installed application on a shop. 	 0 	 1 	 Consistent Documentation
POST	/FailedRequirement	Requirements that must be met before an app can be installed. 	 0 	 1 	 Consistent Documentation
POST	/Link	A link to direct users to. 	 0 	 1 	 Consistent Documentation
POST	/Publication	A publication is a group of products and collections that is published to an app. 	 0 	 1 	 Consistent Documentation
POST	/ResourceFeedback	Represents feedback from apps about a resource, and the steps required to set up the apps on the shop. 	 0 	 1 	 Consistent Documentation
