HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
POST 	 /account/set_profile_photo 	 Sets a user's profile photo. 	 0 	 1 	 Self-descriptive End-point
POST 	 /auth/token/from_oauth1 	 Creates an OAuth 2.0 access token from the supplied OAuth 1.0 access token. 	 0 	 1 	 Self-descriptive End-point
POST 	 /auth/token/revoke 	 Disables the access token used to authenticate the call. If there is a corresponding refresh token for the access token, this disables that refresh token, as well as any other access tokens for that refresh token. 	 0 	 1 	 Self-descriptive End-point
POST 	 /check/app 	 This endpoint performs App Authentication, validating the supplied app key and secret, and returns the supplied string, to allow you to test your code and connection to the Dropbox API. It has no other effect. If you receive an HTTP 200 response with the supplied query, it indicates at least part of the Dropbox API infrastructure is working and that the app key and secret valid. 	 0 	 1 	 Self-descriptive End-point
POST 	 /check/user 	 This endpoint performs User Authentication, validating the supplied access token, and returns the supplied string, to allow you to test your code and connection to the Dropbox API. It has no other effect. If you receive an HTTP 200 response with the supplied query, it indicates at least part of the Dropbox API infrastructure is working and that the access token is valid. 	 0 	 1 	 Self-descriptive End-point
POST 	 /contacts/delete_manual_contacts 	 Removes all manually added contacts. You'll still keep contacts who are on your team or who you imported. New contacts will be added when you share. 	 0 	 1 	 Self-descriptive End-point
POST 	 /contacts/delete_manual_contacts_batch 	 Removes manually added contacts from the given list. 	 0 	 1 	 Self-descriptive End-point
POST 	 /file_properties/properties/add 	 Add property groups to a Dropbox file. See templates/add_for_user or templates/add_for_team to create new templates. 	 0 	 1 	 Self-descriptive End-point
POST 	 /file_properties/properties/overwrite 	 Overwrite property groups associated with a file. This endpoint should be used instead of properties/update when property groups are being updated via a "snapshot" instead of via a "delta". In other words, this endpoint will delete all omitted fields from a property group, whereas properties/update will only delete fields that are explicitly marked for deletion. 	 0 	 1 	 Self-descriptive End-point
POST 	 /file_properties/properties/search/continue 	 Once a cursor has been retrieved from properties/search, use this to paginate through all search results. 	 0 	 1 	 Self-descriptive End-point
