HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET 	 /list/{type} 	 Get a list of Objects given the type For example: /gwadmin-service/list/USER (will return all users) 	 1 	 0 	 No Version Found
GET 	 /list/{type}/{base} 	 Get a list of Objects given the type For example: /gwadmin-service/list/USER (will return all users) 	 1 	 0 	 No Version Found
GET 	 /application 	 Generates and displays the API documentation (this document) taken from the WADL and programming documentation. Note: You can also use "application.wadl" resource to get the actual WADL document. 	 1 	 0 	 No Version Found
GET 	 /async?state 	 Used to run and track asynchronous operations. Use AsyncApi.run() to schedule a new asynchronous job. The job will be registered in the list of running jobs and will be queryable through the /async/{jobId} resource. After the jobs completes it will remain in the list of active jobs for REMOVE_DELAY (currently 60 seconds) at which time it is auto-removed. It can be removed before that time using the DELETE on /async/{jobId}. 	 1 	 0 	 No Version Found
GET 	 /async/{id} 	 Get a particular asynchronous job status 	 1 	 0 	 No Version Found
DELETE 	 /async/{id} 	 Delete a job. If the job is done, then it is removed. If the job is not yet done then a request will be sent to the thread executing the job to cancel it. Once the job is canceled it will remove itself from the job list. 	 1 	 0 	 No Version Found
GET 	 /diagnostics/attributes?locale 	 Return a map of attribute id to names. 	 1 	 0 	 No Version Found
GET 	 /diagnostics/index 	 Returns the list of available indices to query 	 1 	 0 	 No Version Found
GET 	 /diagnostics/index/{index}?attrs 	 Reads objects from the specified index 	 1 	 0 	 No Version Found
GET 	 /diagnostics/object/{id} 	 Dump an object from the domain database identified by it's DRN and record type. 	 1 	 0 	 No Version Found
GET 	 /domains 	 Get a list of Domains for this system. 	 1 	 0 	 No Version Found
POST 	 /domains 	 Create a domain given the data. Note: The "rebuild" resource should be used to create the related database file (wpdomain.db) afterwards. 	 1 	 0 	 No Version Found
DELETE 	 /domains/{domain} 	 Delete a specific Domain given the domain name 	 1 	 0 	 No Version Found
PUT 	 /domains/{domain} 	 Update a GroupWise Domain given the Domain data 	 1 	 0 	 No Version Found
GET 	 /domains/{domain} 	 Get a specific Domain given the name 	 1 	 0 	 No Version Found
GET 	 /domains/{domain}/addressbook/fields 	 Returns the address book fields available for adding to a view. Note that this excludes admin defined fields which can only be added to a view if they have been properly mapped to a directory attribute. 	 1 	 0 	 No Version Found
GET 	 /domains/{domain}/addressbook/labels 	 Get the address book labels defined for the domain 	 1 	 0 	 No Version Found
PUT 	 /domains/{domain}/addressbook/labels/{field} 	 Set the address book label for the given field 	 1 	 0 	 No Version Found
DELETE 	 /domains/{domain}/addressbook/labels/{field} 	 Delete the address book label for the given field 	 1 	 0 	 No Version Found
GET 	 /domains/{domain}/addressbook/view 	 Returns the address book view defined for the domain 	 1 	 0 	 No Version Found
PUT 	 /domains/{domain}/addressbook/view 	 Returns the address book view defined for the domain 	 1 	 0 	 No Version Found
GET 	 /domains/{domain}/administrator 	 Return the administrator for this domain 	 1 	 0 	 No Version Found
PUT 	 /domains/{domain}/administrator 	 Set the administrator for this domain 	 1 	 0 	 No Version Found
DELETE 	 /domains/{domain}/administrator 	 Clear the administrator for this domain 	 1 	 0 	 No Version Found
GET 	 /domains/{domain}/clientoptions?attrs 	 Get the Client Options under a specific Domain 	 1 	 0 	 No Version Found
PUT 	 /domains/{domain}/clientoptions?attrs 	 Update the Client Options under a specific Domain 	 1 	 0 	 No Version Found
GET 	 /domains/{domain}/customaddresses 	 Get all Custom Addresses under a specific Domain 	 1 	 0 	 No Version Found
GET 	 /domains/{domain}/customaddresses/test?testAddress 	 Test the Custom Addresses that are associated with this Domain using the specified testAddress value. Returns a response that is the evaluated custom address test string 	 1 	 0 	 No Version Found
GET 	 /domains/{domain}/gatewaysubdirs 	 List the gateway sub-directories for the domain. 	 1 	 0 	 No Version Found
GET 	 /domains/{domain}/info 	 Retrieve statistical information about the objects contained in this domain 	 1 	 0 	 No Version Found
GET 	 /domains/{domain}/links?direction 	 List the links for this domain. Specify a 'direction' query parameter to read either the inbound or outbound links. If no direction is specified then all links are read (both inbound and outbound). 	 1 	 0 	 No Version Found
GET 	 /domains/{domain}/links/{link} 	 Get the domain link between domainName and linkName 	 1 	 0 	 No Version Found
PUT 	 /domains/{domain}/links/{link} 	 Update the domain link between domainName and linkName 	 1 	 0 	 No Version Found
POST 	 /domains/{domain}/rebuild 	 Rebuild a specific Domain given the Domain name. This command will rebuild the database (wpdomain.db) file and place it in the respective folder where it belongs. It will also ensure that the service is configured properly for this Domain. Note that this command requires an AdminService object be configured to communicate with the respective service. 	 1 	 0 	 No Version Found
GET 	 /domains/{domain}/refaccesscontrols 	 Get the Access Control List for the domain 	 1 	 0 	 No Version Found
PUT 	 /domains/{domain}/refaccesscontrols 	 Update the Access Control List for the domain 	 1 	 0 	 No Version Found
GET 	 /domains/attributes 	 Get all available Domain Attributes 	 1 	 0 	 No Version Found
