HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET 	 /me 	 To identify and retrieve the current member's profile based on the access token 	 1 	 0 	 No Version Found
GET 	 /people/(id:{person ID}) 	 To retrieve another member's profile, you will need access to the Person ID, available only via certain limited access APIs and subject to member privacy settings. 	 1 	 0 	 No Version Found
GET 	 /people/(id:{profile ID})?projection=(id,firstName,lastName) 	 By default, only the Lite Profile Fields are returned for a profile request. See the Profile Fields document for a full list of supported fields. To request more or less fields, you must have additional permissions that are only granted to select partners. Please refer to the field projections on proper syntax. 	 1 	 0 	 No Version Found
GET 	 /salesContracts?q=contractsByMember 	 Find all contracts where user has an active seat. 	 1 	 0 	 No Version Found
GET 	 /salesAnalyticsExportJobs/{jobId}?contract={contractUrn} 	 Fetches the SalesAnalyticsExportJob object corresponding to the job id with the latest status 	 1 	 0 	 No Version Found
POST 	 /salesAnalyticsExportJobs?action=exportSeatData 	 Export data about seat holders. For example, seat holder name, seat status, Social Selling Index scores, total connections. A new SalesAnalyticsExportJob with jobId and status as ENQUEUED will be returned. 	 1 	 0 	 No Version Found
POST 	 /salesAnalyticsExportJobs?action=exportActivityOutcomeData 	 Export results of performed activities. For example InMails accepted and rejected. A new SalesAnalyticsExportJob with jobId and status as ENQUEUED will be returned. 	 1 	 0 	 No Version Found
POST 	 /salesAnalyticsExportJobs?action=exportActivityData 	 Export activities performed by seat holders. For example, saving leads, performing searches, and sending InMail. A new SalesAnalyticsExportJob with jobId and status as ENQUEUED will be returned. 	 1 	 0 	 No Version Found
GET 	 /salesAccessTokens?q=viewerAndDeveloperApp 	 This resource returns a Sales Access Token to be used in Sales Navigator Display Services iframe for creating authenticated iframe session. 	 1 	 0 	 No Version Found
GET 	 /salesNavigatorProfileAssociations/(instanceId:foo,partner:bar,recordId:baz) 	 Fetches the corresponding match when provided with a SalesNavigatorProfileAssociationKey. 	 1 	 0 	 No Version Found
GET 	 /salesNavigatorProfileAssociations?ids=List((instanceId:foo,partner:bar,recordId:foo),(instanceId:foo,partner:bar,recordId:bar)) 	 Batch fetches the corresponding match when provided with multiple SalesNavigatorProfileAssociationKeys. 	 1 	 0 	 No Version Found
POST 	 /crmDataValidationExportJobs?crmInstanceId={crmInstanceId} 	 Allows creation of CRM data validation export jobs. 	 1 	 0 	 No Version Found
GET 	 /crmDataValidationExportJobs/{jobId}?crmInstanceId={crmInstanceId} 	 Get the CRM data validation export based on the export job id. 	 1 	 0 	 No Version Found
