HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
PUT 	 /setResultSummaryState?accessKey={accessKey} 	 Change the result summary state. 	 1 	 0 	 No Version Found
GET 	 /getResultSummaryState/{id}?accessKey={accessKey} 	 Returns the result summary state. 	 1 	 0 	 No Version Found
GET 	 /getPublicResultSummaryState/{id} 	 Returns public result summary state. 	 1 	 0 	 No Version Found
GET 	 /getSurveyResults/{id}?accessKey={accessKey}&from={from}&till={till} 	 Returns survey results. 	 1 	 0 	 No Version Found
GET 	 /getSurveyPublicResults/{id}?from={from}&till={till} 	 Returns survey public results. 	 1 	 0 	 No Version Found
GET 	 /generateAccessKey?accessKey={accessKey} 	 Generates a new access key. The old access key becomes invalid. 	 1 	 0 	 No Version Found
GET 	 /getSurveyInfo?accessKey={accessKey}&surveyId={surveyId}&ownerId={ownerId} 	 Returns the survey info (Info): name, pustId, created date and so on as well as survey JSON (Json). 	 1 	 0 	 No Version Found
GET 	 /getActive?accessKey={accessKey}&ownerId={ownerId} 	 Returns the list of active surveys. 	 1 	 0 	 No Version Found
GET 	 /getArchive?accessKey={accessKey}&ownerId={ownerId} 	 Returns the list of archive surveys. 	 1 	 0 	 No Version Found
POST 	 /create?accessKey={accessKey}&name={name}&ownerId={ownerId} 	 Create a new survey. 	 1 	 0 	 No Version Found
PUT 	 /archive/{id}?accessKey={accessKey} 	 Archive the survey by it's id. All survey results will be still accessible. You have to delete a survey to remove the access to it's results. 	 1 	 0 	 No Version Found
PUT 	 /restore/{id}?accessKey={accessKey} 	 Restore an archive survey by it's id. 	 1 	 0 	 No Version Found
DELETE 	 /delete/{id}?accessKey={accessKey} 	 Delete a survey by it's id. You will not be able to restore this survey. The survey results become inaccessible. 	 1 	 0 	 No Version Found
PUT 	 /changeName/{id}?accessKey={accessKey}&name={name} 	 Change the survey name. 	 1 	 0 	 No Version Found
PUT 	 /changeJson?accessKey={accessKey} 	 Change the survey json. 	 1 	 0 	 No Version Found
PUT 	 /publish/{id}?accessKey={accessKey} 	 Publishing the survey. 	 1 	 0 	 No Version Found
PUT 	 /unPublish/{id}?accessKey={accessKey} 	 Disable publishing the survey. 	 1 	 0 	 No Version Found
PUT 	 /setUseCookies/{id}?accessKey={accessKey}&useCookies={useCookies} 	 Enable or disable using cookies of the publishing survey. 	 1 	 0 	 No Version Found
POST 	 /setUseCookies/{id}?accessKey={accessKey}&useCookies={useCookies} 	 Enable or disable using cookies of the publishing survey. 	 1 	 0 	 No Version Found
GET 	 /getIsResultPublic/{id}?accessKey={accessKey} 	 Returns true if the survey results could be viewed via direct link by a non autorized user, and false if could not. 	 1 	 0 	 No Version Found
PUT 	 /makeResultPublic/{id}?accessKey={accessKey}&makeResultPublic={makeResultPublic} 	 Enable or disable the ability to view survey results by non autorized user via direct link. 	 1 	 0 	 No Version Found
PUT 	 /storeIPAddressInResult/{id}?accessKey={accessKey}&storeIPAddress={storeIPAddress} 	 Enable or disable the ability to view survey results by non autorized user via direct link. 	 1 	 0 	 No Version Found
DELETE 	 /deleteResult?accessKey={accessKey}&postId={postId}&instanceId={instanceId} 	 Delete the survey result. Use it to delete spam or test results. 	 1 	 0 	 No Version Found
DELETE 	 /deleteAllResults/{id}?accessKey={accessKey} 	 Delete all survey results. Use it to delete all tested results before running survey. 	 1 	 0 	 No Version Found
