HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET	/shop/admin/prices?customer_id=:customer_id	Retrieve Customer Prices 	 0 	 1 	 Pertinent Documentation
POST	/shop/admin/customers/:customer_id/prices	Create Customer Price 	 0 	 1 	 Pertinent Documentation
DELETE	/shop/admin/customers/:customer_id/prices/:variant_id	DELETE 	 1 	 0 	 Non-pertinent Documentation
GET	/shop/admin/price_lists	Retrieve Price lists 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/price_lists/:id	Retrieve Price list 	 0 	 1 	 Pertinent Documentation
POST	/shop/admin/price_lists	Create Price list 	 0 	 1 	 Pertinent Documentation
PUT	/shop/admin/price_lists/:id	Update Price list 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/products	Retrieve Products 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/products/:id	Retrieve Product 	 0 	 1 	 Pertinent Documentation
POST	/shop/admin/products	Create Product 	 0 	 1 	 Pertinent Documentation
POST	/shop/admin/products	Create multiple Products 	 0 	 1 	 Pertinent Documentation
PUT	/shop/admin/products/:idUpdate Product	 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/properties	Retrieve Properties 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/properties/:id	Retrieve Property 	 0 	 1 	 Pertinent Documentation
PUT	/shop/admin/properties/:id	Update Property 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/properties/:property_id/property_values	Retrieve Property values 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/properties/:property_id/property_values/:id	Retrieve Property value 	 0 	 1 	 Pertinent Documentation
POST	/shop/admin/properties/:property_id/property_values	Create Property value 	 0 	 1 	 Pertinent Documentation
PUT	/shop/admin/properties/:property_id/property_values/:id	Update Property value 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/shipping_categories	Retrieve Shipping categories 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/shipping_categories/:id	Retrieve Shipping category 	 0 	 1 	 Pertinent Documentation
POST	/shop/admin/shipping_categories	Create Shipping category 	 0 	 1 	 Pertinent Documentation
PUT	/shop/admin/shipping_categories/:id	Update Shipping Category 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/shipping_methods	Retrieve Shipping methods 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/shipping_methods/:id	Retrieve Shipping method 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/prices/:price_id/staggered_prices	Retrieve Staggered prices 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/prices/:price_id/staggered_prices/:id	Retrieve Staggered Price 	 0 	 1 	 Pertinent Documentation
POST	/shop/admin/prices/:price_id/staggered_prices	Create Staggered Price 	 0 	 1 	 Pertinent Documentation
PUT	/shop/admin/prices/:price_id/staggered_prices/:id	Update Staggered Price 	 0 	 1 	 Pertinent Documentation
DELETE	/shop/admin/prices/:price_id/staggered_prices/:id	DELETE 	 1 	 0 	 Non-pertinent Documentation
GET	/shop/admin/stock_items	Retrieve Stock items 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/stock_items/:id	Retrieve Stock Item 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/variants/:variant_id/stock_item	Retrieve Stock Item 	 0 	 1 	 Pertinent Documentation
PUT	/shop/admin/stock_items/:id	Update Stock Item 	 0 	 1 	 Pertinent Documentation
PUT	/shop/admin/variants/:variant_id/stock_item	Update Stock Item 	 0 	 1 	 Pertinent Documentation
POST	/shop/admin/stock_items/:id/movement	Create Stock Item movement 	 0 	 1 	 Pertinent Documentation
POST	/shop/admin/variants/:variant_id/stock_item/movement	Create Stock Item movement 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/tax_categories	Retrieve Tax categories 	 0 	 1 	 Pertinent Documentation
PUT	/shop/admin/tax_categories/:id	Update Tax Category 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/tax_rates	Retrieve Tax rates 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/tax_rates/:id	Retrieve Tax rate 	 0 	 1 	 Pertinent Documentation
PUT	/shop/admin/tax_rates/:id	Update Tax rate 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/tax_zones	Retrieve Tax zones 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/tax_zones/:id	Retrieve Tax zone 	 0 	 1 	 Pertinent Documentation
POST	/shop/admin/tax_zones	Create Tax zone 	 0 	 1 	 Pertinent Documentation
PUT	/shop/admin/tax_zones/:id	Update Tax zone 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/variants	Retrieve Variants 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/products/:product_id/variants	Retrieve Variants 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/variants/:id	Retrieve Variant 	 0 	 1 	 Pertinent Documentation
GET	/shop/admin/products/:product_id/variants/:id	Retrieve Variant 	 0 	 1 	 Pertinent Documentation
POST	/shop/admin/products/:product_id/variants	Create Variant 	 0 	 1 	 Pertinent Documentation
PUT	/shop/admin/variants/:id	Update Variant 	 0 	 1 	 Pertinent Documentation
PUT	/shop/admin/products/:product_id/variants/:id	Update Variant 	 0 	 1 	 Pertinent Documentation
POST	/shop/admin/variants/update_stock	Update Variants stock 	 0 	 1 	 Pertinent Documentation
