api_name,AmorphousURI,TidyURI,NonStandardURI,StandarURI,CRUDyURI,VerblessURI,UnversionedURI,VersionedURI,PluralisedNodes,SingularNodes,NonDescriptiveURI,DescriptiveURI,ContextlessResource,ContextualResouce,NonHierarchicalNodes,HierarchicalNodes,LessCohisiveDoc,CohisiveDoc,InconsistantDoc,ConsistantDoc
AniList,0,27,0,27,9,18,0,27,26,1,0,27,0,27,2,25,0,27,17,10
AppleMusic,0,99,0,99,4,95,0,99,1,98,0,99,0,99,0,99,1,98,0,99
Artsy,5,16,0,21,1,20,0,21,0,21,0,21,0,21,0,21,0,21,0,21
Braintree,4,92,0,96,24,72,96,0,83,13,2,94,3,93,7,89,1,95,40,56
Facebook,32,34,0,66,1,65,14,52,7,59,5,61,0,66,6,60,0,66,8,58
GitHub,19,237,0,256,127,129,256,0,216,40,13,243,28,228,21,235,2,254,53,203
GitLab,1,54,0,55,0,55,55,0,0,55,1,54,6,49,3,52,1,54,0,55
Instagram,9,19,5,23,0,28,26,2,2,26,0,28,0,28,0,28,0,28,1,27
Pipefy,6,85,0,91,56,35,91,0,63,28,7,84,1,90,12,79,0,91,20,71
Pokeapi,24,0,3,21,0,24,0,24,0,24,0,24,0,24,1,23,4,20,0,24
Shopify,2,31,0,33,5,28,33,0,24,9,1,32,0,33,0,33,1,32,6,27
Twitter,14,37,0,51,7,44,1,50,3,48,4,47,1,50,0,51,0,51,4,47
