HTTP Verb,Name,Description,Arguments
POST/PATCH/DELETE,/mutations/abortQueuedMigrations,Clear all of a customer's queued migrations.,"clientMutationId: A unique identifier for the client performing the mutation., success: Did the operation succeed?."
POST/PATCH/DELETE,/mutations/abortRepositoryMigration,Abort a repository migration queued or in progress.,"clientMutationId: A unique identifier for the client performing the mutation., success: Did the operation succeed?."
POST/PATCH/DELETE,/mutations/acceptEnterpriseAdministratorInvitation,Accepts a pending invitation for a user to become an administrator of an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., invitation: The invitation that was accepted., message: A message confirming the result of accepting an administrator invitation."
POST/PATCH/DELETE,/mutations/acceptTopicSuggestion,Applies a suggested topic to the repository.,"clientMutationId: A unique identifier for the client performing the mutation., topic: The accepted topic."
POST/PATCH/DELETE,/mutations/addAssigneesToAssignable,Adds assignees to an assignable object.,"assignable: The item that was assigned., clientMutationId: A unique identifier for the client performing the mutation."
POST/PATCH/DELETE,/mutations/addComment,Adds a comment to an Issue or Pull Request.,"clientMutationId: A unique identifier for the client performing the mutation., commentEdge: The edge from the subject's comment connection., subject: The subject., timelineEdge: The edge from the subject's timeline connection."
POST/PATCH/DELETE,/mutations/addDiscussionComment,"Adds a comment to a Discussion, possibly as a reply to another comment.","clientMutationId: A unique identifier for the client performing the mutation., comment: The newly created discussion comment."
POST/PATCH/DELETE,/mutations/addDiscussionPollVote,Vote for an option in a discussion poll.,"clientMutationId: A unique identifier for the client performing the mutation., pollOption: The poll option that a vote was added to."
POST/PATCH/DELETE,/mutations/addEnterpriseOrganizationMember,Adds enterprise members to an organization within the enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., users: The users who were added to the organization."
POST/PATCH/DELETE,/mutations/addEnterpriseSupportEntitlement,Adds a support entitlement to an enterprise member.,"clientMutationId: A unique identifier for the client performing the mutation., message: A message confirming the result of adding the support entitlement."
POST/PATCH/DELETE,/mutations/addLabelsToLabelable,Adds labels to a labelable object.,"clientMutationId: A unique identifier for the client performing the mutation., labelable: The item that was labeled."
POST/PATCH/DELETE,/mutations/addProjectCard,Adds a card to a ProjectColumn. Either contentId or note must be provided but not both.,"cardEdge: The edge from the ProjectColumn's card connection., clientMutationId: A unique identifier for the client performing the mutation., projectColumn: The ProjectColumn."
POST/PATCH/DELETE,/mutations/addProjectColumn,Adds a column to a Project.,"clientMutationId: A unique identifier for the client performing the mutation., columnEdge: The edge from the project's column connection., project: The project."
POST/PATCH/DELETE,/mutations/addProjectV2DraftIssue,Creates a new draft issue and add it to a Project.,"clientMutationId: A unique identifier for the client performing the mutation., projectItem: The draft issue added to the project."
POST/PATCH/DELETE,/mutations/addProjectV2ItemById,Links an existing content instance to a Project.,"clientMutationId: A unique identifier for the client performing the mutation., item: The item added to the project."
POST/PATCH/DELETE,/mutations/addPullRequestReview,Adds a review to a Pull Request.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequestReview: The newly created pull request review., reviewEdge: The edge from the pull request's review connection."
POST/PATCH/DELETE,/mutations/addPullRequestReviewComment,Adds a comment to a review.,"clientMutationId: A unique identifier for the client performing the mutation., comment: The newly created comment., commentEdge: The edge from the review's comment connection."
POST/PATCH/DELETE,/mutations/addPullRequestReviewThread,Adds a new thread to a pending Pull Request Review.,"clientMutationId: A unique identifier for the client performing the mutation., thread: The newly created thread."
POST/PATCH/DELETE,/mutations/addPullRequestReviewThreadReply,Adds a reply to an existing Pull Request Review Thread.,"clientMutationId: A unique identifier for the client performing the mutation., comment: The newly created reply."
POST/PATCH/DELETE,/mutations/addReaction,Adds a reaction to a subject.,"clientMutationId: A unique identifier for the client performing the mutation., reaction: The reaction object., reactionGroups: The reaction groups for the subject., subject: The reactable subject."
POST/PATCH/DELETE,/mutations/addStar,Adds a star to a Starrable.,"clientMutationId: A unique identifier for the client performing the mutation., starrable: The starrable."
POST/PATCH/DELETE,/mutations/addUpvote,Add an upvote to a discussion or discussion comment.,"clientMutationId: A unique identifier for the client performing the mutation., subject: The votable subject."
POST/PATCH/DELETE,/mutations/addVerifiableDomain,Adds a verifiable domain to an owning account.,"clientMutationId: A unique identifier for the client performing the mutation., domain: The verifiable domain that was added."
POST/PATCH/DELETE,/mutations/approveDeployments,Approve all pending deployments under one or more environments.,"clientMutationId: A unique identifier for the client performing the mutation., deployments: The affected deployments."
POST/PATCH/DELETE,/mutations/approveVerifiableDomain,Approve a verifiable domain for notification delivery.,"clientMutationId: A unique identifier for the client performing the mutation., domain: The verifiable domain that was approved."
POST/PATCH/DELETE,/mutations/archiveProjectV2Item,Archives a ProjectV2Item.,"clientMutationId: A unique identifier for the client performing the mutation., item: The item archived from the project."
POST/PATCH/DELETE,/mutations/archiveRepository,Marks a repository as archived.,"clientMutationId: A unique identifier for the client performing the mutation., repository: The repository that was marked as archived."
POST/PATCH/DELETE,/mutations/cancelEnterpriseAdminInvitation,Cancels a pending invitation for an administrator to join an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., invitation: The invitation that was canceled., message: A message confirming the result of canceling an administrator invitation."
POST/PATCH/DELETE,/mutations/cancelSponsorship,Cancel an active sponsorship.,"clientMutationId: A unique identifier for the client performing the mutation., sponsorsTier: The tier that was being used at the time of cancellation."
POST/PATCH/DELETE,/mutations/changeUserStatus,Update your status on GitHub.,"clientMutationId: A unique identifier for the client performing the mutation., status: Your updated status."
POST/PATCH/DELETE,/mutations/clearLabelsFromLabelable,Clears all labels from a labelable object.,"clientMutationId: A unique identifier for the client performing the mutation., labelable: The item that was unlabeled."
POST/PATCH/DELETE,/mutations/clearProjectV2ItemFieldValue,"This mutation clears the value of a field for an item in a Project. Currently
only text, number, date, assignees, labels, single-select, iteration and
milestone fields are supported.","clientMutationId: A unique identifier for the client performing the mutation., projectV2Item: The updated item."
POST/PATCH/DELETE,/mutations/cloneProject,Creates a new project by cloning configuration from an existing project.,"clientMutationId: A unique identifier for the client performing the mutation., jobStatusId: The id of the JobStatus for populating cloned fields., project: The new cloned project."
POST/PATCH/DELETE,/mutations/cloneTemplateRepository,Create a new repository with the same files and directory structure as a template repository.,"clientMutationId: A unique identifier for the client performing the mutation., repository: The new repository."
