participant_id,group_id,VerbControllerIR,VerbControllerIR_rating,RC415IR,RC415IR_rating,PathHierarchy2FR,PathHierarchy2FR_rating,GETRetrieveIR,GETRetrieveIR_rating,PathHierarchy3FR,PathHierarchy3FR_rating,NoRC200ErrorIR,NoRC200ErrorIR_rating,NoTunnelFR,NoTunnelFR_rating,PluralNounFR,PluralNounFR_rating,POSTCreateIR,POSTCreateIR_rating,PathHierarchy1IR,PathHierarchy1IR_rating,CRUDNamesFR,CRUDNamesFR_rating,RC401FR,RC401FR_rating,VerbControllerFR,VerbControllerFR_rating,RC415FR,RC415FR_rating,PathHierarchy2IR,PathHierarchy2IR_rating,GETRetrieveFR,GETRetrieveFR_rating,PathHierarchy3IR,PathHierarchy3IR_rating,NoRC200ErrorFR,NoRC200ErrorFR_rating,NoTunnelIR,NoTunnelIR_rating,PluralNounIR,PluralNounIR_rating,POSTCreateFR,POSTCreateFR_rating,PathHierarchy1FR,PathHierarchy1FR_rating,CRUDNamesIR,CRUDNamesIR_rating,RC401IR,RC401IR_rating,VerbControllerIRTime,RC415IRTime,PathHierarchy2FRTime,GETRetrieveIRTime,PathHierarchy3FRTime,NoRC200ErrorIRTime,NoTunnelFRTime,PluralNounFRTime,POSTCreateIRTime,PathHierarchy1IRTime,CRUDNamesFRTime,RC401FRTime,VerbControllerFRTime,RC415FRTime,PathHierarchy2IRTime,GETRetrieveFRTime,PathHierarchy3IRTime,NoRC200ErrorFRTime,NoTunnelIRTime,PluralNounIRTime,POSTCreateFRTime,PathHierarchy1FRTime,CRUDNamesIRTime,RC401IRTime,Country,Profession,DeveloperPerspective,DeveloperPerspective[other],is_Student,is_Academia,is_Germany,YearsOfExperience,RichardsonMaturity,MaturityLevel,AdditionalComment
1,1,1,3,1,2,1,1,1,1,1,3,1,5,0,3,1,2,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,23.37,49.43,15.75,20.13,27.37,33.25,35.85,25.11,11.18,10.61,21.59,25.47,,,,,,,,,,,,,Germany,Consultant,Both API user and developer,,0,0,1,2,0,,
2,1,1,1,1,2,1,1,0,1,0,3,0,1,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,40.31,166.14,22.45,35.82,85.63,141.37,64.51,30.35,33.57,46.69,22.57,35.03,,,,,,,,,,,,,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,3,0,,
3,1,0,4,1,4,1,1,0,3,1,2,0,2,1,2,1,1,0,2,1,4,1,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,51.32,51.28,21.04,18.45,23.73,69.97,37.84,15.49,17.87,24.68,15.23,61.46,,,,,,,,,,,,,Germany,Researcher,API developer / designer,,0,1,1,10,0,,
4,1,1,3,1,2,1,1,1,2,1,2,1,3,1,3,1,1,0,3,0,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,64.18,37.64,11.19,15.96,30.02,115.47,59.11,11.39,47.04,6.53,11.72,21.83,,,,,,,,,,,,,Estonia,Software Engineer / Developer,Both API user and developer,,0,0,0,1,0,,
5,1,1,2,1,4,1,1,1,3,1,2,1,1,0,3,1,1,0,4,0,5,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,15.11,52.3,15.63,27.77,24.44,28.19,35.58,9,83.64,27.61,16.63,26.93,,,,,,,,,,,,,Netherlands,Student,Both API user and developer,,1,0,0,6,0,,
6,1,0,3,1,3,1,1,0,2,0,2,0,1,0,1,1,1,0,1,0,2,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,33.7,42.29,26.32,25.4,27.37,19.26,15.98,12.71,67.71,51.39,25.87,11.94,,,,,,,,,,,,,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,3,0,,
8,1,1,3,1,3,1,2,0,4,1,3,1,3,,,1,1,1,3,1,5,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,55.43,46.65,36.98,84.26,52.1,76.13,,18.48,37.77,44.45,20.35,44.05,,,,,,,,,,,,,Germany,Consultant,API user / client developer,,0,0,1,3,0,,
10,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,0,4,1,2,1,2,1,1,0,1,1,3,1,2,1,2,0,2,1,4,,,,,,,,,,,,,19.88,35.62,48.83,17.62,20.4,24.75,18.43,21.65,22.53,12.22,19.3,42.56,Germany,Researcher,Both API user and developer,,0,1,1,9,0,,
13,2,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,4,1,3,1,3,0,4,1,3,1,3,1,2,1,2,1,2,1,4,1,4,,,,,,,,,,,,,114.9,227.46,69.48,53.64,140.22,144.48,60.94,41.38,28.1,33.63,118.14,162.11,Germany,Researcher,Other,,0,1,1,0,0,,
14,1,0,2,1,1,1,2,1,2,1,2,0,2,1,3,1,2,0,3,1,3,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,30.55,50.3,34.93,27.17,40.39,42.38,41.7,22.84,15.24,33.38,27.11,32.17,,,,,,,,,,,,,Italy,Researcher,Both API user and developer,,0,1,0,6,0,,
17,2,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,5,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,0,1,0,5,,,,,,,,,,,,,34.07,162.66,34.94,39.25,86.57,68.62,70.89,27.83,43.67,19.36,56.1,132.9,Germany,Manager,API user / client developer,,0,0,1,1,0,,
18,1,0,3,1,4,1,1,0,5,1,1,1,4,1,1,1,1,0,1,1,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,72.86,42.67,23.7,64.85,27.59,37.46,15.07,11.74,11.1,15.81,19,19.48,,,,,,,,,,,,,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,4,1,2,
19,1,1,4,1,2,1,3,0,3,1,2,0,2,1,2,1,1,0,2,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,49.66,44.95,27.08,31.09,22.15,40.01,13.88,14.37,19.09,103.78,28.9,31.86,,,,,,,,,,,,,Germany,Researcher,Both API user and developer,,0,1,1,3,0,,
20,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,4,1,1,1,3,1,1,,,,,1,1,1,1,0,1,0,4,,,,,,,,,,,,,32.7,38.53,77.33,41.37,31.18,37.65,,,17.67,16.5,68.4,69.35,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,5,1,2,
21,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,4,1,1,1,3,1,3,1,3,1,5,1,1,1,2,0,3,1,4,,,,,,,,,,,,,16.37,17.2,43.21,10.11,22.3,30.91,38.84,53.14,12.34,16.18,13.76,40.11,Switzerland,Software Engineer / Developer,Both API user and developer,,0,0,0,5,1,2,
