Response ID,AmorphousEndpoint,AmorphousEndpointURating,AmorphousEndpointRRating,ContextlessResource,ContextlessResourceURating,ContextlessResourceRRating,CRUDyEndpoint,CRUDyEndpointURating,CRUDyEndpointRRating,InconsistentDoc,InconsistentDocURating,InconsistentDocRRating,NonDescriptiveEndpoint,NonDescriptiveEndpointURating,NonDescriptiveEndpointRRating,NonHierarchicalNodes,NonHierarchicalNodesURating,NonHierarchicalNodesRRating,NonPertinentDoc,NonPertinentDocURating,NonPertinentDocRRating,NonStandardEndpoint,NonStandardEndpointURating,NonStandardEndpointRRating,PluralizedNodes,PluralizedNodesURating,PluralizedNodesRRating,UnversionedEndpoint,UnversionedEndpointURating,UnversionedEndpointRRating,ParameterTunneling,ParameterTunnelingURating,ParameterTunnelingRRating,InconsistentArchetype,InconsistentArchetypeURating,InconsistentArchetypeRRating,IdentifierAmbiguity,IdentifierAmbiguityURating,IdentifierAmbiguityRRating,FlatEndpoint,FlatEndpointURating,FlatEndpointRRating,TidyEndpoint,TidyEndpointURating,TidyEndpointRRating,ContextualResource,ContextualResourceURating,ContextualResourceRRating,VerblessEndpoint,VerblessEndpointURating,VerblessEndpointRRating,ConsistentDoc,ConsistentDocURating,ConsistentDocRRating,DescriptiveEndpoint,DescriptiveEndpointURating,DescriptiveEndpointRRating,HierarchicalNodes,HierarchicalNodesURating,HierarchicalNodesRRating,PertinentDoc,PertinentDocURating,PertinentDocRRating,StandardEndpoint,StandardEndpointURating,StandardEndpointRRating,SingularizedNodes,SingularizedNodesURating,SingularizedNodesRRating,VersionedEndpoint,VersionedEndpointURating,VersionedEndpointRRating,ParameterAdherence,ParameterAdherenceURating,ParameterAdherenceRRating,ConsistentArchetype,ConsistentArchetypeURating,ConsistentArchetypeRRating,IdentifierAnnotation,IdentifierAnnotationURating,IdentifierAnnotationRRating,StructuredEndpoint,StructuredEndpointURating,StructuredEndpointRRating,Country,Profession,DeveloperPerspective,is_Developer,is_Student,is_Academia,is_Canada,YearsOfExperience,RichardsonMaturity,MaturityLevel,Your perspective on current API design guidelines and practices. ,Do poor linguistic design practices impact the understandability and readability of APIs? ,Do API design practices impact the understandability and readability of APIs? ,Are you happy with the survey design? ,How can we improve our survey design? ,AmorphousEndpointTime,ContextlessResourceTime,CRUDyEndpointTime,InconsistentDocTime,NonDescriptiveEndpointTime,NonHierarchicalNodesTime,NonPertinentDocTime,NonStandardEndpointTime,PluralizedNodesTime,UnversionedEndpointTime,ParameterTunnelingTime,InconsistentArchetypeTime,IdentifierAmbiguityTime,FlatEndpointTime,TidyEndpointTime,ContextualResourceTime,VerblessEndpointTime,ConsistentDocTime,DescriptiveEndpointTime,HierarchicalNodesTime,PertinentDocTime,StandardEndpointTime,SingularizedNodesTime,VersionedEndpointTime,ParameterAdherenceTime,ConsistentArchetypeTime,IdentifierAnnotationTime,StructuredEndpointTime
56,0,4,5,0,5,5,1,5,5,1,5,5,0,5,5,1,5,5,0,5,5,1,5,5,0,5,5,1,5,5,0,5,5,0,5,5,0,5,5,0,5,5,1,5,5,0,5,5,1,5,5,1,5,5,0,5,5,1,5,5,1,5,5,0,5,5,1,5,5,1,5,5,1,5,5,1,5,5,0,5,5,0,5,5,India,Student,API developer / designer,0,1,0,0,0,0,2,None,Yes,Yes,1,Nothing,90.52,15.72,17.88,14.33,24.5,22.14,29.61,27.22,16.46,43.23,11.43,54.68,28.05,179.95,12.21,34.7,110.11,70.9,27.42,125.18,24.38,28.68,10.34,18.44,21.62,9.93,9.29,9.33
69,1,3,3,1,2,2,0,1,1,0,1,1,0,1,1,0,3,2,0,3,3,0,2,2,1,2,2,1,2,1,0,2,2,0,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,1,1,1,2,1,0,2,3,0,2,3,0,2,2,1,2,2,1,2,2,1,2,1,1,2,2,0,2,2,1,2,2,1,2,1,India,Student,Both API user and developer,0,1,0,0,0,0,2,,yes,yes,1,,52.02,25.51,20.43,10.38,11.27,21.53,10.54,9.66,12.59,17.63,20.07,12.91,53.2,10.09,9.19,22.65,15.11,9.32,25.18,33.26,61.65,10.92,18.96,14.36,14.68,16.84,16.04,10.51
73,0,3,1,1,1,1,1,1,1,0,2,2,0,1,1,1,2,2,0,3,3,0,3,3,0,5,5,1,2,2,1,5,5,0,3,3,0,5,5,0,4,4,1,4,4,1,2,2,1,3,3,0,2,5,0,2,2,1,1,1,1,1,1,0,2,2,0,5,5,1,1,1,1,2,2,0,2,2,0,3,3,1,3,3,Ireland,Software Engineer / Developer,Other,1,0,0,0,0,0,1,,,,1,,53.53,18.79,15.36,13.25,24.11,19.4,30.82,17.12,30.17,14.88,32.38,26.94,58.64,19.12,15.1,18.5,20.88,12.66,11.88,12.11,13,14.28,9.62,13.82,14.88,11.16,14.09,9.31
75,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,3,1,2,4,1,1,1,1,2,2,1,1,2,1,2,1,0,1,1,0,1,2,1,2,3,India,Software Engineer / Developer,Both API user and developer,1,0,0,0,3,0,2,,,,1,,22.03,11.85,17.89,21.23,29.08,21.7,43.12,12.35,30.04,25.92,41.16,21.21,25.32,19.57,15.17,13.88,21.78,14.42,13.05,19.88,25.91,11.92,15.27,14.3,18.36,14.7,33.27,27.32
82,0,2,2,1,2,2,0,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,0,3,3,1,3,3,1,3,3,0,3,3,1,3,3,0,3,3,0,3,3,0,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,0,3,3,0,3,3,0,3,3,Pakistan,Student,,0,1,0,0,0,0,1,,,,1,,34.88,16.45,12.83,6.65,7.43,6.98,13.59,9.58,7.1,14.31,7.63,6.48,6.77,6.18,5.62,6.28,6.24,6.16,5.18,5.11,5.14,9.02,5.52,5.57,5.48,5.81,7.53,9.77
88,0,4,3,1,1,1,1,2,2,0,3,2,0,3,2,1,1,1,0,5,3,0,3,3,0,4,4,1,3,3,0,3,3,1,1,1,0,3,3,1,2,3,1,3,2,1,1,1,1,2,2,1,2,1,0,2,2,1,1,1,0,4,4,0,3,3,1,3,3,1,3,3,1,3,3,1,2,2,0,3,3,1,2,2,Sweden,Student,API user / client developer,0,1,0,0,0,0,3,-,"Heavily. Language, grammar and correctness play a huge part in how and API or any software is understood by both the user and other developers. Proper use of ""linguistics"" is paramount.","Yes, one should always strive to simplify all stages of design and improve the abstractions to improve the understandability and readability.",1,"Improve the grammar/design, or ""linguistics"" of the questions with multiple choice answers.",586.85,16.23,18.59,27.82,32.18,26.89,44.79,46.48,46.66,31.71,17.05,25.04,26.53,47.02,28.23,10.26,16.89,12.73,14.4,8.9,5.84,7.82,10.74,11.77,15.22,16.35,13.32,11.78
90,1,4,2,1,1,1,1,2,1,0,4,1,1,4,1,0,4,3,0,5,3,1,2,2,1,2,2,1,5,2,0,5,5,0,3,2,0,2,4,1,4,4,1,3,3,1,1,1,1,3,3,1,3,3,0,3,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,3,4,0,1,1,1,1,1,1,1,1,Sweden,Student,Both API user and developer,0,1,0,0,1,0,1,,Yes. Poor linguistic design can make instructions ambiguous and unclear.,,1,,129.88,41.71,28.43,28.68,46.73,50.02,46.14,33.17,17.08,34.56,20.35,43.53,37.07,23.72,29.9,16.96,29.9,29.47,18.39,24.52,24.91,12.56,14.42,16.28,14.35,16.45,33.56,16.65
93,1,2,2,1,2,2,0,2,2,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,2,2,0,2,2,0,2,2,1,2,2,1,1,1,1,1,1,1,1,1,0,2,1,0,2,2,1,2,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,2,2,INDIA,Software Engineer / Developer,API tester,1,0,0,0,2,1,2,,"Yes, it'll ",Yes,1,The survey is good and it enhances the understandablity of APIs,356.13,106.58,87.74,46.74,155.25,150.45,209.46,105.36,82.19,29.65,223.37,105.4,197.05,180.32,26.21,31.3,37.63,82.65,33.08,111.51,32.84,107.74,35.36,23.46,32.24,37.36,51.51,15.57
94,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,2,2,1,2,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,India ,Software Engineer / Developer,API tester,1,0,0,0,1.5,1,2,It is simple and effective to use,"Yes, It does ","Yes, better understanding in readability of APIs creates a better impact on API design practice ",1,No it's good. The question was easy to understand and improves the understanding of API ,168.25,13.87,12.61,11.03,13.66,8.61,10.41,9.39,10.65,12.27,10.22,8.7,10.09,9.15,8.16,7.49,8.97,8.19,8.17,42.88,11.22,6.42,8.04,8.65,9.16,10.73,9.76,8.79
95,1,1,2,1,1,2,0,4,1,0,3,5,0,3,2,1,2,1,0,5,2,1,3,2,1,2,1,1,2,2,0,4,2,0,4,2,1,2,2,1,3,5,1,3,2,1,2,2,1,1,1,1,3,5,0,3,2,1,3,1,1,2,1,1,2,1,1,2,1,1,2,3,1,2,1,0,2,1,1,2,2,1,3,2,Canada,Teaching (Professor),API user / client developer,0,0,1,1,9,1,3,Current API design guidelines and practices are vague and not easy to follow and digest. That's one reason why developers tend to avoid them.,"Yes overall, but if developers spend significant time and effort, they can also figure out purpose of an API or endpoint.","Yes, I think.",1,I think it's a very odd question to ask for a participant during a survey!,85.77,38.15,21.03,16.91,25.22,43.46,62.83,18.89,25.75,16.97,27.9,35.42,22.59,39.19,14.27,21.13,11.55,14.83,13.92,29.12,27.23,11.96,15.83,12.89,11.77,24.27,9.55,29.86
