participant_id,Amorphous,AmorphousURating,AmorphousRRating ,Contextless,ContextlessURating,ContextlessRRating ,CRUDy,CRUDyURating,CRUDyRRating ,Inconsistent,InconsistentURating,InconsistentRRating ,NonDescriptive,NonDescriptiveURating,NonDescriptiveRRating,NonHierarchical,NonHierarchicalURating,NonHierarchicalRRating ,NonPertinent,NonPertinentURating,NonPertinentRRating ,NonStandard,NonStandardURating,NonStandardRRating ,Pluralized,PluralizedURating,PluralizedRRating ,Unversioned,UnversionedURating,UnversionedRRating ,Tunneling,TunnelingURating,TunnelingRRating ,InconArchetype,InconArchetypeURating,InconArchetypeRRating ,Ambiguity,AmbiguityURating,AmbiguityRRating ,Flat,FlatURating,FlatRRating ,Tidy,TidyURating,TidyRRating ,Contextual,ContextualURating,ContextualRRating ,Verbless,VerblessURating,VerblessRRating ,Consistent,ConsistentURating,ConsistentRRating ,Descriptive,DescriptiveURating,DescriptiveRRating,Hierarchical,HierarchicalURating,HierarchicalRRating ,Pertinent,PertinentURating,PertinentRRating ,Standard,StandardURating,StandardRRating ,Singularized,SingularizedURating,SingularizedRRating ,Versioned,VersionedURating,VersionedRRating ,Adherence,AdherenceURating,AdherenceRRating ,ConArchetype,ConArchetypeURating,ConArchetypeRRating ,Annotation,AnnotationURating,AnnotationRRating ,Structured,StructuredURating,StructuredRRating ,AmorphousTime,ContextlessTime,CRUDyTime,InconsistentTime,NonDescriptiveTime,NonHierarchicalTime,NonPertinentTime,NonStandardTime,PluralizedTime,UnversionedTime,TunnelingTime,InconArchetypeTime,AmbiguityTime,FlatTime,TidyTime,ContextualTime,VerblessTime,ConsistentTime,DescriptiveTime,HierarchicalTime,PertinentTime,StandardTime,SingularizedTime ,VersionedTime,AdherenceTime,ConArchetypeTime,AnnotationTime,StructuredTime,Country,Profession,DeveloperPerspective,DeveloperPerspective[other],is_Student,Gender,is_Academia,is_Canada,YearsOfExperience,RichardsonMaturity,MaturityLevel,AdditionalComment
1,1,3,2,1,1,2,0,2,2,0,2,3,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,2,1,1,2,2,0,2,1,0,2,3,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,23.37,49.43,15.75,20.13,27.37,33.25,35.85,25.11,11.18,10.61,21.59,25.47,40.4,47.7,18.06,33.35,35.18,35.46,21.52,19.7,24.06,30.89,19.42,22.1,155.65,28.21,28.4,43.89,Canada,Consultant,Both API user and developer,,0,1,0,1,1,1,2,
2,1,2,3,0,3,3,1,3,1,1,1,2,0,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,0,3,2,0,2,3,1,3,2,1,1,2,0,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,40.31,166.14,22.45,35.82,85.63,141.37,64.51,30.35,33.57,46.69,22.57,35.03,7.38,11.13,26.36,91.37,38.67,109.31,54.66,70.48,41.74,86.2,33.01,28.06,34.69,31.2,28.49,67.54,Canada,Software Engineer / Developer,Both API user and developer,,1,0,0,3,2,0,,
3,1,4,5,0,2,2,0,2,3,0,2,1,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,1,3,2,0,1,2,0,2,2,0,2,1,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,51.32,51.28,21.04,18.45,23.73,69.97,37.84,15.49,17.87,24.68,15.23,61.46,17.69,34.72,11.99,19.81,25.97,64.88,27.63,17.61,9.5,17.13,18.47,24.09,59.51,23.72,52.33,49.08,Canada,Researcher,API developer / designer,,0,1,0,2,7,1,2,
4,1,1,4,1,3,1,1,1,4,1,3,3,1,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,2,2,1,2,1,1,1,1,1,3,3,1,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,64.18,37.64,11.19,15.96,30.02,115.47,59.11,11.39,47.04,6.53,11.72,21.83,44.24,55.22,22.51,24.09,41.66,60.44,43.82,19.28,11.6,63.21,36.43,38.61,155.65,28.21,28.4,,US,Software Engineer / Developer,Both API user and developer,,1,0,0,1,5,1,2,
5,1,2,5,1,5,2,1,2,2,1,2,3,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,1,2,1,1,2,1,2,2,1,2,3,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,15.11,52.3,15.63,27.77,24.44,28.19,35.58,9,83.64,27.61,16.63,26.93,40.4,47.7,18.06,33.35,35.18,35.46,21.52,19.7,24.06,30.89,19.42,22.1,40.71,20.04,15.99,16.84,US,Student,Both API user and developer,,0,1,0,0,2,1,2,
6,1,3,3,0,4,3,1,1,3,0,2,1,0,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,0,1,2,0,2,3,1,1,2,0,2,1,0,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,33.7,42.29,26.32,25.4,27.37,19.26,15.98,12.71,67.71,51.39,25.87,11.94,7.38,11.13,26.36,91.37,38.67,109.31,54.66,70.48,41.74,86.2,33.01,28.06,46.48,49.6,65.8,36.92,Canada,Software Engineer / Developer,Both API user and developer,,0,0,1,1,4,0,,
7,1,4,3,0,2,4,0,3,4,0,3,4,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,2,0,1,4,0,3,1,0,3,4,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,55.43,46.65,36.98,84.26,52.1,76.13,,18.48,37.77,44.45,20.35,44.05,17.69,34.72,11.99,19.81,25.97,64.88,27.63,17.61,9.5,17.13,18.47,24.09,155.65,28.21,28.4,,UAE,Consultant,API user / client developer,,0,1,0,1,3,1,2,
8,1,3,2,1,4,3,0,4,5,1,1,2,0,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,1,2,1,2,3,0,4,1,1,1,2,0,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,23.37,49.43,15.75,20.13,27.37,33.25,35.85,25.11,11.18,10.61,21.59,25.47,44.24,55.22,22.51,24.09,41.66,60.44,43.82,19.28,11.6,63.21,36.43,38.61,37.48,18.75,26.44,32.01,UK,Researcher,Both API user and developer,,0,0,1,0,4,0,,
9,1,2,1,1,1,3,1,1,4,1,2,2,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,2,1,1,1,3,1,1,2,1,2,2,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,40.31,166.14,22.45,35.82,85.63,141.37,64.51,30.35,33.57,46.69,22.57,35.03,40.4,47.7,18.06,33.35,35.18,35.46,21.52,19.7,24.06,30.89,19.42,22.1,22.02,11.97,41.24,29.43,Canada,Researcher,Other,,0,0,0,1,2,0,,
10,1,1,2,0,2,4,1,1,3,0,1,2,1,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,1,3,1,0,2,4,1,1,2,0,1,2,1,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,51.32,51.28,21.04,18.45,23.73,69.97,37.84,15.49,17.87,24.68,15.23,61.46,7.38,11.13,26.36,91.37,38.67,109.31,54.66,70.48,41.74,86.2,33.01,28.06,36.36,9.74,30.21,22.66,Italy,Researcher,Both API user and developer,,0,1,1,1,1,1,2,
