HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
POST 	 /v2/oauth/token 	 Converting Authorization Codes To Access Tokensn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 /v2/oauth/pin 	 If you are absolutely unable to have a Http or application URI scheme redirection you can use the Auth Pin redirect URL. n/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/SaveMediaListEntry 	 Create or update a media list entry n/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/UpdateMediaListEntries 	 Update multiple media list entries to the same valuesn/a 	 0 	 1 	  [Pluralized last node with POST method.] 
POST 	 v2/DeleteMediaListEntry 	 Delete a media list entryn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/DeleteCustomList 	 Delete a custom list and remove the list entries from itn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/SaveTextActivity 	 Create or update text activity for the currently authenticated usern/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/SaveListActivity 	 Update list activityn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/DeleteActivity 	 Delete an activity item of the authenticated usersn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/ToggleActivityPin 	 Toggle activity to be pinned to the top of the user's activity feedn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/ToggleActivitySubscription 	 Toggle the subscription of an activity itemn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/SaveActivityReply 	 Create or update an activity replyn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/DeleteActivityReply 	 Delete an activity reply of the authenticated usersn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/ToggleLike 	 Add or remove a like from a likeable type. Returns all the users who liked the same modeln/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/ToggleLikeV2 	 Add or remove a like from a likeable type.n/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/ToggleFollow 	 Toggle the un/following of a usern/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/ToggleFavourite 	 Favourite or unfavourite an anime, manga, character, staff member, or studion/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/UpdateFavouriteOrder 	 Update the order favourites are displayed inn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/SaveReview 	 Create or update a reviewn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/DeleteReview 	 Delete a reviewn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/RateReview 	 Rate a reviewn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/SaveRecommendation 	 Recommendation a median/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/SaveThread 	 Create or update a forum thread n/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/DeleteThread 	 Delete a threadn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/ToggleThreadSubscription 	 Toggle the subscription of a forum thread n/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/SaveThreadComment 	 Create or update a thread commentn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 v2/DeleteThreadComment 	 Delete a thread commentn/a 	 1 	 0 	  [Singular last node with POST method.] 
