HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET	/v1/catalog/{storefront}/albums/{id}	Fetch an album by using its identifier. id string (Required) The unique identifier for the album. storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/albums/{id}/{relationship}	Fetch an albumâ€™s relationship by using its identifier. id string (Required) The unique identifier for the album. relationship string (Required) The name of the relationship you want to fetch for this resource. Possible Values: artists, genres, library, record-labels, tracks storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/albums/{id}/view/{view}	Fetch related resources for a single albumâ€™s relationship view. id string (Required) The identifier of the resource to fetch. storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. view string (Required) The name of the resource view to fetch. Possible Values: appears-on, other-versions, related-albums, related-videos 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/albums	Fetch one or more albums by using their identifiers. storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/albums	Fetch one or more albums by using their UPC values. storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/albums	Fetch the equivalent, available content in the storefront for the provided albumsâ€™ identifiers. storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. 	 0 	 1 	 Contextual Resource Names
GET	/v1/me/library/albums/{id}	Fetch a library album by using its identifier. id string (Required) The unique identifier for the album. 	 0 	 1 	 Contextual Resource Names
GET	/v1/me/library/albums/{id}/{relationship}	Fetch a library albumâ€™s relationship by using its identifier. id string (Required) A unique identifier for the library album. relationship string (Required) The name of the relationship you want to fetch for this resource. Possible Values: artists, catalog, tracks 	 0 	 1 	 Contextual Resource Names
GET	/v1/me/library/albums	Fetch one or more library albums by using their identifiers. ids [string] (Required) The unique identifiers for the library albums. The maximum fetch limit is 100. l string The localization to use, specified by a language tag. The possible values are in the supportedLanguageTags array belonging to the Storefront object specified by storefront. Otherwise, the default is defaultLanguageTag in Storefront. include [string] Additional relationships to include in the fetch. extend [string] A list of attribute extensions to apply to resources in the response. 	 0 	 1 	 Contextual Resource Names
GET	/v1/me/library/albums	Fetch all the library albums in alphabetical order. include [string] Additional relationships to include in the fetch. l string The localization to use, specified by a language tag. The possible values are in the supportedLanguageTags array belonging to the Storefront object specified by storefront. Otherwise, the default is defaultLanguageTag in Storefront. limit integer The number of objects or number of objects in the specified relationship returned. offset string The next page or group of objects to fetch. extend [string] A list of attribute extensions to apply to resources in the response. 	 0 	 1 	 Contextual Resource Names
POST	/v1/me/library	Add a catalog resource to a userâ€™s iCloud Music Library. ids [string] (Required) The unique catalog identifiers for the resources. To indicate the type of resource to add, follow the ids with one of the allowed values. Add multiple types in the same request. l string The localization to use, specified by a language tag. The possible values are in the supportedLanguageTags array belonging to the Storefront object that storefront specifies. Otherwise, the default is defaultLanguageTag in Storefront. 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/artists/{id}	Fetch an artist by using the artistâ€™s identifier.id string (Required) The unique identifier for the artist. storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/artists/{id}/{relationship}	Fetch an artistâ€™s relationship by using its identifier. id string (Required) A unique identifier for the artist. relationship string (Required) The name of the relationship you want to fetch for this resource. Possible Values: albums, genres, music-videos, playlists, station storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/artists/{id}/view/{view}	Fetch related resources for a single artistâ€™s relationship view. id string (Required) A unique identifier for the artist. storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. view string (Required) The name of the resource view to fetch. 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/artists	Fetch one or more artists by using their identifiers. storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. 	 0 	 1 	 Contextual Resource Names
GET	/v1/me/library/artists/{id}	Fetch a library artist by using its identifier.  id string (Required) The unique identifier for the artist. 	 0 	 1 	 Contextual Resource Names
GET	/v1/me/library/artists/{id}/{relationship}	Fetch a library artistâ€™s relationship by using its identifier. id string (Required) A unique identifier for the library artist. relationship string (Required) The name of the relationship you want to fetch for this resource. Possible Values: albums, catalog 	 0 	 1 	 Contextual Resource Names
GET	/v1/me/library/artists	Fetch one or more library artists by using their identifiers.  n/a 	 0 	 1 	 Contextual Resource Names
GET	/v1/artists/{id}	A resource object that represents the artist of an album where an artist can be one or more people.  id string (Required) The identifier for the artist. 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/songs/{id}	Fetch a song by using its identifier.  id string (Required) The unique identifier for the song. storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/songs/{id}/{relationship}	Fetch a songâ€™s relationship by using its identifier.  id string (Required) A unique identifier for the song. relationship string (Required) The name of the relationship you want to fetch for this resource. Possible Values: albums, artists, composers, genres, library, music-videos, station storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/songs	Fetch one or more songs by using their identifiers. storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/songs	Fetch one or more songs by using their International Standard Recording Code (ISRC) values.  storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/songs	Fetch the equivalent, available content in the storefront for the provided songsâ€™ identifiers.  storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. 	 0 	 1 	 Contextual Resource Names
GET	/v1/me/library/songs/{id}	Fetch a library song by using its identifier.  id string (Required) The unique identifier for the library song. 	 0 	 1 	 Contextual Resource Names
GET	/v1/me/library/songs/{id}/{relationship}	Fetch a library songâ€™s relationship by using its identifier.  id string (Required) A unique identifier for the library song. relationship string (Required) The name of the relationship you want to fetch for this resource. Possible Values: albums, artists, catalog 	 0 	 1 	 Contextual Resource Names
GET	/v1/me/library/songs	Fetch one or more library songs by using their identifiers.  n/a 	 0 	 1 	 Contextual Resource Names
GET	/v1/me/library/songs	Fetch all the library songs in alphabetical order.  n/a 	 0 	 1 	 Contextual Resource Names
POST	/v1/me/library	Add a catalog resource to a userâ€™s iCloud Music Library.  n/a 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/music-videos/{id}	Fetch a music video by using its identifier.  id string (Required) The unique identifier for the music video. storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/music-videos/{id}/{relationship}	Fetch a music videoâ€™s relationship by using its identifier.  id string (Required) The unique identifier for the music video. relationship string (Required) The name of the relationship you want to fetch for this resource. Possible Values: albums, artists, genres, library, songs storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/music-videos/{id}/view/{view}	Fetch related resources for a single music videoâ€™s relationship view. 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/music-videos	Fetch one or more music videos by using their identifiers.  storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/music-videos	Fetch one or more music videos by using their International Standard Recording Code (ISRC) values. storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. 	 0 	 1 	 Contextual Resource Names
GET	/v1/catalog/{storefront}/music-videos	Fetch the equivalent, available content in the storefront for the provided music videosâ€™ identifiers.  storefront string (Required) An iTunes Store territory, specified by an ISO 3166 alpha-2 country code. The possible values are the id attributes of Storefront objects. 	 0 	 1 	 Contextual Resource Names
GET	/v1/me/library/music-videos/{id}	Fetch a library music video by using its identifier.  id string (Required) The unique identifier for the library music video. 	 0 	 1 	 Contextual Resource Names
GET	/v1/me/library/music-videos/{id}/{relationship}	Fetch a library music videoâ€™s relationship by using its identifier.  id string (Required) The unique identifier for the library music video. relationship string (Required) The name of the relationship you want to fetch for this resource. Possible Values: albums, artists, catalog 	 0 	 1 	 Contextual Resource Names
GET	/v1/me/library/music-videos	Fetch one or more library music videos by using their identifiers.  n/a 	 0 	 1 	 Contextual Resource Names
GET	/v1/me/library/music-videos	Fetch all the library music videos in alphabetical order.  n/a 	 0 	 1 	 Contextual Resource Names
