HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET 	 /abuseReport/{id} 	 Find an abuse report.  id AbuseReportID! ID of the abuse report. 	 1 	 0 	 No Version Found
GET 	 /abuseReportLabels 	 Abuse report labels.  searchTerm String Search term to find labels with. 	 1 	 0 	 No Version Found
GET 	 /addOnPurchase/{id} 	 Retrieve the active add-on purchase. This query can be used in GitLab SaaS and self-managed environments addOnType	GitlabSubscriptionsAddOnType!	Type of add-on for the add-on purchase. namespaceId	NamespaceID	ID of namespace that the add-on was purchased for. 	 1 	 0 	 No Version Found
GET 	 /aiMessages 	 Find GitLab Duo Chat messages.  requestIds [ID!] Array of request IDs to fetch. roles [AiMessageRole!] Array of roles to fetch. 	 1 	 0 	 No Version Found
GET 	 /auditEventDefinitions 	 Definitions for all audit events available on the instance.  n/a 	 1 	 0 	 No Version Found
GET 	 /auditEventsInstanceAmazonS3Configurations 	 Instance-level Amazon S3 configurations for audit events. n/a 	 1 	 0 	 No Version Found
GET 	 /boardList/{id} 	 Find an issue board list.  id ListID! Global ID of the list. 	 1 	 0 	 No Version Found
GET 	 /ciCatalogResource/{id} 	 A single CI/CD Catalog resource visible to an authorized user.  id CiCatalogResourceID CI/CD Catalog resource global ID. 	 1 	 0 	 No Version Found
GET 	 /ciCatalogResources/{projectPath} 	 All CI/CD Catalog resources under a common namespace, visible to an authorized user.  projectPath ID Project with the namespace catalog. 	 1 	 0 	 No Version Found
GET 	 /ciConfig/{projectPath} 	 Linted and processed contents of a CI config. Should not be requested more than once per request  projectPath ID! Project of the CI config. 	 1 	 0 	 No Version Found
GET 	 /ciMinutesUsage/{namespaceId} 	 Compute usage data for a namespace.  namespaceId NamespaceID Global ID of the Namespace for the monthly compute usage. 	 1 	 0 	 No Version Found
GET 	 /ciPipelineStage/{id} 	 Stage belonging to a CI pipeline. id CiStageID! Global ID of the CI stage. 	 1 	 0 	 No Version Found
GET 	 /ciQueueingHistory 	 Time it took for ci job to be picked up by runner in percentiles. n/a 	 1 	 0 	 No Version Found
GET 	 /ciVariables 	 List of the instanceâ€™s CI/CD variables.  n/a 	 1 	 0 	 No Version Found
GET 	 /containerRepository/{id} 	 Find a container repository.  id ContainerRepositoryID! Global ID of the container repository. 	 1 	 0 	 No Version Found
GET 	 /currentLicense 	 Fields related to the current license.  n/a 	 1 	 0 	 No Version Found
GET 	 /currentUser 	 Get information about current user.  n/a 	 1 	 0 	 No Version Found
GET 	 /designManagement 	 Fields related to design management.  n/a 	 1 	 0 	 No Version Found
GET 	 /devopsAdoptionEnabledNamespaces/{displayNamespaceId} 	 Get configured DevOps adoption namespaces. BETA This endpoint is subject to change without notice.  displayNamespaceId NamespaceID Filter by display namespace. 	 1 	 0 	 No Version Found
GET 	 /echo 	 Testing endpoint to validate the API with.  n/a 	 1 	 0 	 No Version Found
GET 	 /epicBoardList/{id} 	 Returns EpicList.  id BoardsEpicListID! Global ID of the list. 	 1 	 0 	 No Version Found
GET 	 /explainVulnerabilityPrompt/{vulnerabilityId} 	 GitLab Duo Vulnerability summary prompt for a specified vulnerability. vulnerabilityId VulnerabilityID! Vulnerability to generate a prompt for. 	 1 	 0 	 No Version Found
GET 	 /frecentGroups 	 A userâ€™s frecently visited groups. n/a 	 1 	 0 	 No Version Found
GET 	 /frecentProjects 	 A userâ€™s frecently visited projects.  n/a 	 1 	 0 	 No Version Found
GET 	 /geoNode 	 Find a Geo node  n/a 	 1 	 0 	 No Version Found
GET 	 /gitpodEnabled 	 Whether Gitpod is enabled in application settings.  n/a 	 1 	 0 	 No Version Found
GET 	 /group 	 Find a group  n/a 	 1 	 0 	 No Version Found
