HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET 	 /{ig-comment-id}?fields={fields} 	 Get fields and edges on an IG Comment.n/a 	 0 	 1 	
GET 	 /oauth/access_token 	 To generate an app access token, you needn/a 	 0 	 1 	
GET 	 /{user-id}/accounts?access_token={user-access-token} 	 Page access tokens are used in Graph API calls to manage Pages. To generate a page access token, an admin of the page must grant your app the Page permission or permissions needed. Once granted, you can retrieve the Page access token using a user access token with the required permissions.n/a 	 0 	 1 	
GET 	 /{app-id}|{client-token} 	 Client tokens make Graph API requests on behalf of apps instead of users.n/a 	 0 	 1 	
GET 	 /{api-version}/{ig-comment-id} 	 Get Instagram comments{api-version} API version. {ig-comment-id} Required. IG Comment ID. 	 0 	 1 	
GET 	 /{api-version}/{ig-comment-id}/replies 	 Get a list of IG Comments on the IG Comment; Create an IG Comment on an IG Comment.n/a 	 0 	 1 	
POST 	 /{ig-comment-id}/replies?message={message} 	 Replying to a Comment{message} (required) â€” The text to be included in the comment. 	 0 	 1 	
POST 	 /{ig-media-id}/comments 	 Create an IG Comment on an IG Media objectn/a 	 0 	 1 	
GET 	 /{ig-comment-id}/replies 	 Returns a list of IG Comments on an IG Comment. 	 0 	 1 	
DELETE 	 /{ig-comment-id} 	 Deleting a Commentn/a 	 0 	 1 	
GET 	 /{api-version}/{instagram-container-id}?fields={fields}&access_token={access-token} 	 Get fields and edges on an IG Container.access_token Required String The app user's User access token. fields Comma-separated list A comma-separated list of fields and edges you want returned. If omitted, default fields will be returned. 	 0 	 1 	
GET 	 /{api-version}/{ig-hashtag-id}?fields={fields}&access_token={access-token} 	 Returns Fields and Edges on an IG Hashtag.access_token Required String The app user's Instagram User Access Token. fields Comma-separated list A comma-separated list of Fields and Edges you want returned. If omitted, default fields will be returned. 	 0 	 1 	
GET 	 /{api-version}/{ig-media-id}?fields={fields}&access_token={access-token} 	 Gets fields and edges on IG media.access_token {access-token} Required. App user's user access token. fields {fields} Comma-separated list of fields you want returned 	 0 	 1 	
