HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET 	 /allCards 	 Fetches all pipe cards based on argumentsn/a 	 0 	 1 	
GET 	 /autoFillFields 	 Lookup the values that will automatically fill the child-card's start form fieldsn/a 	 0 	 1 	
GET 	 /card 	 Lookup a card by its IDn/a 	 0 	 1 	
GET 	 /cards 	 Fetches a group of cards based on argumentsn/a 	 0 	 1 	
GET 	 /cardsImportations/{pipeId} 	 Lookup the cards importer history by the pipe IDpipeId: ID! Required. The pipe ID 	 0 	 1 	
GET 	 /findCards/{pipeId} 	 Fetch cards based on fields' inputspipeId: ID! Required. The pipe ID 	 0 	 1 	
GET 	 /findCards/{tableId} 	 Fetch records based on fields' inputstableId: String! Required. The table ID 	 0 	 1 	
GET 	 /inbox_emails/card_id 	 Lookup the card's emails by its IDcard_id: ID! Required. The card ID 	 0 	 1 	
GET 	 /me 	 Returns informations of the current authenticated usern/a 	 0 	 1 	
GET 	 /organization/{id} 	 Lookup an organization by its IDid: ID! Required. The organization ID 	 0 	 1 	
GET 	 /organizations/{ids} 	 Lookup organizations by their IDids: [ID] The organizations IDs 	 0 	 1 	
GET 	 /phase/{id} 	 Lookup a phase by its IDid: ID! Required. The phase ID 	 0 	 1 	
GET 	 /pipe/{id} 	 Lookup a pipe by its IDid: ID! Required. The pipe ID 	 0 	 1 	
GET 	 /pipeReportExport/{id} 	 Lookup a pipe report export by its IDid: ID! Required. The export ID 	 0 	 1 	
GET 	 /pipe/{ids} 	 Lookup a pipe by their IDids: ID! Required. The pipes ID 	 0 	 1 	
GET 	 /pipe_relations/{id} 	 Lookup pipe relations by their IDids: [ID]! Required. The pipe relation ID 	 0 	 1 	
GET 	 /pipe_templates 	 Lookup all pipe templates available on Pipefyn/a 	 0 	 1 	
GET 	 /recordsImportations/{tableID} 	 Lookup the records importer history by the table IDtableId: ID! Required. The table ID 	 0 	 1 	
GET 	 /table/{id} 	 Lookup a database table by its IDid: ID! Required. The table ID 	 0 	 1 	
GET 	 /table/{ids} 	 Lookup a database tables by their IDids: ID! Required. The table ID 	 0 	 1 	
GET 	 /table_record/{id} 	 Lookup a record by its IDid: ID! Required. The record ID 	 0 	 1 	
GET 	 /table_records/{table_id} 	 Fetches a group of records based on argumentstable_id: ID! Required. The table ID 	 0 	 1 	
GET 	 /table_relations/{ids} 	 Lookup table relations by their IDids: [ID]! Required. The table relation ID 	 0 	 1 	
POST 	 /clonePipes 	 Clones a pipen/a 	 0 	 1 	
POST 	 /createCard 	 Creates a cardn/a 	 0 	 1 	
POST 	 /createCardRelation 	 Creates a card relationn/a 	 0 	 1 	
POST 	 /createComment 	 Creates a commentn/a 	 0 	 1 	
POST 	 /createFieldCondition 	 Creates a field conditionn/a 	 0 	 1 	
POST 	 /createInboxEmail 	 Creates an emailn/a 	 0 	 1 	
POST 	 /createLabel 	 Creates a labeln/a 	 0 	 1 	
POST 	 /createOrganization 	 Creates an organizationn/a 	 0 	 1 	
POST 	 /createOrganizationWebhook 	 Creates an organization-level webhookn/a 	 0 	 1 	
POST 	 /createPhase 	 Creates a phasen/a 	 0 	 1 	
POST 	 /createPhaseField 	 Creates a phase fieldn/a 	 0 	 1 	
POST 	 /createPipe 	 Creates a pipen/a 	 0 	 1 	
POST 	 /createPipeRelation 	 Creates a pipe relationn/a 	 0 	 1 	
POST 	 /createPresignedUrl 	 Returns a temporary S3 presigned url to upload a filen/a 	 0 	 1 	
POST 	 /createPresignedUrlForPipePdfTemplate 	 Returns a temporary S3 presigned url to upload a pdf template imagen/a 	 0 	 1 	
POST 	 /createTable 	 Creates a tablen/a 	 0 	 1 	
POST 	 /createTableField 	 Creates a table fieldn/a 	 0 	 1 	
POST 	 /createTableRecord 	 Creates a recordn/a 	 0 	 1 	
POST 	 /createTableRecordInRestrictedTable 	 Creates a record in a private tablen/a 	 0 	 1 	
POST 	 /createTableRelation 	 Creates a table relationn/a 	 0 	 1 	
POST 	 /createWebhook 	 Creates a webhook at a pipe or table leveln/a 	 0 	 1 	
POST 	 /deleteCard 	 Deletes a cardn/a 	 0 	 1 	
POST 	 /deleteComment 	 Deletes a commentn/a 	 0 	 1 	
POST 	 /deleteFieldCondition 	 Deletes a field conditionn/a 	 0 	 1 	
POST 	 /deleteInboxEmail 	 Deletes an emailn/a 	 0 	 1 	
POST 	 /deleteLabel 	 Deletes a labeln/a 	 0 	 1 	
POST 	 /deleteOrganization 	 Deletes an organizationn/a 	 0 	 1 	
POST 	 /deleteOrganizationWebhook 	 Deletes a webhookn/a 	 0 	 1 	
POST 	 /deletePhase 	 Deletes a phasen/a 	 0 	 1 	
POST 	 /deletePhaseField 	 Deletes a phase fieldn/a 	 0 	 1 	
POST 	 /deletePipe 	 Deletes a pipen/a 	 0 	 1 	
POST 	 /deletePipeRelation 	 Deletes a pipe relationn/a 	 0 	 1 	
POST 	 /deleteTable 	 Deletes a tablen/a 	 0 	 1 	
POST 	 /deleteTableField 	 Deletes a table fieldn/a 	 0 	 1 	
POST 	 /deleteTableRecord 	 Deletes a recordn/a 	 0 	 1 	
POST 	 /deleteTableRelation 	 Deletes a table relationn/a 	 0 	 1 	
POST 	 /deleteWebhook 	 Deletes a webhook (pipe or table level)n/a 	 0 	 1 	
POST 	 /exportPipeReport 	 Exports a pipe reportn/a 	 0 	 1 	
POST 	 /createTableRelation 	 Creates a table relationn/a 	 0 	 1 	
POST 	 /createWebhook 	 Creates a webhook at a pipe or table leveln/a 	 0 	 1 	
POST 	 /deleteCard 	 Deletes a cardn/a 	 0 	 1 	
POST 	 /deleteComment 	 Deletes a commentn/a 	 0 	 1 	
POST 	 /deleteFieldCondition 	 Deletes a field conditionn/a 	 0 	 1 	
POST 	 /deleteInboxEmail 	 Deletes an emailn/a 	 0 	 1 	
POST 	 /deleteInboxEmail 	 Deletes an emailn/a 	 0 	 1 	
POST 	 /deleteOrganization 	 Deletes an organizationn/a 	 0 	 1 	
POST 	 /deleteOrganizationWebhook 	 Deletes a webhookn/a 	 0 	 1 	
POST 	 /deletePhase 	 Deletes a phasen/a 	 0 	 1 	
POST 	 /deletePhaseField 	 Deletes a phase fieldn/a 	 0 	 1 	
POST 	 /deletePipe 	 Deletes a pipen/a 	 0 	 1 	
POST 	 /deletePipeRelation 	 Deletes a pipe relationn/a 	 0 	 1 	
