HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET	/allCards	Fetches all pipe cards based on arguments  n/a 	 0 	 1 	 Contextual Resource Names
GET	/autoFillFields	Lookup the values that will automatically fill the child-card's start form fields n/a 	 0 	 1 	 Contextual Resource Names
GET	/card	Lookup a card by its ID  n/a 	 0 	 1 	 Contextual Resource Names
GET	/cards	Fetches a group of cards based on arguments n/a 	 0 	 1 	 Contextual Resource Names
GET	/cardsImportations/{pipeId}	Lookup the cards importer history by the pipe ID pipeId: ID! Required. The pipe ID 	 0 	 1 	 Contextual Resource Names
GET	/findCards/{pipeId}	Fetch cards based on fields' inputs  pipeId: ID! Required. The pipe ID 	 0 	 1 	 Contextual Resource Names
GET	/findCards/{tableId}	Fetch records based on fields' inputs tableId: String! Required. The table ID 	 0 	 1 	 Contextual Resource Names
GET	/inbox_emails/card_id	Lookup the card's emails by its ID card_id: ID! Required. The card ID 	 0 	 1 	 Contextual Resource Names
GET	/organization/{id}	Lookup an organization by its ID id: ID! Required. The organization ID 	 0 	 1 	 Contextual Resource Names
GET	/organizations/{ids}	Lookup organizations by their ID ids: [ID] The organizations IDs 	 0 	 1 	 Contextual Resource Names
GET	/phase/{id}	Lookup a phase by its ID  id: ID! Required. The phase ID 	 0 	 1 	 Contextual Resource Names
GET	/pipe/{id}	Lookup a pipe by its ID id: ID! Required. The pipe ID 	 0 	 1 	 Contextual Resource Names
GET	/pipeReportExport/{id}	Lookup a pipe report export by its ID id: ID! Required. The export ID 	 0 	 1 	 Contextual Resource Names
GET	/pipe/{ids}	Lookup a pipe by their ID ids: ID! Required. The pipes ID 	 0 	 1 	 Contextual Resource Names
GET	/pipe_relations/{id}	Lookup pipe relations by their ID ids: [ID]! Required. The pipe relation ID 	 0 	 1 	 Contextual Resource Names
GET	/pipe_templates	Lookup all pipe templates available on Pipefy n/a 	 0 	 1 	 Contextual Resource Names
GET	/recordsImportations/{tableID}	Lookup the records importer history by the table ID tableId: ID! Required. The table ID 	 0 	 1 	 Contextual Resource Names
GET	/table/{id}	Lookup a database table by its ID  id: ID! Required. The table ID 	 0 	 1 	 Contextual Resource Names
GET	/table/{ids}	Lookup a database tables by their ID  ids: ID! Required. The table ID 	 0 	 1 	 Contextual Resource Names
GET	/table_record/{id}	Lookup a record by its ID  id: ID! Required. The record ID 	 0 	 1 	 Contextual Resource Names
GET	/table_records/{table_id}	Fetches a group of records based on arguments table_id: ID! Required. The table ID 	 0 	 1 	 Contextual Resource Names
GET	/table_relations/{ids}	Lookup table relations by their ID ids: [ID]! Required. The table relation ID 	 0 	 1 	 Contextual Resource Names
POST	/clonePipes	Clones a pipe  n/a 	 0 	 1 	 Contextual Resource Names
POST	/createCard	Creates a card n/a 	 0 	 1 	 Contextual Resource Names
POST	/createCardRelation	Creates a card relation n/a 	 0 	 1 	 Contextual Resource Names
POST	/createComment	Creates a comment  n/a 	 0 	 1 	 Contextual Resource Names
POST	/createFieldCondition	Creates a field condition n/a 	 0 	 1 	 Contextual Resource Names
POST	/createInboxEmail	Creates an email n/a 	 0 	 1 	 Contextual Resource Names
POST	/createLabel	Creates a label  n/a 	 0 	 1 	 Contextual Resource Names
POST	/createOrganization	Creates an organization n/a 	 0 	 1 	 Contextual Resource Names
POST	/createOrganizationWebhook	Creates an organization-level webhook n/a 	 0 	 1 	 Contextual Resource Names
POST	/createPhase	Creates a phase n/a 	 0 	 1 	 Contextual Resource Names
POST	/createPhaseField	Creates a phase field n/a 	 0 	 1 	 Contextual Resource Names
POST	/createPipe	Creates a pipe n/a 	 0 	 1 	 Contextual Resource Names
POST	/createPipeRelation	Creates a pipe relation  n/a 	 0 	 1 	 Contextual Resource Names
POST	/createPresignedUrl	Returns a temporary S3 presigned url to upload a file n/a 	 0 	 1 	 Contextual Resource Names
POST	/createPresignedUrlForPipePdfTemplate	Returns a temporary S3 presigned url to upload a pdf template image n/a 	 1 	 0 	 Contextless Resource Names
POST	/createTable	Creates a table n/a 	 0 	 1 	 Contextual Resource Names
POST	/createTableField	Creates a table field n/a 	 0 	 1 	 Contextual Resource Names
POST	/createTableRecord	Creates a record  n/a 	 0 	 1 	 Contextual Resource Names
POST	/createTableRecordInRestrictedTable	Creates a record in a private table n/a 	 0 	 1 	 Contextual Resource Names
POST	/createTableRelation	Creates a table relation n/a 	 0 	 1 	 Contextual Resource Names
POST	/createWebhook	Creates a webhook at a pipe or table level  n/a 	 0 	 1 	 Contextual Resource Names
POST	/deleteCard	Deletes a card n/a 	 0 	 1 	 Contextual Resource Names
POST	/deleteComment	Deletes a comment n/a 	 0 	 1 	 Contextual Resource Names
POST	/deleteFieldCondition	Deletes a field condition n/a 	 0 	 1 	 Contextual Resource Names
POST	/deleteInboxEmail	Deletes an email n/a 	 0 	 1 	 Contextual Resource Names
POST	/deleteLabel	Deletes a label n/a 	 0 	 1 	 Contextual Resource Names
POST	/deleteOrganization	Deletes an organization n/a 	 0 	 1 	 Contextual Resource Names
POST	/deleteOrganizationWebhook	Deletes a webhook n/a 	 0 	 1 	 Contextual Resource Names
POST	/deletePhase	Deletes a phase n/a 	 0 	 1 	 Contextual Resource Names
POST	/deletePhaseField	Deletes a phase field n/a 	 0 	 1 	 Contextual Resource Names
POST	/deletePipe	Deletes a pipe n/a 	 0 	 1 	 Contextual Resource Names
POST	/deletePipeRelation	Deletes a pipe relation n/a 	 0 	 1 	 Contextual Resource Names
POST	/deleteTable	Deletes a table  n/a 	 0 	 1 	 Contextual Resource Names
POST	/deleteTableField	Deletes a table field  n/a 	 0 	 1 	 Contextual Resource Names
POST	/deleteTableRecord	Deletes a record n/a 	 0 	 1 	 Contextual Resource Names
POST	/deleteTableRelation	Deletes a table relation  n/a 	 0 	 1 	 Contextual Resource Names
