HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET	/allCards	Fetches all pipe cards based on arguments  n/a 	 0 	 1 	 Pertinent Documentation
GET	/autoFillFields	Lookup the values that will automatically fill the child-card's start form fields n/a 	 0 	 1 	 Pertinent Documentation
GET	/card	Lookup a card by its ID  n/a 	 0 	 1 	 Pertinent Documentation
GET	/cards	Fetches a group of cards based on arguments n/a 	 0 	 1 	 Pertinent Documentation
GET	/cardsImportations/{pipeId}	Lookup the cards importer history by the pipe ID pipeId: ID! Required. The pipe ID 	 0 	 1 	 Pertinent Documentation
GET	/findCards/{pipeId}	Fetch cards based on fields' inputs  pipeId: ID! Required. The pipe ID 	 0 	 1 	 Pertinent Documentation
GET	/findCards/{tableId}	Fetch records based on fields' inputs tableId: String! Required. The table ID 	 0 	 1 	 Pertinent Documentation
GET	/inbox_emails/card_id	Lookup the card's emails by its ID card_id: ID! Required. The card ID 	 0 	 1 	 Pertinent Documentation
GET	/me	Returns informations of the current authenticated user n/a 	 0 	 1 	 Pertinent Documentation
GET	/organization/{id}	Lookup an organization by its ID id: ID! Required. The organization ID 	 0 	 1 	 Pertinent Documentation
GET	/organizations/{ids}	Lookup organizations by their ID ids: [ID] The organizations IDs 	 0 	 1 	 Pertinent Documentation
GET	/phase/{id}	Lookup a phase by its ID  id: ID! Required. The phase ID 	 0 	 1 	 Pertinent Documentation
GET	/pipe/{id}	Lookup a pipe by its ID id: ID! Required. The pipe ID 	 0 	 1 	 Pertinent Documentation
GET	/pipeReportExport/{id}	Lookup a pipe report export by its ID id: ID! Required. The export ID 	 0 	 1 	 Pertinent Documentation
GET	/pipe/{ids}	Lookup a pipe by their ID ids: ID! Required. The pipes ID 	 0 	 1 	 Pertinent Documentation
GET	/pipe_relations/{id}	Lookup pipe relations by their ID ids: [ID]! Required. The pipe relation ID 	 0 	 1 	 Pertinent Documentation
GET	/pipe_templates	Lookup all pipe templates available on Pipefy n/a 	 0 	 1 	 Pertinent Documentation
GET	/recordsImportations/{tableID}	Lookup the records importer history by the table ID tableId: ID! Required. The table ID 	 0 	 1 	 Pertinent Documentation
GET	/table/{id}	Lookup a database table by its ID  id: ID! Required. The table ID 	 0 	 1 	 Pertinent Documentation
GET	/table/{ids}	Lookup a database tables by their ID  ids: ID! Required. The table ID 	 0 	 1 	 Pertinent Documentation
GET	/table_record/{id}	Lookup a record by its ID  id: ID! Required. The record ID 	 0 	 1 	 Pertinent Documentation
GET	/table_records/{table_id}	Fetches a group of records based on arguments table_id: ID! Required. The table ID 	 0 	 1 	 Pertinent Documentation
GET	/table_relations/{ids}	Lookup table relations by their ID ids: [ID]! Required. The table relation ID 	 0 	 1 	 Pertinent Documentation
POST	/clonePipes	Clones a pipe  n/a 	 0 	 1 	 Pertinent Documentation
POST	/createCard	Creates a card n/a 	 0 	 1 	 Pertinent Documentation
POST	/createCardRelation	Creates a card relation n/a 	 0 	 1 	 Pertinent Documentation
POST	/createComment	Creates a comment  n/a 	 0 	 1 	 Pertinent Documentation
POST	/createFieldCondition	Creates a field condition n/a 	 0 	 1 	 Pertinent Documentation
POST	/createInboxEmail	Creates an email n/a 	 0 	 1 	 Pertinent Documentation
POST	/createLabel	Creates a label  n/a 	 0 	 1 	 Pertinent Documentation
POST	/createOrganization	Creates an organization n/a 	 0 	 1 	 Pertinent Documentation
POST	/createOrganizationWebhook	Creates an organization-level webhook n/a 	 0 	 1 	 Pertinent Documentation
POST	/createPhase	Creates a phase n/a 	 0 	 1 	 Pertinent Documentation
POST	/createPhaseField	Creates a phase field n/a 	 0 	 1 	 Pertinent Documentation
POST	/createPipe	Creates a pipe n/a 	 0 	 1 	 Pertinent Documentation
POST	/createPipeRelation	Creates a pipe relation  n/a 	 0 	 1 	 Pertinent Documentation
POST	/createPresignedUrl	Returns a temporary S3 presigned url to upload a file n/a 	 0 	 1 	 Pertinent Documentation
POST	/createPresignedUrlForPipePdfTemplate	Returns a temporary S3 presigned url to upload a pdf template image n/a 	 0 	 1 	 Pertinent Documentation
POST	/createTable	Creates a table n/a 	 0 	 1 	 Pertinent Documentation
POST	/createTableField	Creates a table field n/a 	 0 	 1 	 Pertinent Documentation
POST	/createTableRecord	Creates a record  n/a 	 0 	 1 	 Pertinent Documentation
POST	/createTableRecordInRestrictedTable	Creates a record in a private table n/a 	 0 	 1 	 Pertinent Documentation
POST	/deleteFieldCondition	Deletes a field condition n/a 	 0 	 1 	 Pertinent Documentation
POST	/deleteInboxEmail	Deletes an email n/a 	 0 	 1 	 Pertinent Documentation
POST	/deleteLabel	Deletes a label n/a 	 0 	 1 	 Pertinent Documentation
POST	/deleteOrganization	Deletes an organization n/a 	 0 	 1 	 Pertinent Documentation
POST	/deleteOrganizationWebhook	Deletes a webhook n/a 	 0 	 1 	 Pertinent Documentation
POST	/deletePhaseField	Deletes a phase field n/a 	 0 	 1 	 Pertinent Documentation
POST	/deletePipe	Deletes a pipe n/a 	 0 	 1 	 Pertinent Documentation
POST	/deletePipeRelation	Deletes a pipe relation n/a 	 0 	 1 	 Pertinent Documentation
POST	/deleteTable	Deletes a table  n/a 	 0 	 1 	 Pertinent Documentation
POST	/deleteTableField	Deletes a table field  n/a 	 0 	 1 	 Pertinent Documentation
POST	/deleteTableRecord	Deletes a record n/a 	 0 	 1 	 Pertinent Documentation
