HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET 	 /allCards 	 Fetches all pipe cards based on arguments  n/a 	 0 	 1 	 Self-descriptive End-point
GET 	 /autoFillFields 	 Lookup the values that will automatically fill the child-card's start form fields n/a 	 0 	 1 	 Self-descriptive End-point
GET 	 /card 	 Lookup a card by its ID  n/a 	 0 	 1 	 Self-descriptive End-point
GET 	 /cards 	 Fetches a group of cards based on arguments n/a 	 0 	 1 	 Self-descriptive End-point
GET 	 /cardsImportations/{pipeId} 	 Lookup the cards importer history by the pipe ID pipeId: ID! Required. The pipe ID 	 0 	 1 	 Self-descriptive End-point
GET 	 /findCards/{pipeId} 	 Fetch cards based on fields' inputs  pipeId: ID! Required. The pipe ID 	 0 	 1 	 Self-descriptive End-point
GET 	 /findCards/{tableId} 	 Fetch records based on fields' inputs tableId: String! Required. The table ID 	 0 	 1 	 Self-descriptive End-point
GET 	 /inbox_emails/card_id 	 Lookup the card's emails by its ID card_id: ID! Required. The card ID 	 0 	 1 	 Self-descriptive End-point
GET 	 /me 	 Returns informations of the current authenticated user n/a 	 0 	 1 	 Self-descriptive End-point
GET 	 /organization/{id} 	 Lookup an organization by its ID id: ID! Required. The organization ID 	 0 	 1 	 Self-descriptive End-point
GET 	 /organizations/{ids} 	 Lookup organizations by their ID ids: [ID] The organizations IDs 	 0 	 1 	 Self-descriptive End-point
GET 	 /phase/{id} 	 Lookup a phase by its ID  id: ID! Required. The phase ID 	 0 	 1 	 Self-descriptive End-point
GET 	 /pipe/{id} 	 Lookup a pipe by its ID id: ID! Required. The pipe ID 	 0 	 1 	 Self-descriptive End-point
GET 	 /pipeReportExport/{id} 	 Lookup a pipe report export by its ID id: ID! Required. The export ID 	 0 	 1 	 Self-descriptive End-point
GET 	 /pipe/{ids} 	 Lookup a pipe by their ID ids: ID! Required. The pipes ID 	 0 	 1 	 Self-descriptive End-point
GET 	 /pipe_relations/{id} 	 Lookup pipe relations by their ID ids: [ID]! Required. The pipe relation ID 	 0 	 1 	 Self-descriptive End-point
GET 	 /pipe_templates 	 Lookup all pipe templates available on Pipefy n/a 	 0 	 1 	 Self-descriptive End-point
GET 	 /recordsImportations/{tableID} 	 Lookup the records importer history by the table ID tableId: ID! Required. The table ID 	 0 	 1 	 Self-descriptive End-point
GET 	 /table/{id} 	 Lookup a database table by its ID  id: ID! Required. The table ID 	 0 	 1 	 Self-descriptive End-point
GET 	 /table/{ids} 	 Lookup a database tables by their ID  ids: ID! Required. The table ID 	 0 	 1 	 Self-descriptive End-point
GET 	 /table_record/{id} 	 Lookup a record by its ID  id: ID! Required. The record ID 	 0 	 1 	 Self-descriptive End-point
GET 	 /table_records/{table_id} 	 Fetches a group of records based on arguments table_id: ID! Required. The table ID 	 0 	 1 	 Self-descriptive End-point
GET 	 /table_relations/{ids} 	 Lookup table relations by their ID ids: [ID]! Required. The table relation ID 	 0 	 1 	 Self-descriptive End-point
POST 	 /clonePipes 	 Clones a pipe  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createCard 	 Creates a card n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createCardRelation 	 Creates a card relation n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createComment 	 Creates a comment  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createFieldCondition 	 Creates a field condition n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createInboxEmail 	 Creates an email n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createLabel 	 Creates a label  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createOrganization 	 Creates an organization n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createOrganizationWebhook 	 Creates an organization-level webhook n/a 	 1 	 0 	Non-descriptive End-point
POST 	 /createPhase 	 Creates a phase n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createPhaseField 	 Creates a phase field n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createPipe 	 Creates a pipe n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createPipeRelation 	 Creates a pipe relation  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createPresignedUrl 	 Returns a temporary S3 presigned url to upload a file n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createPresignedUrlForPipePdfTemplate 	 Returns a temporary S3 presigned url to upload a pdf template image n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createTable 	 Creates a table n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createTableField 	 Creates a table field n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createTableRecord 	 Creates a record  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createTableRecordInRestrictedTable 	 Creates a record in a private table n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /deleteFieldCondition 	 Deletes a field condition n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /deleteInboxEmail 	 Deletes an email n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /deleteLabel 	 Deletes a label n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /deleteOrganization 	 Deletes an organization n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /deleteOrganizationWebhook 	 Deletes a webhook n/a 	 1 	 0 	Non-descriptive End-point
POST 	 /deletePhaseField 	 Deletes a phase field n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /deletePipe 	 Deletes a pipe n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /deletePipeRelation 	 Deletes a pipe relation n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /deleteTable 	 Deletes a table  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /deleteTableField 	 Deletes a table field  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /deleteTableRecord 	 Deletes a record n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /deleteTableRelation 	 Deletes a table relation  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /deleteWebhook 	 Deletes a webhook (pipe or table level)  n/a 	 1 	 0 	Non-descriptive End-point
POST 	 /exportPipeReport 	 Exports a pipe report  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createTableRelation 	 Creates a table relation  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /createWebhook 	 Creates a webhook at a pipe or table level  n/a 	 1 	 0 	Non-descriptive End-point
POST 	 /deleteCard 	 Deletes a card  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /deleteComment 	 Deletes a comment  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /deletePipe 	 Deletes a pipe  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /interfaceEmbedCreat 	 Create a new Interface  n/a 	 1 	 0 	Non-descriptive End-point
POST 	 /inviteMembers 	 Invites new members for the organization  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /moveCardToPhase 	 Moves a card to another phase  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /recordsImporter 	 Create new records from a xlsx file  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /removeUserFromOrg 	 Remove a user from an organization  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /removeUserFromPipe 	 Removes a user from pipe  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /removeUserFromTable 	 Removes a user from table  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /sendInboxEmail 	 Sends an email  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /setFieldConditionOrder 	 Sets field condition order  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /setRole 	 Sets the role of a user  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /setRoles 	 Sets role of multiple users  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /setSummaryAttributes 	 Sets summary attributes n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /setTableFieldOrder 	 Sets table field order  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /setTableRecordFieldValue 	 Sets record field value  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /updateCard 	 Updates an existing card  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /updateCardField 	 Updates an existing card field  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /updateComment 	 Updates an existing comment  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /updateFieldsValues 	 Update one or many values of fields inside a Card or Table record.  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /updateLabel 	 Updates an existing label  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /updateOrganization 	 Updates an existing organization  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /updateOrganizationWebhook 	 Updates an existing organization-level webhook n/a 	 1 	 0 	Non-descriptive End-point
POST 	 /updatePhase 	 Updates an existing phase  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /updatePhaseField 	 Updates an existing phase field  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /updatePipe 	 Updates an existing pipe  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /updatePipeRelation 	 Updates an existing pipe relation  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /updateTable 	 Updates an existing table  n/a 	 0 	 1 	 Self-descriptive End-point
POST 	 /updateTableField 	 Updates an existing table field  n/a 	 0 	 1 	 Self-descriptive End-point
