HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET 	 /allCards 	 Fetches all pipe cards based on arguments n/a 	 0 	 1 	 Regular methods
GET 	 /autoFillFields 	 Lookup the values that will automatically fill the child-card's start form fieldsn/a 	 0 	 1 	 Regular methods
GET 	 /card 	 Lookup a card by its ID n/a 	 0 	 1 	 Regular methods
GET 	 /cards 	 Fetches a group of cards based on argumentsn/a 	 0 	 1 	 Regular methods
GET 	 /cardsImportations/{pipeId} 	 Lookup the cards importer history by the pipe IDpipeId: ID! Required. The pipe ID 	 0 	 1 	 Regular methods
GET 	 /findCards/{pipeId} 	 Fetch cards based on fields' inputs pipeId: ID! Required. The pipe ID 	 0 	 1 	 Regular methods
GET 	 /findCards/{tableId} 	 Fetch records based on fields' inputstableId: String! Required. The table ID 	 0 	 1 	 Regular methods
GET 	 /inbox_emails/card_id 	 Lookup the card's emails by its IDcard_id: ID! Required. The card ID 	 0 	 1 	 Regular methods
GET 	 /organization/{id} 	 Lookup an organization by its IDid: ID! Required. The organization ID 	 0 	 1 	 Regular methods
GET 	 /organizations/{ids} 	 Lookup organizations by their IDids: [ID] The organizations IDs 	 0 	 1 	 Regular methods
GET 	 /phase/{id} 	 Lookup a phase by its ID id: ID! Required. The phase ID 	 0 	 1 	 Regular methods
GET 	 /pipe/{id} 	 Lookup a pipe by its IDid: ID! Required. The pipe ID 	 0 	 1 	 Regular methods
GET 	 /pipeReportExport/{id} 	 Lookup a pipe report export by its IDid: ID! Required. The export ID 	 0 	 1 	 Regular methods
GET 	 /pipe/{ids} 	 Lookup a pipe by their IDids: ID! Required. The pipes ID 	 0 	 1 	 Regular methods
GET 	 /pipe_relations/{id} 	 Lookup pipe relations by their IDids: [ID]! Required. The pipe relation ID 	 0 	 1 	 Regular methods
GET 	 /pipe_templates 	 Lookup all pipe templates available on Pipefyn/a 	 0 	 1 	 Regular methods
GET 	 /recordsImportations/{tableID} 	 Lookup the records importer history by the table IDtableId: ID! Required. The table ID 	 0 	 1 	 Regular methods
GET 	 /table/{id} 	 Lookup a database table by its ID id: ID! Required. The table ID 	 0 	 1 	 Regular methods
GET 	 /table/{ids} 	 Lookup a database tables by their ID ids: ID! Required. The table ID 	 0 	 1 	 Regular methods
GET 	 /table_record/{id} 	 Lookup a record by its ID id: ID! Required. The record ID 	 0 	 1 	 Regular methods
GET 	 /table_records/{table_id} 	 Fetches a group of records based on argumentstable_id: ID! Required. The table ID 	 0 	 1 	 Regular methods
GET 	 /table_relations/{ids} 	 Lookup table relations by their IDids: [ID]! Required. The table relation ID 	 0 	 1 	 Regular methods
POST 	 /clonePipes 	 Clones a pipe n/a 	 0 	 1 	  [Pluralized last node with POST method.] 
POST 	 /createCard 	 Creates a cardn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 /createCardRelation 	 Creates a card relationn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 /createComment 	 Creates a comment n/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 /createFieldCondition 	 Creates a field conditionn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 /createInboxEmail 	 Creates an emailn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 /createLabel 	 Creates a label n/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 /createOrganization 	 Creates an organizationn/a 	 1 	 0 	  [Singular last node with POST method.] 
POST 	 /createOrganizationWebhook 	 Creates an organization-level webhookn/a 	 1 	 0 	  [Singular last node with POST method.] 
