HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET 	 /allCards 	 Fetches all pipe cards based on arguments n/a 	 1 	 0 	 No Version Found
GET 	 /autoFillFields 	 Lookup the values that will automatically fill the child-card's start form fieldsn/a 	 1 	 0 	 No Version Found
GET 	 /card 	 Lookup a card by its ID n/a 	 1 	 0 	 No Version Found
GET 	 /cards 	 Fetches a group of cards based on argumentsn/a 	 1 	 0 	 No Version Found
GET 	 /cardsImportations/{pipeId} 	 Lookup the cards importer history by the pipe IDpipeId: ID! Required. The pipe ID 	 1 	 0 	 No Version Found
GET 	 /findCards/{pipeId} 	 Fetch cards based on fields' inputs pipeId: ID! Required. The pipe ID 	 1 	 0 	 No Version Found
GET 	 /findCards/{tableId} 	 Fetch records based on fields' inputstableId: String! Required. The table ID 	 1 	 0 	 No Version Found
GET 	 /inbox_emails/card_id 	 Lookup the card's emails by its IDcard_id: ID! Required. The card ID 	 1 	 0 	 No Version Found
GET 	 /me 	 Returns informations of the current authenticated usern/a 	 1 	 0 	 No Version Found
GET 	 /organization/{id} 	 Lookup an organization by its IDid: ID! Required. The organization ID 	 1 	 0 	 No Version Found
GET 	 /organizations/{ids} 	 Lookup organizations by their IDids: [ID] The organizations IDs 	 1 	 0 	 No Version Found
GET 	 /phase/{id} 	 Lookup a phase by its ID id: ID! Required. The phase ID 	 1 	 0 	 No Version Found
GET 	 /pipe/{id} 	 Lookup a pipe by its IDid: ID! Required. The pipe ID 	 1 	 0 	 No Version Found
GET 	 /pipeReportExport/{id} 	 Lookup a pipe report export by its IDid: ID! Required. The export ID 	 1 	 0 	 No Version Found
GET 	 /pipe/{ids} 	 Lookup a pipe by their IDids: ID! Required. The pipes ID 	 1 	 0 	 No Version Found
GET 	 /pipe_relations/{id} 	 Lookup pipe relations by their IDids: [ID]! Required. The pipe relation ID 	 1 	 0 	 No Version Found
GET 	 /pipe_templates 	 Lookup all pipe templates available on Pipefyn/a 	 1 	 0 	 No Version Found
GET 	 /recordsImportations/{tableID} 	 Lookup the records importer history by the table IDtableId: ID! Required. The table ID 	 1 	 0 	 No Version Found
GET 	 /table/{id} 	 Lookup a database table by its ID id: ID! Required. The table ID 	 1 	 0 	 No Version Found
GET 	 /table/{ids} 	 Lookup a database tables by their ID ids: ID! Required. The table ID 	 1 	 0 	 No Version Found
GET 	 /table_record/{id} 	 Lookup a record by its ID id: ID! Required. The record ID 	 1 	 0 	 No Version Found
GET 	 /table_records/{table_id} 	 Fetches a group of records based on argumentstable_id: ID! Required. The table ID 	 1 	 0 	 No Version Found
GET 	 /table_relations/{ids} 	 Lookup table relations by their IDids: [ID]! Required. The table relation ID 	 1 	 0 	 No Version Found
POST 	 /clonePipes 	 Clones a pipe n/a 	 1 	 0 	 No Version Found
POST 	 /createCard 	 Creates a cardn/a 	 1 	 0 	 No Version Found
POST 	 /createCardRelation 	 Creates a card relationn/a 	 1 	 0 	 No Version Found
POST 	 /createComment 	 Creates a comment n/a 	 1 	 0 	 No Version Found
