HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
DELETE	/v2/users/:id/bookmarks/:tweet_id	Allows a user or authenticated user ID to remove a Bookmark of a Tweet.  id REQUIRED string The user ID of an authenticated user who you are removing a Bookmark of a Tweet on behalf of. It must match your own user ID or that of an authenticating user, meaning that you must pass the Access Tokens associated with the user ID when authenticating your request. tweet_id REQUIRED string The ID of the Tweet that you would like the id to remove a Bookmark of. 	 0 	 1 	 Pertinent Documentation
GET	/v2/users/:id/bookmarks	Allows you to get an authenticated user's 800 most recent bookmarked Tweets. id REQUIRED string User ID of an authenticated user to request bookmarked Tweets for. 	 0 	 1 	 Pertinent Documentation
POST	/v2/users/:id/bookmarks	Causes the user ID of an authenticated user identified in the path parameter to Bookmark the target Tweet provided in the request body. id REQUIRED string The user ID of an authenticated user who you are bookmarking a Tweet on behalf of. It must match your own user ID or that of an authenticating user, meaning that you must pass the Access Token associated with the user ID when authenticating your request. tweet_id REQUIRED string The ID of the Tweet that you would like an id to Bookmark. 	 0 	 1 	 Pertinent Documentation
GET	/v2/tweets/search/stream	Streams Tweets in real-time that match the rules that you added to the stream using the POST /tweets/search/stream/rules endpoint. If you haven't added any rules to your stream, you will not receive any Tweets. n/a 	 0 	 1 	 Pertinent Documentation
POST	/v2/tweets/search/stream/rules	Add or delete rules to your stream. Once you've added a rule or rules to your stream, you can retrieve all of the Tweets that match these rules by using the 	 0 	 1 	 Pertinent Documentation
GET	/tweets/search/stream	Return either a single rule, or a list of rules that have been added to the stream. 	 0 	 1 	 Pertinent Documentation
PUT	/v2/tweets/:id/hidden	Hides or unhides a reply to a Tweet. id REQUIRED string Unique identifier of the Tweet to hide or unhide. The Tweet must belong to a conversation initiated by the authenticating user. 	 0 	 1 	 Pertinent Documentation
DELETE	/v2/users/:id/likes/:tweet_id	Allows a user or authenticated user ID to unlike a Tweet. id Required string The user ID who you are removing a Like of a Tweet on behalf of. It must match your own user ID or that of an authenticating user, meaning that you must pass the Access Tokens associated with the user ID when authenticating your request. tweet_id Required string The ID of the Tweet that you would like the id to unlike. 	 0 	 1 	 Pertinent Documentation
GET	/v2/tweets/:id/liking_users	Allows you to get information about a Tweetâ€™s liking users. id REQUIRED string Tweet ID of the Tweet to request liking users of. 	 0 	 1 	 Pertinent Documentation
GET	/v2/users/:id/liked_tweets	Allows you to get information about a userâ€™s liked Tweets  id REQUIRED string User ID of the user to request liked Tweets for. 	 0 	 1 	 Pertinent Documentation
POST	/v2/users/:id/likes	Causes the user ID identified in the path parameter to Like the target Tweet.  POST /2/users/:id/likes Causes the user ID identified in the path parameter to Like the target Tweet. 	 0 	 1 	 Pertinent Documentation
DELETE	/v2/tweets/:id	Allows a user or authenticated user ID to delete a Tweet. id REQUIRED string The Tweet ID you are deleting. 	 0 	 1 	 Pertinent Documentation
