HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET	/appCategories	filter by attribute platforms 	 0 	 1 	 Pertinent Documentation
GET	/appCategories/{id}	the fields to include for returned resources of type appCategories 	 0 	 1 	 Pertinent Documentation
GET	/appEncryptionDeclarations	filter by attribute platform 	 0 	 1 	 Pertinent Documentation
GET	/appEncryptionDeclarations/{id}	the fields to include for returned resources of type appEncryptionDeclarations 	 0 	 1 	 Pertinent Documentation
GET	/appInfoLocalizations/{id}	the fields to include for returned resources of type appInfoLocalizations 	 0 	 1 	 Pertinent Documentation
GET	/appInfos/{id}	the fields to include for returned resources of type appInfos 	 0 	 1 	 Pertinent Documentation
GET	/appPreOrders/{id}	the fields to include for returned resources of type appPreOrders 	 0 	 1 	 Pertinent Documentation
GET	/appPreviewSets/{id}	the fields to include for returned resources of type appPreviews 	 0 	 1 	 Pertinent Documentation
GET	/appPreviews/{id}	the fields to include for returned resources of type appPreviews 	 0 	 1 	 Pertinent Documentation
GET	/appPricePoints	filter by id(s) of related priceTier 	 0 	 1 	 Pertinent Documentation
GET	/appPricePoints/{id}	the fields to include for returned resources of type appPricePoints 	 0 	 1 	 Pertinent Documentation
GET	/appPriceTiers	filter by id(s) 	 1 	 0 	 Non-pertinent Documentation
GET	/appPriceTiers/{id}	the fields to include for returned resources of type appPriceTiers 	 0 	 1 	 Pertinent Documentation
GET	/appPrices/{id}	the fields to include for returned resources of type appPrices 	 0 	 1 	 Pertinent Documentation
GET	/appScreenshotSets/{id}	the fields to include for returned resources of type appScreenshotSets 	 0 	 1 	 Pertinent Documentation
GET	/appScreenshots/{id}	the fields to include for returned resources of type appScreenshots 	 0 	 1 	 Pertinent Documentation
GET	/appStoreReviewAttachments/{id}	the fields to include for returned resources of type appStoreReviewAttachments 	 0 	 1 	 Pertinent Documentation
GET	/appStoreReviewDetails/{id}	he fields to include for returned resources of type appStoreReviewDetails 	 0 	 1 	 Pertinent Documentation
GET	/appStoreVersionLocalizations/{id}	the fields to include for returned resources of type appStoreVersionLocalizations 	 0 	 1 	 Pertinent Documentation
GET	/appStoreVersions/{id}	the fields to include for returned resources of type appStoreVersions 	 0 	 1 	 Pertinent Documentation
GET	/apps	filter by attribute 'appStoreVersions.appStoreState 	 0 	 1 	 Pertinent Documentation
GET	/betaAppLocalizations	filter by attribute locale 	 0 	 1 	 Pertinent Documentation
GET	/endUserLicenseAgreements/{id}	the fields to include for returned resources of type endUserLicenseAgreements 	 0 	 1 	 Pertinent Documentation
GET	/financeReports	filter by attribute regionCode 	 1 	 0 	 Non-pertinent Documentation
GET	/preReleaseVersions	filter by attribute builds.expired 	 1 	 0 	 Non-pertinent Documentation
GET	/routingAppCoverages/{id}	the fields to include for returned resources of type routingAppCoverages 	 0 	 1 	 Pertinent Documentation
GET	/salesReports	filter by attribute frequency 	 1 	 0 	 Non-pertinent Documentation
GET	/appCategories/{id}/subcategories	the fields to include for returned resources of type appCategories 	 0 	 1 	 Pertinent Documentation
GET	/appEncryptionDeclarations/{id}/app	the fields to include for returned resources of type apps 	 0 	 1 	 Pertinent Documentation
GET	/appInfos/{id}/ageRatingDeclaration	the fields to include for returned resources of type ageRatingDeclarations 	 0 	 1 	 Pertinent Documentation
GET	/appInfos/{id}/appInfoLocalizations	filter by attribute locale 	 0 	 1 	 Pertinent Documentation
GET	/appInfos/{id}/primaryCategory	the fields to include for returned resources of type appCategories 	 0 	 1 	 Pertinent Documentation
