HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET 	 /appCategories 	 filter by attribute platforms 	 0 	 1 	 
GET 	 /appCategories/{id} 	 the fields to include for returned resources of type appCategories 	 0 	 1 	 
GET 	 /appEncryptionDeclarations 	 filter by attribute platform 	 0 	 1 	 
GET 	 /appEncryptionDeclarations/{id} 	 the fields to include for returned resources of type appEncryptionDeclarations 	 0 	 1 	 
GET 	 /appInfoLocalizations/{id} 	 the fields to include for returned resources of type appInfoLocalizations 	 0 	 1 	 
GET 	 /appInfos/{id} 	 the fields to include for returned resources of type appInfos 	 0 	 1 	 
GET 	 /appPreOrders/{id} 	 the fields to include for returned resources of type appPreOrders 	 0 	 1 	 
GET 	 /appPreviewSets/{id} 	 the fields to include for returned resources of type appPreviews 	 0 	 1 	 
GET 	 /appPreviews/{id} 	 the fields to include for returned resources of type appPreviews 	 0 	 1 	 
GET 	 /appPricePoints 	 filter by id(s) of related priceTier 	 0 	 1 	 
GET 	 /appPricePoints/{id} 	 the fields to include for returned resources of type appPricePoints 	 0 	 1 	 
GET 	 /appPriceTiers 	 filter by id(s) 	 0 	 1 	 
GET 	 /appPriceTiers/{id} 	 the fields to include for returned resources of type appPriceTiers 	 0 	 1 	 
GET 	 /appPrices/{id} 	 the fields to include for returned resources of type appPrices 	 0 	 1 	 
GET 	 /appScreenshotSets/{id} 	 the fields to include for returned resources of type appScreenshotSets 	 0 	 1 	 
GET 	 /appScreenshots/{id} 	 the fields to include for returned resources of type appScreenshots 	 0 	 1 	 
GET 	 /appStoreReviewAttachments/{id} 	 the fields to include for returned resources of type appStoreReviewAttachments 	 0 	 1 	 
GET 	 /appStoreReviewDetails/{id} 	 he fields to include for returned resources of type appStoreReviewDetails 	 0 	 1 	 
GET 	 /appStoreVersionLocalizations/{id} 	 the fields to include for returned resources of type appStoreVersionLocalizations 	 0 	 1 	 
GET 	 /appStoreVersions/{id} 	 the fields to include for returned resources of type appStoreVersions 	 0 	 1 	 
GET 	 /apps 	 filter by attribute 'appStoreVersions.appStoreState 	 0 	 1 	 
GET 	 /betaAppLocalizations 	 filter by attribute locale 	 0 	 1 	 
GET 	 /endUserLicenseAgreements/{id} 	 the fields to include for returned resources of type endUserLicenseAgreements 	 0 	 1 	 
GET 	 /financeReports 	 filter by attribute regionCode 	 0 	 1 	 
GET 	 /preReleaseVersions 	 filter by attribute builds.expired 	 0 	 1 	 
GET 	 /routingAppCoverages/{id} 	 the fields to include for returned resources of type routingAppCoverages 	 0 	 1 	 
GET 	 /salesReports 	 filter by attribute frequency 	 0 	 1 	 
GET 	 /appCategories/{id}/subcategories 	 the fields to include for returned resources of type appCategories 	 0 	 1 	 
GET 	 /appEncryptionDeclarations/{id}/app 	 the fields to include for returned resources of type apps 	 0 	 1 	 
GET 	 /appInfos/{id}/ageRatingDeclaration 	 the fields to include for returned resources of type ageRatingDeclarations 	 0 	 1 	 
GET 	 /appInfos/{id}/appInfoLocalizations 	 filter by attribute locale 	 0 	 1 	 
GET 	 /appInfos/{id}/primaryCategory 	 the fields to include for returned resources of type appCategories 	 0 	 1 	 
