HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET 	 /appCategories 	 filter by attribute platforms 	 0 	 1 	 Regular methods
GET 	 /appCategories/{id} 	 the fields to include for returned resources of type appCategories 	 0 	 1 	 Regular methods
GET 	 /appEncryptionDeclarations 	 filter by attribute platform 	 0 	 1 	 Regular methods
GET 	 /appEncryptionDeclarations/{id} 	 the fields to include for returned resources of type appEncryptionDeclarations 	 0 	 1 	 Regular methods
GET 	 /appInfoLocalizations/{id} 	 the fields to include for returned resources of type appInfoLocalizations 	 0 	 1 	 Regular methods
GET 	 /appInfos/{id} 	 the fields to include for returned resources of type appInfos 	 0 	 1 	 Regular methods
GET 	 /appPreOrders/{id} 	 the fields to include for returned resources of type appPreOrders 	 0 	 1 	 Regular methods
GET 	 /appPreviewSets/{id} 	 the fields to include for returned resources of type appPreviews 	 0 	 1 	 Regular methods
GET 	 /appPreviews/{id} 	 the fields to include for returned resources of type appPreviews 	 0 	 1 	 Regular methods
GET 	 /appPricePoints 	 filter by id(s) of related priceTier 	 0 	 1 	 Regular methods
GET 	 /appPricePoints/{id} 	 the fields to include for returned resources of type appPricePoints 	 0 	 1 	 Regular methods
GET 	 /appPriceTiers 	 filter by id(s) 	 0 	 1 	 Regular methods
GET 	 /appPriceTiers/{id} 	 the fields to include for returned resources of type appPriceTiers 	 0 	 1 	 Regular methods
GET 	 /appPrices/{id} 	 the fields to include for returned resources of type appPrices 	 0 	 1 	 Regular methods
GET 	 /appScreenshotSets/{id} 	 the fields to include for returned resources of type appScreenshotSets 	 0 	 1 	 Regular methods
GET 	 /appScreenshots/{id} 	 the fields to include for returned resources of type appScreenshots 	 0 	 1 	 Regular methods
GET 	 /appStoreReviewAttachments/{id} 	 the fields to include for returned resources of type appStoreReviewAttachments 	 0 	 1 	 Regular methods
GET 	 /appStoreReviewDetails/{id} 	 he fields to include for returned resources of type appStoreReviewDetails 	 0 	 1 	 Regular methods
GET 	 /appStoreVersionLocalizations/{id} 	 the fields to include for returned resources of type appStoreVersionLocalizations 	 0 	 1 	 Regular methods
GET 	 /appStoreVersions/{id} 	 the fields to include for returned resources of type appStoreVersions 	 0 	 1 	 Regular methods
GET 	 /apps 	 filter by attribute 'appStoreVersions.appStoreState 	 0 	 1 	 Regular methods
GET 	 /betaAppLocalizations 	 filter by attribute locale 	 0 	 1 	 Regular methods
GET 	 /endUserLicenseAgreements/{id} 	 the fields to include for returned resources of type endUserLicenseAgreements 	 0 	 1 	 Regular methods
GET 	 /financeReports 	 filter by attribute regionCode 	 0 	 1 	 Regular methods
GET 	 /preReleaseVersions 	 filter by attribute builds.expired 	 0 	 1 	 Regular methods
GET 	 /routingAppCoverages/{id} 	 the fields to include for returned resources of type routingAppCoverages 	 0 	 1 	 Regular methods
GET 	 /salesReports 	 filter by attribute frequency 	 0 	 1 	 Regular methods
GET 	 /appCategories/{id}/subcategories 	 the fields to include for returned resources of type appCategories 	 0 	 1 	 Regular methods
GET 	 /appEncryptionDeclarations/{id}/app 	 the fields to include for returned resources of type apps 	 0 	 1 	 Regular methods
GET 	 /appInfos/{id}/ageRatingDeclaration 	 the fields to include for returned resources of type ageRatingDeclarations 	 0 	 1 	 Regular methods
GET 	 /appInfos/{id}/appInfoLocalizations 	 filter by attribute locale 	 0 	 1 	 Regular methods
GET 	 /appInfos/{id}/primaryCategory 	 the fields to include for returned resources of type appCategories 	 0 	 1 	 Regular methods
