HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
POST 	 /deployment/resources/instances 	 Deploying a virtual appliance. You can use the representational state transfer (REST) application programming interface (API) to deploy a virtual appliance. 	 1 	 0 	 No Version Found
DELETE 	 /deployment/resources/virtual data center./<virtual data center.UID> 	 Removing a virtual data center. You can remove a virtual data center as long as it is longer referenced by any resource in the Cloud Pak System environment. 	 1 	 0 	 No Version Found
POST 	 /deployment/resources/vm_configurations 	 Create a new configuration for the virtual machine. 	 1 	 0 	 No Version Found
POST 	 /deployment/resources/vdcs/{uuid}/vm_configurations 	 Create a new configuration for the virtual machine. 	 1 	 0 	 No Version Found
POST 	 /deployment/resources/volume_configurations 	 Create a new volume configuration. 	 1 	 0 	 No Version Found
POST 	 /deployment/resources/vdcs/{uuid}/volume_configurations 	 Create a new volume configuration. 	 1 	 0 	 No Version Found
POST 	 /deployment/resources/subnets 	 Create a new subnet. 	 1 	 0 	 No Version Found
DELETE 	 /deployment/resources/subnets/<subnetUUID> 	 Delete a subnet. 	 1 	 0 	 No Version Found
POST 	 /deployment/resources/addresses 	 Create a new address. 	 1 	 0 	 No Version Found
POST 	 /deployment/resources/subnet/<subnetUUID>/addresses 	 Create a range of addresses that are attached to a subnet. An API is available first to create a range of addresses from an IP range or a list of host names and then to attach those addresses to a subnet. 	 1 	 0 	 No Version Found
PUT 	 /deployment/resources/subnet/<subnetUUID>/addresses 	 Create a range of addresses that are attached to a subnet. An API is available first to create a range of addresses from an IP range or a list of host names and then to attach those addresses to a subnet. 	 1 	 0 	 No Version Found
PUT 	 /deployment/resources/addresses/<addressUUID> 	 You can use the representational state transfer (REST) application programming interface (API) to move an address from one subnet to another. 	 1 	 0 	 No Version Found
DELETE 	 /deployment/resources/addresses/<addressUUID> 	 Deleting an address. You can use the representational state transfer (REST) application programming interface (API) to delete an address. 	 1 	 0 	 No Version Found
POST 	 /deployment/resources/credentials 	 Creating a new credential 	 1 	 0 	 No Version Found
DELETE 	 /deployment/resources/credentials/<credentialUUID> 	 Deleting a credential 	 1 	 0 	 No Version Found
DELETE 	 /deployment/resources/images/<imageID> 	 Deleting images from the system 	 1 	 0 	 No Version Found
POST 	 /deployment/resources/groups 	 Creating a group 	 1 	 0 	 No Version Found
PUT 	 /deployment/resources/groups/<groupUUID> 	 Updating a group 	 1 	 0 	 No Version Found
GET 	 /deployment/resources/groups?isMaster=true 	 Retrieving master groups 	 1 	 0 	 No Version Found
GET 	 /deployment/resources/groups/group<UUID>?showNested=true 	 Retrieving nested and parent groups 	 1 	 0 	 No Version Found
PUT 	 /deployment/resources/instances/<instanceUUID> 	 Stopping, starting, or and restarting virtual machines 	 1 	 0 	 No Version Found
GET 	 /deployment/resources/instances 	 Viewing currently deployed virtual machines 	 1 	 0 	 No Version Found
DELETE 	 /deployment/resources/instances/<instanceUUID> 	 Deleting currently deployed virtual machines 	 1 	 0 	 No Version Found
GET 	 /deployment/resources/addresses 	 Getting a new address 	 1 	 0 	 No Version Found
POST 	 /deployment/resources/volumes 	 Creating a volume 	 1 	 0 	 No Version Found
DELETE 	 /deployment/resources/volumes/<volumeUUID> 	 Deleting a volume 	 1 	 0 	 No Version Found
POST 	 /deployment/resources/volumes 	 Attaching or detaching volumes 	 1 	 0 	 No Version Found
PUT 	 /deployment/resources/instances/<instanceUUID> 	 Storing a previously deployed virtual machine 	 1 	 0 	 No Version Found
GET 	 /deployment/resources/instance_snapshots 	 Retrieving a list of snapshots 	 1 	 0 	 No Version Found
GET 	 /deployment/resources/acls 	 Get all acls 	 1 	 0 	 No Version Found
POST 	 /audit/resources/audit_config 	 Create an audit configuration 	 1 	 0 	 No Version Found
POST 	 /admin/resources/backup 	 Initiate a backup operation 	 1 	 0 	 No Version Found
GET 	 /admin/resources/backup_subcomponents/{id} 	 Get information on a specified volume group 	 1 	 0 	 No Version Found
GET 	 /admin/resources/chassis_management_modules 	 Get all chassis management modules 	 1 	 0 	 No Version Found
