HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET 	 /bulk/devices 	 List devices. Sorting can be performed on any of the following properties (sort order can be reversed by prefixing the property name with '-'. 	 0 	 1 	 Self-descriptive End-point
POST 	 /bulk/devices/add 	 Register multiple new devices. Register multiple new devices, each request can contain a maximum of 512 kB. The response body will contain the generated authentication tokens for all devices. You must make sure to record these tokens when processing the response. We are not able to retrieve lost authentication tokens. 	 0 	 1 	 Self-descriptive End-point
POST 	 /bulk/devices/remove 	 Delete multiple devices. Delete multiple devices, each request can contain a maximum of 512 kB. 	 0 	 1 	 Self-descriptive End-point
GET 	 /device/types 	 List device types. Sorting can be performed on any of the following properties (sort order can be reversed by prefixing the property name with '-'): 	 0 	 1 	 Self-descriptive End-point
POST 	 /device/types 	 Create device type. 	 0 	 1 	 Self-descriptive End-point
GET 	 /device/types/{typeId} 	 Get device type. Gets device type details. 	 0 	 1 	 Self-descriptive End-point
PUT 	 /device/types/{typeId} 	 Update device type. Updates a device type. 	 0 	 1 	 Self-descriptive End-point
DELETE 	 /device/types/{typeId} 	 Delete device type. Deletes a device type. 	 0 	 1 	 Self-descriptive End-point
GET 	 /device/types/{typeId}/devices 	 List devices. Sorting can be performed on any of the following properties (sort order can be reversed by prefixing the property name with '-'). 	 0 	 1 	 Self-descriptive End-point
POST 	 /device/types/{typeId}/devices 	 Add device. Adds a device. 	 0 	 1 	 Self-descriptive End-point
GET 	 /device/types/{typeId}/devices/{deviceId} 	 Get device. Gets device details. 	 0 	 1 	 Self-descriptive End-point
PUT 	 /device/types/{typeId}/devices/{deviceId} 	 Update device. Updates a device. 	 0 	 1 	 Self-descriptive End-point
DELETE 	 /device/types/{typeId}/devices/{deviceId} 	 Remove device. Removes a device. 	 0 	 1 	 Self-descriptive End-point
GET 	 /device/types/{typeId}/devices/{deviceId}/devices 	 Get devices that are connected through the gateway specified by id {deviceId}. Gets information on devices that are connected through the specified gateway (typeId, deviceId) to Watson IoT Platform. 	 0 	 1 	 Self-descriptive End-point
GET 	 /device/types/{typeId}/devices/{deviceId}/edgestatus 	 Return the status of containers from an edge node. Return the status of containers from an edge node. 	 1 	 0 	Non-descriptive End-point
GET 	 /device/types/{typeId}/devices/{deviceId}/edgestatus/{serviceId} 	 Return the status of containers from an edge node filtering by service. Return the status of containers from an edge node filtering by service. 	 0 	 1 	 Self-descriptive End-point
