HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
POST	/admin/tenantKeys	Adds an encryption key for Power BI workspaces assigned to a capacity. 	 1 	 0 	 Contextless Resource Names
GET	/admin/apps?$top={$top}	Returns a list of apps in the orginization (Preview). This API allows 200 requests per hour at maximum. 	 0 	 1 	 Contextual Resource Names
GET	/admin/apps/{appId}/users	Returns a list of users that have access to the specified app (Preview). This API allows 200 requests per hour at maximum. 	 0 	 1 	 Contextual Resource Names
POST	/admin/capacities/AssignWorkspaces	Assigns the provided workspaces to the specified premium capacity. 	 0 	 1 	 Contextual Resource Names
POST	/admin/capacities/UnassignWorkspaces	Unassigns the provided workspaces from capacity. 	 0 	 1 	 Contextual Resource Names
GET	/admin/dashboards	Returns a list of dashboards for the organization. 	 0 	 1 	 Contextual Resource Names
GET	/admin/groups/{groupId}/dashboards	Returns a list of dashboards from the specified workspace. 	 0 	 1 	 Contextual Resource Names
GET	/admin/dataflows/{dataflowId}/export	Exports the specified dataflow definition to a .json file. 	 0 	 1 	 Contextual Resource Names
GET	/admin/dataflows/{dataflowId}/datasources	Returns a list of datasources for the specified dataflow. 	 0 	 1 	 Contextual Resource Names
GET	/admin/groups/{groupId}/dataflows	Returns a list of dataflows from the specified workspace. 	 0 	 1 	 Contextual Resource Names
GET	/admin/dataflows/{dataflowId}/users	Returns a list of users that have access to the specified dataflow (Preview). 	 0 	 1 	 Contextual Resource Names
GET	/admin/groups/{groupId}/dataflows/{dataflowId}/upstreamDataflows	Returns a list of upstream dataflows for the specified dataflow. 	 0 	 1 	 Contextual Resource Names
GET	/admin/groups/{groupId}/datasets	Returns a list of datasets from the specified workspace. 	 0 	 1 	 Contextual Resource Names
GET	/admin/groups/{groupId}/datasets/upstreamDataflows	Returns a list of upstream dataflows for datasets from the specified workspace. 	 0 	 1 	 Contextual Resource Names
GET	/admin/datasets/{datasetId}/datasources	Returns a list of datasources for the specified dataset. 	 0 	 1 	 Contextual Resource Names
GET	/admin/capacities	Returns a list of capacities for the organization. 	 0 	 1 	 Contextual Resource Names
POST	/admin/groups/{groupId}/users	Grants user permissions to the specified workspace. 	 0 	 1 	 Contextual Resource Names
DELETE	/admin/pipelines/{pipelineId}/users/{identifier}	Remove user permissions from a specified deployment pipeline. 	 0 	 1 	 Contextual Resource Names
POST	/admin/tenantKeys/{tenantKeyId}/Default.Rotate	Rotate the encryption key for Power BI workspaces assigned to a capacity. 	 0 	 1 	 Contextual Resource Names
GET	/admin/workspaces/modified	Gets a list of workspace IDs in the organization. When using modifiedSince, returns only the IDs of workspaces that had changed since the time specified in the modifiedSince parameter. 	 0 	 1 	 Contextual Resource Names
POST	/admin/workspaces/getInfo	Initiate a call to receive metadata for the requested list of workspaces. (Preview) 	 0 	 1 	 Contextual Resource Names
GET	/apps/{appId}	Returns the specified installed app. 	 0 	 1 	 Contextual Resource Names
GET	/apps/{appId}/dashboards/{dashboardId}	Returns the specified dashboard from the specified app. 	 0 	 1 	 Contextual Resource Names
GET	/apps/{appId}/reports/{reportId}	Returns the specified report from the specified app. 	 0 	 1 	 Contextual Resource Names
GET	/apps/{appId}/dashboards/{dashboardId}/tiles/{tileId}	Returns the specified tile within the specified dashboard from the specified app. 	 0 	 1 	 Contextual Resource Names
GET	/apps/{appId}/dashboards/{dashboardId}/tiles	Returns a list of tiles within the specified dashboard from the specified app. 	 0 	 1 	 Contextual Resource Names
GET	/availableFeatures	Returns a list of available features for the user 	 0 	 1 	 Contextual Resource Names
GET	/capacities	Returns a list of capacities the user has access to. 	 0 	 1 	 Contextual Resource Names
GET	/capacities/{capacityId}/refreshables/{refreshableId}	Returns the specified refreshable for the specified capacity the user has access to. 	 0 	 1 	 Contextual Resource Names
GET	/capacities/{capacityId}/Workloads/{workloadName}	Returns the current state of a workload and if the workload is enabled also returns the maximum memory percentage that the workload can consume. 	 0 	 1 	 Contextual Resource Names
GET	/capacities/{capacityId}/Workloads	Returns the current state of the specified capacity workloads, if a workload is enabled also returns the maximum memory percentage that the workload can consume. 	 0 	 1 	 Contextual Resource Names
POST	/AssignToCapacity	Assigns "My Workspace" to the specified capacity. 	 0 	 1 	 Contextual Resource Names
POST	/groups/{groupId}/AssignToCapacity	Assigns the specified workspace to the specified capacity. 	 0 	 1 	 Contextual Resource Names
POST	/groups/{groupId}/dashboards	Creates a new empty dashboard on the specified workspace. 	 0 	 1 	 Contextual Resource Names
