HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET 	 /admin/oauth/access_scopes.json 	 Retrieves a list of access scopes associated to the access token. 	 1 	 0 	 [extension found] 
POST 	 /storefront_access_tokens.json 	 Creates a new StorefrontAccessToken 	 1 	 0 	 [extension found] 
DELETE 	 /storefront_access_tokens/{storefront_access_token_id}.json 	 Deletes an existing storefront access token 	 1 	 0 	 [extension found] 
GET 	 /storefront_access_tokens.json 	 Retrieves a list of storefront access tokens that have been issued 	 1 	 0 	 [extension found] 
GET 	 /reports.json 	 Retrieves a list of reports 	 1 	 0 	 [extension found] 
GET 	 /reports/{report_id}.json 	 Retrieves a single report 	 1 	 0 	 [extension found] 
POST 	 /reports.json 	 Creates a new report 	 1 	 0 	 [extension found] 
PUT 	 /reports/{report_id}.json 	 Updates a report 	 1 	 0 	 [extension found] 
DELETE 	 /reports/{report_id}.json 	 Deletes a report 	 1 	 0 	 [extension found] 
POST 	 /application_charges.json 	 Creates an application charge 	 1 	 0 	 [extension found] 
GET 	 /application_charges/{application_charge_id}.json 	 Retrieves an application charge 	 1 	 0 	 [extension found] 
GET 	 /application_charges.json?since_id=556467234 	 Retrieves a list of application charges 	 1 	 0 	 [extension found] 
POST 	 /application_credits.json 	 Creates an application credit 	 1 	 0 	 [extension found] 
GET 	 /application_credits/{application_credit_id}.json 	 Retrieves a single application credit 	 1 	 0 	 [extension found] 
GET 	 /application_credits.json 	 Retrieves all application credits 	 1 	 0 	 [extension found] 
POST 	 /recurring_application_charges.json 	 Creates a recurring application charge 	 1 	 0 	 [extension found] 
GET 	 /recurring_application_charges/{recurring_application_charge_id}.json 	 Retrieves a single charge 	 1 	 0 	 [extension found] 
GET 	 /recurring_application_charges.json 	 Retrieves a list of recurring application charges 	 1 	 0 	 [extension found] 
DELETE 	 /recurring_application_charges/{recurring_application_charge_id}.json 	 Cancels a recurring application charge 	 1 	 0 	 [extension found] 
PUT 	 /recurring_application_charges/{recurring_application_charge_id}/customize.json?recurring_application_charge[capped_amount]=200 	 Updates the capped amount of a recurring application charge 	 1 	 0 	 [extension found] 
