HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET 	 /admin/oauth/access_scopes.json 	 Retrieves a list of access scopes associated to the access token. 	 0 	 1 	 Self-descriptive End-point
POST 	 /storefront_access_tokens.json 	 Creates a new StorefrontAccessToken 	 0 	 1 	 Self-descriptive End-point
DELETE 	 /storefront_access_tokens/{storefront_access_token_id}.json 	 Deletes an existing storefront access token 	 0 	 1 	 Self-descriptive End-point
GET 	 /storefront_access_tokens.json 	 Retrieves a list of storefront access tokens that have been issued 	 0 	 1 	 Self-descriptive End-point
GET 	 /reports.json 	 Retrieves a list of reports 	 0 	 1 	 Self-descriptive End-point
GET 	 /reports/{report_id}.json 	 Retrieves a single report 	 0 	 1 	 Self-descriptive End-point
POST 	 /reports.json 	 Creates a new report 	 0 	 1 	 Self-descriptive End-point
PUT 	 /reports/{report_id}.json 	 Updates a report 	 0 	 1 	 Self-descriptive End-point
DELETE 	 /reports/{report_id}.json 	 Deletes a report 	 0 	 1 	 Self-descriptive End-point
POST 	 /application_charges.json 	 Creates an application charge 	 0 	 1 	 Self-descriptive End-point
GET 	 /application_charges/{application_charge_id}.json 	 Retrieves an application charge 	 0 	 1 	 Self-descriptive End-point
GET 	 /application_charges.json?since_id=556467234 	 Retrieves a list of application charges 	 0 	 1 	 Self-descriptive End-point
POST 	 /application_credits.json 	 Creates an application credit 	 0 	 1 	 Self-descriptive End-point
GET 	 /application_credits/{application_credit_id}.json 	 Retrieves a single application credit 	 0 	 1 	 Self-descriptive End-point
GET 	 /application_credits.json 	 Retrieves all application credits 	 0 	 1 	 Self-descriptive End-point
POST 	 /recurring_application_charges.json 	 Creates a recurring application charge 	 0 	 1 	 Self-descriptive End-point
GET 	 /recurring_application_charges/{recurring_application_charge_id}.json 	 Retrieves a single charge 	 0 	 1 	 Self-descriptive End-point
GET 	 /recurring_application_charges.json 	 Retrieves a list of recurring application charges 	 0 	 1 	 Self-descriptive End-point
DELETE 	 /recurring_application_charges/{recurring_application_charge_id}.json 	 Cancels a recurring application charge 	 0 	 1 	 Self-descriptive End-point
PUT 	 /recurring_application_charges/{recurring_application_charge_id}/customize.json?recurring_application_charge[capped_amount]=200 	 Updates the capped amount of a recurring application charge 	 0 	 1 	 Self-descriptive End-point
GET 	 /customers.json 	 Retrieves a list of customers 	 0 	 1 	 Self-descriptive End-point
GET 	 /customers/search.json?query=Bob country:United States 	 Searches for customers that match a supplied query 	 0 	 1 	 Self-descriptive End-point
GET 	 /customers/{customer_id}.json 	 Retrieves a single customer 	 0 	 1 	 Self-descriptive End-point
POST 	 /customers.json 	 Creates a customer 	 0 	 1 	 Self-descriptive End-point
PUT 	 /customers/{customer_id}.json 	 Updates a customer 	 0 	 1 	 Self-descriptive End-point
POST 	 /customers/{customer_id}/account_activation_url.json 	 Creates an account activation URL for a customer 	 0 	 1 	 Self-descriptive End-point
POST 	 /customers/{customer_id}/send_invite.json 	 Sends an account invite to a customer 	 0 	 1 	 Self-descriptive End-point
DELETE 	 /customers/{customer_id}.json 	 Deletes a customer. 	 0 	 1 	 Self-descriptive End-point
GET 	 /customers/count.json 	 Retrieves a count of customers 	 0 	 1 	 Self-descriptive End-point
GET 	 /customers/{customer_id}/orders.json 	 Retrieves all orders belonging to a customer 	 0 	 1 	 Self-descriptive End-point
GET 	 /customers/{customer_id}/addresses.json 	 Retrieves a list of addresses for a customer 	 0 	 1 	 Self-descriptive End-point
GET 	 /customers/{customer_id}/addresses/{address_id}.json 	 Retrieves details for a single customer address 	 0 	 1 	 Self-descriptive End-point
POST 	 /customers/{customer_id}/addresses.json 	 Creates a new address for a customer 	 0 	 1 	 Self-descriptive End-point
PUT 	 /customers/{customer_id}/addresses/{address_id}.json 	 Updates an existing customer address 	 0 	 1 	 Self-descriptive End-point
DELETE 	 /customers/{customer_id}/addresses/{address_id}.json 	 Removes an address from a customer’s address list 	 0 	 1 	 Self-descriptive End-point
PUT 	 /customers/{customer_id}/addresses/set.json?address_ids[]=1053317294&operation=destroy 	 Performs bulk operations for multiple customer addresses 	 0 	 1 	 Self-descriptive End-point
PUT 	 /customers/{customer_id}/addresses/{address_id}/default.json 	 Sets the default address for a customer 	 0 	 1 	 Self-descriptive End-point
POST 	 /price_rules/{price_rule_id}/discount_codes.json 	 Creates a discount code 	 0 	 1 	 Self-descriptive End-point
PUT 	 /price_rules/{price_rule_id}/discount_codes/{discount_code_id}.json 	 Updates an existing discount code 	 0 	 1 	 Self-descriptive End-point
GET 	 /price_rules/{price_rule_id}/discount_codes.json 	 Retrieves a list of discount codes 	 0 	 1 	 Self-descriptive End-point
GET 	 /price_rules/{price_rule_id}/discount_codes/{discount_code_id}.json 	 Retrieves a single discount code 	 0 	 1 	 Self-descriptive End-point
GET 	 /discount_codes/lookup.json?code=SUMMERSALE10OFF 	 Retrieves the location of a discount code 	 0 	 1 	 Self-descriptive End-point
GET 	 /discount_codes/count.json 	 Retrieves a count of discount codes for a shop 	 0 	 1 	 Self-descriptive End-point
DELETE 	 /price_rules/{price_rule_id}/discount_codes/{discount_code_id}.json 	 Deletes a discount code 	 0 	 1 	 Self-descriptive End-point
POST 	 /price_rules/{price_rule_id}/batch.json 	 Creates a discount code creation job 	 0 	 1 	 Self-descriptive End-point
GET 	 /price_rules/{price_rule_id}/batch/{batch_id}.json 	 Retrieves a discount code creation job 	 0 	 1 	 Self-descriptive End-point
GET 	 /price_rules/{price_rule_id}/batch/{batch_id}/discount_codes.json 	 Retrieves a list of discount codes for a discount code creation job 	 0 	 1 	 Self-descriptive End-point
POST 	 /price_rules.json 	 Creates a price rule 	 0 	 1 	 Self-descriptive End-point
PUT 	 /price_rules/{price_rule_id}.json 	 Updates an existing a price rule 	 0 	 1 	 Self-descriptive End-point
GET 	 /price_rules.json 	 Retrieves a list of price rules 	 0 	 1 	 Self-descriptive End-point
GET 	 /price_rules/{price_rule_id}.json 	 Retrieves a single price rule 	 0 	 1 	 Self-descriptive End-point
GET 	 /price_rules/count.json 	 Retrieves a count of all price rules 	 0 	 1 	 Self-descriptive End-point
DELETE 	 /price_rules/{price_rule_id}.json 	 Remove an existing PriceRule 	 0 	 1 	 Self-descriptive End-point
GET 	 /events.json 	 Retrieves a list of events 	 0 	 1 	 Self-descriptive End-point
GET 	 /events/{event_id}.json 	 Retrieves a single event 	 0 	 1 	 Self-descriptive End-point
GET 	 /events/count.json?created_at_min=2008-01-10T13:00:00+00:00 	 Retrieves a count of events 	 0 	 1 	 Self-descriptive End-point
GET 	 /webhooks.json 	 Retrieves a list of webhooks 	 1 	 0 	Non-descriptive End-point
GET 	 /webhooks/count.json 	 Receive a count of all Webhooks 	 0 	 1 	 Self-descriptive End-point
GET 	 /webhooks/{webhook_id}.json 	 Receive a single Webhook 	 0 	 1 	 Self-descriptive End-point
POST 	 /webhooks.json 	 Create a new Webhook 	 1 	 0 	Non-descriptive End-point
PUT 	 /webhooks/{webhook_id}.json 	 Modify an existing Webhook 	 0 	 1 	 Self-descriptive End-point
DELETE 	 /webhooks/{webhook_id}.json 	 Remove an existing Webhook 	 0 	 1 	 Self-descriptive End-point
GET 	 /inventory_items.json?ids=808950810,39072856,457924702 	 Retrieves a list of inventory items 	 0 	 1 	 Self-descriptive End-point
GET 	 /inventory_items/{inventory_item_id}.json 	 Retrieves a single inventory item by ID 	 0 	 1 	 Self-descriptive End-point
PUT 	 /inventory_items/{inventory_item_id}.json 	 Updates an existing inventory item 	 0 	 1 	 Self-descriptive End-point
GET 	 /inventory_levels.json 	 Retrieves a list of inventory levels 	 0 	 1 	 Self-descriptive End-point
POST 	 /inventory_levels/adjust.json 	 Adjusts the inventory level of an inventory item at a location 	 0 	 1 	 Self-descriptive End-point
DELETE 	 /inventory_levels.json?inventory_item_id=808950810&location_id=905684977 	 Deletes an inventory level from a location 	 0 	 1 	 Self-descriptive End-point
POST 	 /inventory_levels/connect.json 	 Connects an inventory item to a location 	 0 	 1 	 Self-descriptive End-point
POST 	 /inventory_levels/set.json 	 Sets the inventory level for an inventory item at a location 	 0 	 1 	 Self-descriptive End-point
GET 	 /locations.json 	 Retrieves a list of locations 	 0 	 1 	 Self-descriptive End-point
