HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET 	 /admin/oauth/access_scopes.json 	 Retrieves a list of access scopes associated to the access token. 	 0 	 1 	 Regular methods
POST 	 /storefront_access_tokens.json 	 Creates a new StorefrontAccessToken 	 0 	 1 	  [Pluralized last node with POST method.] 
DELETE 	 /storefront_access_tokens/{storefront_access_token_id}.json 	 Deletes an existing storefront access token 	 0 	 1 	  [Singular last node with PUT|DELETE method.] 
GET 	 /storefront_access_tokens.json 	 Retrieves a list of storefront access tokens that have been issued 	 0 	 1 	 Regular methods
GET 	 /reports.json 	 Retrieves a list of reports 	 0 	 1 	 Regular methods
GET 	 /reports/{report_id}.json 	 Retrieves a single report 	 0 	 1 	 Regular methods
POST 	 /reports.json 	 Creates a new report 	 0 	 1 	  [Pluralized last node with POST method.] 
PUT 	 /reports/{report_id}.json 	 Updates a report 	 0 	 1 	  [Singular last node with PUT|DELETE method.] 
DELETE 	 /reports/{report_id}.json 	 Deletes a report 	 0 	 1 	  [Singular last node with PUT|DELETE method.] 
POST 	 /application_charges.json 	 Creates an application charge 	 0 	 1 	  [Pluralized last node with POST method.] 
GET 	 /application_charges/{application_charge_id}.json 	 Retrieves an application charge 	 0 	 1 	 Regular methods
GET 	 /application_charges.json?since_id=556467234 	 Retrieves a list of application charges 	 0 	 1 	 Regular methods
POST 	 /application_credits.json 	 Creates an application credit 	 0 	 1 	  [Pluralized last node with POST method.] 
GET 	 /application_credits/{application_credit_id}.json 	 Retrieves a single application credit 	 0 	 1 	 Regular methods
GET 	 /application_credits.json 	 Retrieves all application credits 	 0 	 1 	 Regular methods
POST 	 /recurring_application_charges.json 	 Creates a recurring application charge 	 0 	 1 	  [Pluralized last node with POST method.] 
GET 	 /recurring_application_charges/{recurring_application_charge_id}.json 	 Retrieves a single charge 	 0 	 1 	 Regular methods
GET 	 /recurring_application_charges.json 	 Retrieves a list of recurring application charges 	 0 	 1 	 Regular methods
DELETE 	 /recurring_application_charges/{recurring_application_charge_id}.json 	 Cancels a recurring application charge 	 0 	 1 	  [Singular last node with PUT|DELETE method.] 
PUT 	 /recurring_application_charges/{recurring_application_charge_id}/customize.json?recurring_application_charge[capped_amount]=200 	 Updates the capped amount of a recurring application charge 	 0 	 1 	  [Singular last node with PUT|DELETE method.] 
GET 	 /customers.json 	 Retrieves a list of customers 	 0 	 1 	 Regular methods
GET 	 /customers/search.json?query=Bob country:United States 	 Searches for customers that match a supplied query 	 0 	 1 	 Regular methods
