***Anti-Pattern*** 
Count: 1
POST 	/v1/me/library	Pluralized Nodes	 [Singular last node with POST method.] 

***Patterns*** 
Count: 14
GET 	/v1/catalog/{storefront}/albums/{id}	 regular methods.
GET 	/v1/catalog/{storefront}/albums/{id}/{relationship}	 regular methods.
GET 	/v1/catalog/{storefront}/albums/{id}/view/{view}	 regular methods.
GET 	/v1/catalog/{storefront}/albums	 regular methods.
GET 	/v1/catalog/{storefront}/albums	 regular methods.
GET 	/v1/catalog/{storefront}/albums	 regular methods.
GET 	/v1/me/library/albums/{id}	 regular methods.
GET 	/v1/me/library/albums/{id}/{relationship}	 regular methods.
GET 	/v1/me/library/albums	 regular methods.
GET 	/v1/me/library/albums	 regular methods.
GET 	/v1/catalog/{storefront}/artists/{id}	 regular methods.
GET 	/v1/catalog/{storefront}/artists/{id}/{relationship}	 regular methods.
GET 	/v1/catalog/{storefront}/artists/{id}/view/{view}	 regular methods.
GET 	/v1/catalog/{storefront}/artists	 regular methods.
