***Anti-Pattern*** 
Count: 0

***Patterns*** 
Count: 21
v2/applications/{id}	 Contextual Resource Names
v2/artists/{id}	 Contextual Resource Names
v2/artworks/{id}	 Contextual Resource Names
v2/bidders/{id}	 Contextual Resource Names
v2/bidder_positions/{id}	 Contextual Resource Names
v2/bids/{id}	 Contextual Resource Names
v2/collection_items/{id}	 Contextual Resource Names
v2/collections?user_id=USER_ID&private=true	 Contextual Resource Names
v2/edition/{id}	 Contextual Resource Names
v2/fairs/{id}	 Contextual Resource Names
v2/genes/{id}	 Contextual Resource Names
v2/images/{id}	 Contextual Resource Names
v2/partners/{id}	 Contextual Resource Names
v2/profiles/{id}	 Contextual Resource Names
v2/sales	 Contextual Resource Names
v2/search?q=Andy+Warhol	 Contextual Resource Names
v2/shows/{id}	 Contextual Resource Names
v2/status	 Contextual Resource Names
v2/user_details/{id}	 Contextual Resource Names
v2/users/{id}	 Contextual Resource Names
v2/current_user	 Contextual Resource Names
