***Anti-Pattern*** 
Count: 2
/ping	 Contextless Resource Names
/BinRecordValue	 Contextless Resource Names

***Patterns*** 
Count: 94
/pingInStoreReader	 Contextual Resource Names
/viewer	 Contextual Resource Names
/clientConfiguration	 Contextual Resource Names
/node	 Contextual Resource Names
/idFromLegacyId	 Contextual Resource Names
/report	 Contextual Resource Names
/search	 Contextual Resource Names
/paypalFinancingOptions	 Contextual Resource Names
/inStoreLocations	 Contextual Resource Names
/authorizePaymentMethod	 Contextual Resource Names
/authorizePayPalAccount	 Contextual Resource Names
/authorizeVenmoAccount	 Contextual Resource Names
/authorizeCreditCard	 Contextual Resource Names
/captureTransaction	 Contextual Resource Names
/chargeUsBankAccount	 Contextual Resource Names
/chargePayPalAccount	 Contextual Resource Names
/chargeVenmoAccount	 Contextual Resource Names
/chargeCreditCard	 Contextual Resource Names
/vaultPaymentMethod	 Contextual Resource Names
/vaultUsBankAccount	 Contextual Resource Names
/vaultCreditCard	 Contextual Resource Names
/refundTransaction	 Contextual Resource Names
/reverseTransaction	 Contextual Resource Names
/reverseRefund	 Contextual Resource Names
/refundCreditCard	 Contextual Resource Names
/refundUsBankAccount	 Contextual Resource Names
/updateCustomFields	 Contextual Resource Names
/verifyPaymentMethod	 Contextual Resource Names
/verifyCreditCard	 Contextual Resource Names
/verifyUsBankAccount	 Contextual Resource Names
/confirmMicroTransferAmounts	 Contextual Resource Names
/deletePaymentMethodFromVault	 Contextual Resource Names
/createClientToken	 Contextual Resource Names
/createUniversalAccessToken	 Contextual Resource Names
/partialCaptureTransaction	 Contextual Resource Names
/tokenizeCustomActionsPaymentMethod	 Contextual Resource Names
/tokenizeCreditCard	 Contextual Resource Names
/tokenizeCvv	 Contextual Resource Names
/tokenizeNetworkToken	 Contextual Resource Names
/tokenizeSamsungPayCard	 Contextual Resource Names
/tokenizeUsBankAccount	 Contextual Resource Names
/tokenizeUsBankLogin	 Contextual Resource Names
/tokenizePayPalOneTimePayment	 Contextual Resource Names
/createPayPalOneTimePayment	 Contextual Resource Names
/tokenizePayPalBillingAgreement	 Contextual Resource Names
/createPayPalBillingAgreement	 Contextual Resource Names
/createCustomer	 Contextual Resource Names
/updateCustomer	 Contextual Resource Names
/deleteCustomer	 Contextual Resource Names
/updateCreditCardBillingAddress	 Contextual Resource Names
/updateCreditCardCardholderName	 Contextual Resource Names
/updateCreditCardExpirationDate	 Contextual Resource Names
/performThreeDSecureLookup	 Contextual Resource Names
/acceptDispute	 Contextual Resource Names
/finalizeDispute	 Contextual Resource Names
/createDisputeTextEvidence	 Contextual Resource Names
/deleteDisputeEvidence	 Contextual Resource Names
/createDisputeFileEvidence	 Contextual Resource Names
/vaultPayPalBillingAgreement	 Contextual Resource Names
/sandboxSettleTransaction	 Contextual Resource Names
/createInStoreLocation	 Contextual Resource Names
/updateInStoreLocation	 Contextual Resource Names
/pairInStoreReader	 Contextual Resource Names
/updateInStoreReader	 Contextual Resource Names
/requestChargeFromInStoreReader	 Contextual Resource Names
/requestAuthorizeFromInStoreReader	 Contextual Resource Names
/requestCancelFromInStoreReader	 Contextual Resource Names
/requestRefundFromInStoreReader	 Contextual Resource Names
/requestVaultFromInStoreReader	 Contextual Resource Names
/requestTextDisplayFromInStoreReader	 Contextual Resource Names
/requestItemDisplayFromInStoreReader	 Contextual Resource Names
/requestFirmwareUpdateFromInStoreReader	 Contextual Resource Names
/requestSignaturePromptFromInStoreReader	 Contextual Resource Names
/requestConfirmationPromptFromInStoreReader	 Contextual Resource Names
/requestNonPciCardDataFromInStoreReader	 Contextual Resource Names
/requestAmountPromptFromInStoreReader	 Contextual Resource Names
/requestTextPromptFromInStoreReader	 Contextual Resource Names
/createVenmoPaymentContext	 Contextual Resource Names
/updateTransactionAmount	 Contextual Resource Names
/generateExchangeRateQuote	 Contextual Resource Names
/createNonInstantLocalPaymentContext	 Contextual Resource Names
/DisputeEvidence/{id}	 Contextual Resource Names
/DisputeEvidence/{legacyId}	 Contextual Resource Names
/InStoreContextResult/{id}	 Contextual Resource Names
/InStoreReaderOriginDetails	 Contextual Resource Names
/Node/{id}	 Contextual Resource Names
/Payment/{id}	 Contextual Resource Names
/Payment/{legacyId}	 Contextual Resource Names
/PaymentContext	 Contextual Resource Names
/PaymentStatusEvent	 Contextual Resource Names
/AccountCreationStatus	 Contextual Resource Names
/ApplePayStatus	 Contextual Resource Names
/ApplicationBankAccountPurpose	 Contextual Resource Names
/ApplicationStatus	 Contextual Resource Names
