***Anti-Pattern*** 
Count: 0

***Patterns*** 
Count: 15
 /ping 	 Contextual Resource Names
 /pingInStoreReader 	 Contextual Resource Names
 /viewer 	 Contextual Resource Names
 /clientConfiguration 	 Contextual Resource Names
 /node 	 Contextual Resource Names
 /idFromLegacyId 	 Contextual Resource Names
 /report 	 Contextual Resource Names
 /search 	 Contextual Resource Names
 /paypalFinancingOptions 	 Contextual Resource Names
 /inStoreLocations 	 Contextual Resource Names
 /authorizePaymentMethod 	 Contextual Resource Names
 /authorizePayPalAccount 	 Contextual Resource Names
 /authorizeVenmoAccount 	 Contextual Resource Names
 /authorizeCreditCard 	 Contextual Resource Names
 /captureTransaction 	 Contextual Resource Names
