***Anti-Pattern*** 
Count: 52
GET	 /ping 	Non-Filtering Endpoint	Returns the literal string 'pong'.
GET	 /pingInStoreReader 	Non-Filtering Endpoint	Triggers a beep on a connected Reader and returns the Reader information or an error if unable to ping the device.
GET	 /node 	Non-Filtering Endpoint	Fetch any object that extends the Node interface using its ID.
GET	 /idFromLegacyId 	Non-Filtering Endpoint	Get a GraphQL ID from a legacy ID that was returned from an SDK or a legacyId field. Does not verify existence except for payment methods.
GET	 /paypalFinancingOptions 	Non-Filtering Endpoint	Retrieve PayPal financing options that include payment installment plans.
GET	 /inStoreLocations 	Non-Filtering Endpoint	Retrieve a paginated list of all in-store locations.
POST	 /authorizePaymentMethod 	Non-Filtering Endpoint	Authorize an eligible payment method and return a payload that includes details of the resulting transaction.
POST	 /authorizePayPalAccount 	Non-Filtering Endpoint	Authorize an eligible PayPal account and return a payload that includes details of the resulting transaction.
POST	 /authorizeVenmoAccount 	Non-Filtering Endpoint	Authorize an eligible Venmo account and return a payload that includes details of the resulting transaction.
POST	 /authorizeCreditCard 	Non-Filtering Endpoint	Authorize a credit card of any origin and return a payload that includes details of the resulting transaction.
POST	 /captureTransaction 	Non-Filtering Endpoint	Capture an authorized transaction and return a payload that includes details of the transaction.
POST	 /chargeUsBankAccount 	Non-Filtering Endpoint	Charge a US bank account and return a payload that includes details of the resulting transaction. See https://developers.braintreepayments.com/guides/ach/configuration for information on eligibility and setup.
POST	 /chargePayPalAccount 	Non-Filtering Endpoint	Charge a PayPal account and return a payload that includes details of the resulting transaction.
POST	 /chargeVenmoAccount 	Non-Filtering Endpoint	Charge a Venmo account and return a payload that includes details of the resulting transaction. See https://articles.braintreepayments.com/guides/payment-methods/venmo for information on eligibility and setup.
POST	 /chargeCreditCard 	Non-Filtering Endpoint	Charge a credit card of any origin and return a payload that includes details of the resulting transaction.
POST	 /vaultPaymentMethod 	Non-Filtering Endpoint	Vault payment information from a single-use payment method and return a payload that includes a new multi-use payment method. When vaulting a credit card, by default, this mutation will also verify that card before vaulting.
POST	 /vaultUsBankAccount 	Non-Filtering Endpoint	Vault payment information from a single-use US bank account payment method and return a payload that includes a new multi-use payment method.
POST	 /vaultCreditCard 	Non-Filtering Endpoint	Vault payment information from a single-use credit card and return a payload that includes a new multi-use payment method. By default, this mutation will also verify the card before vaulting.
POST	 /refundTransaction 	Non-Filtering Endpoint	Refund a settled transaction and return a payload that includes details of the refund.
POST	 /reverseTransaction 	Non-Filtering Endpoint	Reverse a transaction and return a payload that includes either the voided transaction or a refund.
POST	 /reverseRefund 	Non-Filtering Endpoint	Reverse a refund and return a payload that includes voided refund.
POST	 /refundCreditCard	Non-Filtering Endpoint	Create a detached refund (unassociated with any previous Braintree payment) to a credit card and return a payload that includes details of the refund. We have previously referred to this as issuing a "detached credit," and it is disallowed by default. See the documentation for more information regarding eligibility and configuration.
POST	 /refundUsBankAccount	Non-Filtering Endpoint	Create a detached refund (unassociated with any previous Braintree payment) to a US Bank Account and return a payload that includes details of the refund. We have previously referred to this as issuing a "detached credit," and it is disallowed by default. See the documentation for more information regarding eligibility and configuration.
POST	 /updateCustomFields 	Non-Filtering Endpoint	Update custom fields on a transaction or refund. Custom fields are defined in the Control Panel.
POST	 /deletePaymentMethodFromVault 	Non-Filtering Endpoint	Delete a multi-use payment method from the vault.
POST	 /partialCaptureTransaction 	Non-Filtering Endpoint	Partially capture funds from a transaction that was successfully authorized and return a payload that includes a new transaction with information about the capture. This is available for Venmo and PayPal transactions.
POST	 /tokenizeCustomActionsPaymentMethod 	Non-Filtering Endpoint	Tokenize Custom Actions fields and return a payload that includes a single-use payment method.
POST	 /tokenizeCreditCard 	Non-Filtering Endpoint	Tokenize credit card fields and return a payload that includes a single-use payment method.
POST	 /tokenizeCvv 	Non-Filtering Endpoint	Tokenize a credit card's CVV and return a payload that includes a single-use payment method.
POST	 /tokenizeNetworkToken 	Non-Filtering Endpoint	Tokenize a network tokenized payment instrument and return a payload that includes a single-use payment method.
POST	 /tokenizeSamsungPayCard 	Non-Filtering Endpoint	Tokenize Samsung Pay card fields and return a payload that includes a single-use payment method.
POST	 /tokenizeUsBankAccount 	Non-Filtering Endpoint	Tokenize US bank account fields and return a payload that includes a single-use payment method.
POST	 /tokenizeUsBankLogin 	Non-Filtering Endpoint	Tokenize US bank login fields and return a payload that includes a single-use payment method.
POST	 /tokenizePayPalOneTimePayment 	Non-Filtering Endpoint	Tokenize PayPal One-Time Payment and return a payload that includes a single-use payment method.
POST	 /tokenizePayPalBillingAgreement 	Non-Filtering Endpoint	Tokenize PayPal account and return a payload that includes a single-use payment method.
POST	 /updateCustomer 	Non-Filtering Endpoint	Update a customer's information.
POST	 /deleteCustomer 	Non-Filtering Endpoint	Delete a customer, breaking association between any of the customer's transactions. Will not delete if the customer has existing payment methods.
POST	 /performThreeDSecureLookup 	Non-Filtering Endpoint	Attempt to perform 3D Secure Authentication on credit card payment method. This may consume the payment method and return a new single-use payment method.
POST	 /acceptDispute 	Non-Filtering Endpoint	Accepts a dispute and returns a payload that includes the dispute that was accepted. Only disputes with a status of OPEN can be accepted.
POST	 /finalizeDispute 	Non-Filtering Endpoint	Finalizes a dispute and returns a payload that includes the dispute that was finalized. Only disputes with a status of OPEN can be finalized.
POST	 /createDisputeTextEvidence 	Non-Filtering Endpoint	Creates text evidence to a dispute and returns a payload that includes the evidence that was created. Only disputes with a status of OPEN can have text evidence created for them.
POST	 /deleteDisputeEvidence 	Non-Filtering Endpoint	Deletes evidence from a dispute.
POST	 /updateInStoreLocation 	Non-Filtering Endpoint	Updates an In-Store Location.
POST	 /updateInStoreReader 	Non-Filtering Endpoint	Updates an In-Store Reader.
POST	 /requestFirmwareUpdateFromInStoreReader 	Non-Filtering Endpoint	Request an in-store reader to update to the latest version of software.
POST	 /updateTransactionAmount 	Non-Filtering Endpoint	Updates the authorization amount of the transaction.
POST	 /DisputeEvidence/{id} 	Non-Filtering Endpoint	Evidence provided by a merchant to respond to a dispute.
POST	 /DisputeEvidence/{legacyId} 	Non-Filtering Endpoint	Evidence provided by a merchant to respond to a dispute.
POST	 /InStoreContextResult/{id} 	Non-Filtering Endpoint	Reference object for an in-store request.
POST	 /Node/{id} 	Non-Filtering Endpoint	Relay compatible Node interface.
POST	 /Payment/{id} 	Non-Filtering Endpoint	A merchant-initiated movement of money between the merchant and a customer, by way of a payment method. Payments can represent money moving either from a customer to the merchant by charging a payment method (a Transaction), or from the merchant back to a customer by refunding a previous transaction (a Refund).
POST	 /Payment/{legacyId} 	Non-Filtering Endpoint	A merchant-initiated movement of money between the merchant and a customer, by way of a payment method. Payments can represent money moving either from a customer to the merchant by charging a payment method (a Transaction), or from the merchant back to a customer by refunding a previous transaction (a Refund).

***Patterns*** 
Count: 44
GET	 /viewer 	Filtering Endpoint	The currently authenticated viewer.
GET	 /clientConfiguration 	Filtering Endpoint	The client-side environment and payment method configuration.
GET	 /report 	Filtering Endpoint	A collection of the available reports. Each field on the Report type is a different report that can be queried with its own input parameters.
GET	 /search 	Filtering Endpoint	A collection of the available searches. Each field on the Search type is a different search that can be queried with its own input parameters.
POST	 /verifyPaymentMethod	Filtering Endpoint	Run a verification on a multi-use payment method.
POST	 /verifyCreditCard 	Filtering Endpoint	Run a verification on a multi-use credit card payment method.
POST	 /verifyUsBankAccount 	Filtering Endpoint	Run a verification on a multi-use US bank account payment method.
POST	 /confirmMicroTransferAmounts	Filtering Endpoint	Confirm micro-transfer amounts initiated by vaultUsBankAccount or verifyUsBankAccount, completing the verification process for a US Bank Account via micro-transfer.
POST	 /createClientToken 	Filtering Endpoint	Create a client token that can be used to initialize a client in order to tokenize payment information.
POST	 /createUniversalAccessToken 	Filtering Endpoint	Create a PayPal access token that can be used to make additional API calls or initialize a client.
POST	 /createPayPalOneTimePayment 	Filtering Endpoint	Set up a PayPal One-Time Payment for approval by a PayPal user. See documentation for more information. Your account must be enabled for this feature.
POST	 /createPayPalBillingAgreement 	Filtering Endpoint	Set up a PayPal Billing Agreement Token for approval by a PayPal user.
POST	 /createCustomer 	Filtering Endpoint	Create a customer for storing individual customer information and/or grouping transactions and multi-use payment methods.
POST	 /updateCreditCardBillingAddress 	Filtering Endpoint	Set a new billing address for a multi-use credit card payment method. By default, this mutation will also verify the card with the new billing address before updating.
POST	 /updateCreditCardCardholderName 	Filtering Endpoint	Set a new cardholder name for a multi-use credit card payment method. By default, this mutation will also verify the card with the new cardholder name before updating.
POST	 /updateCreditCardExpirationDate 	Filtering Endpoint	Set a new expiration date for a multi-use credit card payment method. By default, this mutation will also verify the card with the new expiration date before updating.
POST	 /createDisputeFileEvidence 	Filtering Endpoint	Uploads an evidence file and associates it with a dispute. Note:: file upload requires a special request format. See the 'Uploading Files' integration guide for instructions on how to perform this mutation.
POST	 /vaultPayPalBillingAgreement 	Filtering Endpoint	Vault an existing PayPal Billing Agreement that was not created through Braintree. Only use this mutation if you need to import PayPal Billing Agreements from an existing PayPal integration into your Braintree account.
POST	 /sandboxSettleTransaction 	Filtering Endpoint	Force a transaction to settle in the sandbox environment. Generates an error elsewhere.
POST	 /createInStoreLocation 	Filtering Endpoint	Creates a new In-Store Location to associate Readers.
POST	 /pairInStoreReader 	Filtering Endpoint	Pairs a Reader to an account and In-Store Location.
POST	 /requestChargeFromInStoreReader 	Filtering Endpoint	Request an in-store reader to begin the charge flow.
POST	 /requestAuthorizeFromInStoreReader 	Filtering Endpoint	Request an in-store reader to begin the authorize flow. Only supported on payment application versions >= 5.1.0.
POST	 /requestCancelFromInStoreReader 	Filtering Endpoint	Request an in-store reader to cancel the charge flow.
POST	 /requestRefundFromInStoreReader 	Filtering Endpoint	Request an in-store reader to start an unreferenced refund flow.
POST	 /requestVaultFromInStoreReader	Filtering Endpoint	Request an in-store reader to vault a payment method.
POST	 /requestTextDisplayFromInStoreReader 	Filtering Endpoint	Request an in-store reader to display text.
POST	 /requestItemDisplayFromInStoreReader 	Filtering Endpoint	Request an in-store reader to display line items.
POST	 /requestSignaturePromptFromInStoreReader 	Filtering Endpoint	Request an in-store reader to display a signature prompt. Only supported on payment application versions >= 3.3.0.
POST	 /requestConfirmationPromptFromInStoreReader	Filtering Endpoint	Request an in-store reader to display a confirmation prompt. Only supported on payment application versions >= 3.3.0.
POST	 /requestNonPciCardDataFromInStoreReader 	Filtering Endpoint	Request an in-store reader to collect non PCI-scoped card data. Only supported on payment application versions >= 5.2.0.
POST	 /requestAmountPromptFromInStoreReader 	Filtering Endpoint	Request an in-store reader to display an amount prompt. Only supported on payment application versions >= 5.2.0.
POST	 /requestTextPromptFromInStoreReader 	Filtering Endpoint	Request an in-store reader to display a text prompt. Only supported on payment application versions >= 5.2.0.
POST	 /createVenmoPaymentContext 	Filtering Endpoint	Create a Venmo payment context.
POST	 /generateExchangeRateQuote 	Filtering Endpoint	Generate a customized currency exchange rate quote for items on a merchant's page. This allows merchants to advertise products in their customer's currency. Your account must be enabled to use this feature.
POST	 /createNonInstantLocalPaymentContext 	Filtering Endpoint	Creates a non-instant local payment context. Your account must be enabled to use this feature.
POST	 /InStoreReaderOriginDetails 	Filtering Endpoint	Additional information about the payment method supplied by an in-store payment reader.
POST	 /PaymentContext 	Filtering Endpoint	Context associated with a transaction.
POST	 /PaymentStatusEvent 	Filtering Endpoint	Status event in the lifecycle of a payment.
POST	 /AccountCreationStatus 	Filtering Endpoint	The status of the business account creation request.
POST	 /ApplePayStatus 	Filtering Endpoint	The environment being used for Apple Pay.
POST	 /ApplicationBankAccountPurpose 	Filtering Endpoint	The purpose of the merchant application bank account.
POST	 /ApplicationStatus 	Filtering Endpoint	The status of a merchant account application.
POST	 /BinRecordValue 	Filtering Endpoint	A boolean-like value that includes UNKNOWN in the case where the information isn't available.
