***Anti-Pattern*** 
Count: 96

***Patterns*** 
Count: 0
GET	 /ping 	Parameter Adherence	Returns the literal string 'pong'.
GET	 /pingInStoreReader 	Parameter Adherence	Triggers a beep on a connected Reader and returns the Reader information or an error if unable to ping the device.
GET	 /viewer 	Parameter Adherence	The currently authenticated viewer.
GET	 /clientConfiguration 	Parameter Adherence	The client-side environment and payment method configuration.
GET	 /node 	Parameter Adherence	Fetch any object that extends the Node interface using its ID.
GET	 /idFromLegacyId 	Parameter Adherence	Get a GraphQL ID from a legacy ID that was returned from an SDK or a legacyId field. Does not verify existence except for payment methods.
GET	 /report 	Parameter Adherence	A collection of the available reports. Each field on the Report type is a different report that can be queried with its own input parameters.
GET	 /search 	Parameter Adherence	A collection of the available searches. Each field on the Search type is a different search that can be queried with its own input parameters.
GET	 /paypalFinancingOptions 	Parameter Adherence	Retrieve PayPal financing options that include payment installment plans.
GET	 /inStoreLocations 	Parameter Adherence	Retrieve a paginated list of all in-store locations.
POST	 /authorizePaymentMethod 	Parameter Adherence	Authorize an eligible payment method and return a payload that includes details of the resulting transaction.
POST	 /authorizePayPalAccount 	Parameter Adherence	Authorize an eligible PayPal account and return a payload that includes details of the resulting transaction.
POST	 /authorizeVenmoAccount 	Parameter Adherence	Authorize an eligible Venmo account and return a payload that includes details of the resulting transaction.
POST	 /authorizeCreditCard 	Parameter Adherence	Authorize a credit card of any origin and return a payload that includes details of the resulting transaction.
POST	 /captureTransaction 	Parameter Adherence	Capture an authorized transaction and return a payload that includes details of the transaction.
POST	 /chargeUsBankAccount 	Parameter Adherence	Charge a US bank account and return a payload that includes details of the resulting transaction. See https://developers.braintreepayments.com/guides/ach/configuration for information on eligibility and setup.
POST	 /chargePayPalAccount 	Parameter Adherence	Charge a PayPal account and return a payload that includes details of the resulting transaction.
POST	 /chargeVenmoAccount 	Parameter Adherence	Charge a Venmo account and return a payload that includes details of the resulting transaction. See https://articles.braintreepayments.com/guides/payment-methods/venmo for information on eligibility and setup.
POST	 /chargeCreditCard 	Parameter Adherence	Charge a credit card of any origin and return a payload that includes details of the resulting transaction.
POST	 /vaultPaymentMethod 	Parameter Adherence	Vault payment information from a single-use payment method and return a payload that includes a new multi-use payment method. When vaulting a credit card, by default, this mutation will also verify that card before vaulting.
POST	 /vaultUsBankAccount 	Parameter Adherence	Vault payment information from a single-use US bank account payment method and return a payload that includes a new multi-use payment method.
POST	 /vaultCreditCard 	Parameter Adherence	Vault payment information from a single-use credit card and return a payload that includes a new multi-use payment method. By default, this mutation will also verify the card before vaulting.
POST	 /refundTransaction 	Parameter Adherence	Refund a settled transaction and return a payload that includes details of the refund.
POST	 /reverseTransaction 	Parameter Adherence	Reverse a transaction and return a payload that includes either the voided transaction or a refund.
POST	 /reverseRefund 	Parameter Adherence	Reverse a refund and return a payload that includes voided refund.
POST	 /refundCreditCard	Parameter Adherence	Create a detached refund (unassociated with any previous Braintree payment) to a credit card and return a payload that includes details of the refund. We have previously referred to this as issuing a "detached credit," and it is disallowed by default. See the documentation for more information regarding eligibility and configuration.
POST	 /refundUsBankAccount	Parameter Adherence	Create a detached refund (unassociated with any previous Braintree payment) to a US Bank Account and return a payload that includes details of the refund. We have previously referred to this as issuing a "detached credit," and it is disallowed by default. See the documentation for more information regarding eligibility and configuration.
POST	 /updateCustomFields 	Parameter Adherence	Update custom fields on a transaction or refund. Custom fields are defined in the Control Panel.
POST	 /verifyPaymentMethod	Parameter Adherence	Run a verification on a multi-use payment method.
POST	 /verifyCreditCard 	Parameter Adherence	Run a verification on a multi-use credit card payment method.
POST	 /verifyUsBankAccount 	Parameter Adherence	Run a verification on a multi-use US bank account payment method.
POST	 /confirmMicroTransferAmounts	Parameter Adherence	Confirm micro-transfer amounts initiated by vaultUsBankAccount or verifyUsBankAccount, completing the verification process for a US Bank Account via micro-transfer.
POST	 /deletePaymentMethodFromVault 	Parameter Adherence	Delete a multi-use payment method from the vault.
POST	 /createClientToken 	Parameter Adherence	Create a client token that can be used to initialize a client in order to tokenize payment information.
POST	 /createUniversalAccessToken 	Parameter Adherence	Create a PayPal access token that can be used to make additional API calls or initialize a client.
POST	 /partialCaptureTransaction 	Parameter Adherence	Partially capture funds from a transaction that was successfully authorized and return a payload that includes a new transaction with information about the capture. This is available for Venmo and PayPal transactions.
POST	 /tokenizeCustomActionsPaymentMethod 	Parameter Adherence	Tokenize Custom Actions fields and return a payload that includes a single-use payment method.
POST	 /tokenizeCreditCard 	Parameter Adherence	Tokenize credit card fields and return a payload that includes a single-use payment method.
POST	 /tokenizeCvv 	Parameter Adherence	Tokenize a credit card's CVV and return a payload that includes a single-use payment method.
