***Anti-Pattern*** 
Count: 96
/ping 	 No Version Found
/pingInStoreReader 	 No Version Found
/viewer 	 No Version Found
/clientConfiguration 	 No Version Found
/node 	 No Version Found
/idFromLegacyId 	 No Version Found
/report 	 No Version Found
/search 	 No Version Found
/paypalFinancingOptions 	 No Version Found
/inStoreLocations 	 No Version Found
/authorizePaymentMethod 	 No Version Found
/authorizePayPalAccount 	 No Version Found
/authorizeVenmoAccount 	 No Version Found
/authorizeCreditCard 	 No Version Found
/captureTransaction 	 No Version Found
/chargeUsBankAccount 	 No Version Found
/chargePayPalAccount 	 No Version Found
/chargeVenmoAccount 	 No Version Found
/chargeCreditCard 	 No Version Found
/vaultPaymentMethod 	 No Version Found
/vaultUsBankAccount 	 No Version Found
/vaultCreditCard 	 No Version Found
/refundTransaction 	 No Version Found
/reverseTransaction 	 No Version Found
/reverseRefund 	 No Version Found
/refundCreditCard 	 No Version Found
/refundUsBankAccount 	 No Version Found
/updateCustomFields 	 No Version Found
/verifyPaymentMethod 	 No Version Found
/verifyCreditCard 	 No Version Found
/verifyUsBankAccount 	 No Version Found
/confirmMicroTransferAmounts 	 No Version Found
/deletePaymentMethodFromVault 	 No Version Found
/createClientToken 	 No Version Found
/createUniversalAccessToken 	 No Version Found
/partialCaptureTransaction 	 No Version Found
/tokenizeCustomActionsPaymentMethod 	 No Version Found
/tokenizeCreditCard 	 No Version Found
/tokenizeCvv 	 No Version Found
/tokenizeNetworkToken 	 No Version Found
/tokenizeSamsungPayCard 	 No Version Found
/tokenizeUsBankAccount 	 No Version Found
/tokenizeUsBankLogin 	 No Version Found
/tokenizePayPalOneTimePayment 	 No Version Found
/createPayPalOneTimePayment 	 No Version Found
/tokenizePayPalBillingAgreement 	 No Version Found
/createPayPalBillingAgreement 	 No Version Found
/createCustomer 	 No Version Found
/updateCustomer 	 No Version Found
/deleteCustomer 	 No Version Found
/updateCreditCardBillingAddress 	 No Version Found
/updateCreditCardCardholderName 	 No Version Found
/updateCreditCardExpirationDate 	 No Version Found
/performThreeDSecureLookup 	 No Version Found
/acceptDispute 	 No Version Found
/finalizeDispute 	 No Version Found
/createDisputeTextEvidence 	 No Version Found
/deleteDisputeEvidence 	 No Version Found
/createDisputeFileEvidence 	 No Version Found
/vaultPayPalBillingAgreement 	 No Version Found
/sandboxSettleTransaction 	 No Version Found
/createInStoreLocation 	 No Version Found
/updateInStoreLocation 	 No Version Found
/pairInStoreReader 	 No Version Found
/updateInStoreReader 	 No Version Found
/requestChargeFromInStoreReader 	 No Version Found
/requestAuthorizeFromInStoreReader 	 No Version Found
/requestCancelFromInStoreReader 	 No Version Found
/requestRefundFromInStoreReader 	 No Version Found
/requestVaultFromInStoreReader 	 No Version Found
/requestTextDisplayFromInStoreReader 	 No Version Found
/requestItemDisplayFromInStoreReader 	 No Version Found
/requestFirmwareUpdateFromInStoreReader 	 No Version Found
/requestSignaturePromptFromInStoreReader 	 No Version Found
/requestConfirmationPromptFromInStoreReader 	 No Version Found
/requestNonPciCardDataFromInStoreReader 	 No Version Found
/requestAmountPromptFromInStoreReader 	 No Version Found
/requestTextPromptFromInStoreReader 	 No Version Found
/createVenmoPaymentContext 	 No Version Found
/updateTransactionAmount 	 No Version Found
/generateExchangeRateQuote 	 No Version Found
/createNonInstantLocalPaymentContext 	 No Version Found
/DisputeEvidence/{id} 	 No Version Found
/DisputeEvidence/{legacyId} 	 No Version Found
/InStoreContextResult/{id} 	 No Version Found
/InStoreReaderOriginDetails 	 No Version Found
/Node/{id} 	 No Version Found
/Payment/{id} 	 No Version Found
/Payment/{legacyId} 	 No Version Found
/PaymentContext 	 No Version Found
/PaymentStatusEvent 	 No Version Found
/AccountCreationStatus 	 No Version Found
/ApplePayStatus 	 No Version Found
/ApplicationBankAccountPurpose 	 No Version Found
/ApplicationStatus 	 No Version Found
/BinRecordValue 	 No Version Found

***Patterns*** 
Count: 0
