***Anti-Pattern*** 
Count: 13
 /meta 	 Contextless Resource Names
 /rateLimit 	 Contextless Resource Names
 /relay 	 Contextless Resource Names
 /sponsorables 	 Contextless Resource Names
 /abortQueuedMigrations 	 Contextless Resource Names
 /addLabelsToLabelable 	 Contextless Resource Names
 /clearLabelsFromLabelable 	 Contextless Resource Names
 /removeLabelsFromLabelable 	 Contextless Resource Names
 /removeStar 	 Contextless Resource Names
 /rerequestCheckSuite 	 Contextless Resource Names
 /unlockLockable 	 Contextless Resource Names
 /unmarkFileAsViewed 	 Contextless Resource Names
 /updatePatreonSponsorability 	 Contextless Resource Names

***Patterns*** 
Count: 243
 /codeOfConduct 	 Contextual Resource Names
 /codesOfConduct 	 Contextual Resource Names
 /enterprise 	 Contextual Resource Names
 /enterpriseAdministratorInvitation 	 Contextual Resource Names
 /enterpriseAdministratorInvitationByToken 	 Contextual Resource Names
 /license 	 Contextual Resource Names
 /licenses 	 Contextual Resource Names
 /marketplaceCategories 	 Contextual Resource Names
 /marketplaceCategory 	 Contextual Resource Names
 /marketplaceListing 	 Contextual Resource Names
 /marketplaceListings 	 Contextual Resource Names
 /node 	 Contextual Resource Names
 /nodes 	 Contextual Resource Names
 /organization 	 Contextual Resource Names
 /repository 	 Contextual Resource Names
 /repositoryOwner 	 Contextual Resource Names
 /resource 	 Contextual Resource Names
 /search 	 Contextual Resource Names
 /securityAdvisories 	 Contextual Resource Names
 /securityAdvisory 	 Contextual Resource Names
 /securityVulnerabilities 	 Contextual Resource Names
 /topic 	 Contextual Resource Names
 /user 	 Contextual Resource Names
 /viewer 	 Contextual Resource Names
 /abortRepositoryMigration 	 Contextual Resource Names
 /acceptEnterpriseAdministratorInvitation 	 Contextual Resource Names
 /acceptTopicSuggestion 	 Contextual Resource Names
 /addAssigneesToAssignable 	 Contextual Resource Names
 /addComment 	 Contextual Resource Names
 /addDiscussionComment 	 Contextual Resource Names
 /addDiscussionPollVote 	 Contextual Resource Names
 /addEnterpriseOrganizationMember 	 Contextual Resource Names
 /addEnterpriseSupportEntitlement 	 Contextual Resource Names
 /addProjectCard 	 Contextual Resource Names
 /addProjectColumn 	 Contextual Resource Names
 /addProjectV2DraftIssue 	 Contextual Resource Names
 /addProjectV2ItemById 	 Contextual Resource Names
 /addPullRequestReview 	 Contextual Resource Names
 /addPullRequestReviewComment 	 Contextual Resource Names
 /addPullRequestReviewThread 	 Contextual Resource Names
 /addPullRequestReviewThreadReply 	 Contextual Resource Names
 /addReaction 	 Contextual Resource Names
 /addStar 	 Contextual Resource Names
 /addUpvote 	 Contextual Resource Names
 /addVerifiableDomain 	 Contextual Resource Names
 /approveDeployments 	 Contextual Resource Names
 /approveVerifiableDomain 	 Contextual Resource Names
 /archiveProjectV2Item 	 Contextual Resource Names
 /archiveRepository 	 Contextual Resource Names
 /cancelEnterpriseAdminInvitation 	 Contextual Resource Names
 /cancelSponsorship 	 Contextual Resource Names
 /changeUserStatus 	 Contextual Resource Names
 /clearProjectV2ItemFieldValue 	 Contextual Resource Names
 /cloneProject 	 Contextual Resource Names
 /cloneTemplateRepository 	 Contextual Resource Names
 /closeDiscussion 	 Contextual Resource Names
 /closeIssue 	 Contextual Resource Names
 /closePullRequest 	 Contextual Resource Names
 /convertProjectCardNoteToIssue 	 Contextual Resource Names
 /convertPullRequestToDraft 	 Contextual Resource Names
 /copyProjectV2 	 Contextual Resource Names
 /createAttributionInvitation 	 Contextual Resource Names
 /createBranchProtectionRule 	 Contextual Resource Names
 /createCheckRun 	 Contextual Resource Names
 /createCheckSuite 	 Contextual Resource Names
 /createCommitOnBranch 	 Contextual Resource Names
 /createDeployment 	 Contextual Resource Names
 /createDeploymentStatus 	 Contextual Resource Names
 /createDiscussion 	 Contextual Resource Names
 /createEnterpriseOrganization 	 Contextual Resource Names
 /createEnvironment 	 Contextual Resource Names
 /createIpAllowListEntry 	 Contextual Resource Names
 /createIssue 	 Contextual Resource Names
 /createLabel 	 Contextual Resource Names
 /createLinkedBranch 	 Contextual Resource Names
 /createMigrationSource 	 Contextual Resource Names
 /createProject 	 Contextual Resource Names
 /createProjectV2 	 Contextual Resource Names
 /createProjectV2Field 	 Contextual Resource Names
 /createPullRequest 	 Contextual Resource Names
 /createRef 	 Contextual Resource Names
 /createRepository 	 Contextual Resource Names
 /createRepositoryRuleset 	 Contextual Resource Names
 /createSponsorsListing 	 Contextual Resource Names
 /createSponsorsTier 	 Contextual Resource Names
 /createSponsorship 	 Contextual Resource Names
 /createSponsorships 	 Contextual Resource Names
 /createTeamDiscussion 	 Contextual Resource Names
 /createTeamDiscussionComment 	 Contextual Resource Names
 /declineTopicSuggestion 	 Contextual Resource Names
 /deleteBranchProtectionRule 	 Contextual Resource Names
 /deleteDeployment 	 Contextual Resource Names
 /deleteDiscussion 	 Contextual Resource Names
 /deleteDiscussionComment 	 Contextual Resource Names
 /deleteEnvironment 	 Contextual Resource Names
 /deleteIpAllowListEntry 	 Contextual Resource Names
 /deleteIssue 	 Contextual Resource Names
 /deleteIssueComment 	 Contextual Resource Names
 /deleteLabel 	 Contextual Resource Names
 /deleteLinkedBranch 	 Contextual Resource Names
 /deletePackageVersion 	 Contextual Resource Names
 /deleteProject 	 Contextual Resource Names
 /deleteProjectCard 	 Contextual Resource Names
 /deleteProjectColumn 	 Contextual Resource Names
 /deleteProjectV2 	 Contextual Resource Names
 /deleteProjectV2Field 	 Contextual Resource Names
 /deleteProjectV2Item 	 Contextual Resource Names
 /deleteProjectV2Workflow 	 Contextual Resource Names
 /deletePullRequestReview 	 Contextual Resource Names
 /deletePullRequestReviewComment 	 Contextual Resource Names
 /deleteRef 	 Contextual Resource Names
 /deleteRepositoryRuleset 	 Contextual Resource Names
 /deleteTeamDiscussion 	 Contextual Resource Names
 /deleteTeamDiscussionComment 	 Contextual Resource Names
 /deleteVerifiableDomain 	 Contextual Resource Names
 /dequeuePullRequest 	 Contextual Resource Names
 /disablePullRequestAutoMerge 	 Contextual Resource Names
 /dismissPullRequestReview 	 Contextual Resource Names
 /dismissRepositoryVulnerabilityAlert 	 Contextual Resource Names
 /enablePullRequestAutoMerge 	 Contextual Resource Names
 /enqueuePullRequest 	 Contextual Resource Names
 /followOrganization 	 Contextual Resource Names
 /followUser 	 Contextual Resource Names
 /grantEnterpriseOrganizationsMigratorRole 	 Contextual Resource Names
 /grantMigratorRole 	 Contextual Resource Names
 /importProject 	 Contextual Resource Names
 /inviteEnterpriseAdmin 	 Contextual Resource Names
 /linkProjectV2ToRepository 	 Contextual Resource Names
 /linkProjectV2ToTeam 	 Contextual Resource Names
