***Anti-Pattern*** 
Count: 13
/meta	 Non-descriptive End-point
/sponsorables	 Non-descriptive End-point
/addLabelsToLabelable	 Non-descriptive End-point
/clearLabelsFromLabelable	 Non-descriptive End-point
/createRepositoryRuleset	 Non-descriptive End-point
/deleteRepositoryRuleset	 Non-descriptive End-point
/inviteEnterpriseAdmin	 Non-descriptive End-point
/lockLockable	 Non-descriptive End-point
/removeEnterpriseAdmin	 Non-descriptive End-point
/removeLabelsFromLabelable	 Non-descriptive End-point
/unlockLockable	 Non-descriptive End-point
/updatePatreonSponsorability	 Non-descriptive End-point
/updateRepositoryRuleset	 Non-descriptive End-point

***Patterns*** 
Count: 243
/codeOfConduct	 Self-descriptive End-point
/codesOfConduct	 Self-descriptive End-point
/enterprise	 Self-descriptive End-point
/enterpriseAdministratorInvitation	 Self-descriptive End-point
/enterpriseAdministratorInvitationByToken	 Self-descriptive End-point
/license	 Self-descriptive End-point
/licenses	 Self-descriptive End-point
/marketplaceCategories	 Self-descriptive End-point
/marketplaceCategory	 Self-descriptive End-point
/marketplaceListing	 Self-descriptive End-point
/marketplaceListings	 Self-descriptive End-point
/node	 Self-descriptive End-point
/nodes	 Self-descriptive End-point
/organization	 Self-descriptive End-point
/rateLimit	 Self-descriptive End-point
/relay	 Self-descriptive End-point
/repository	 Self-descriptive End-point
/repositoryOwner	 Self-descriptive End-point
/resource	 Self-descriptive End-point
/search	 Self-descriptive End-point
/securityAdvisories	 Self-descriptive End-point
/securityAdvisory	 Self-descriptive End-point
/securityVulnerabilities	 Self-descriptive End-point
/topic	 Self-descriptive End-point
/user	 Self-descriptive End-point
/viewer	 Self-descriptive End-point
/abortQueuedMigrations	 Self-descriptive End-point
/abortRepositoryMigration	 Self-descriptive End-point
/acceptEnterpriseAdministratorInvitation	 Self-descriptive End-point
/acceptTopicSuggestion	 Self-descriptive End-point
/addAssigneesToAssignable	 Self-descriptive End-point
/addComment	 Self-descriptive End-point
/addDiscussionComment	 Self-descriptive End-point
/addDiscussionPollVote	 Self-descriptive End-point
/addEnterpriseOrganizationMember	 Self-descriptive End-point
/addEnterpriseSupportEntitlement	 Self-descriptive End-point
/addProjectCard	 Self-descriptive End-point
/addProjectColumn	 Self-descriptive End-point
/addProjectV2DraftIssue	 Self-descriptive End-point
/addProjectV2ItemById	 Self-descriptive End-point
/addPullRequestReview	 Self-descriptive End-point
/addPullRequestReviewComment	 Self-descriptive End-point
/addPullRequestReviewThread	 Self-descriptive End-point
/addPullRequestReviewThreadReply	 Self-descriptive End-point
/addReaction	 Self-descriptive End-point
/addStar	 Self-descriptive End-point
/addUpvote	 Self-descriptive End-point
/addVerifiableDomain	 Self-descriptive End-point
/approveDeployments	 Self-descriptive End-point
/approveVerifiableDomain	 Self-descriptive End-point
/archiveProjectV2Item	 Self-descriptive End-point
/archiveRepository	 Self-descriptive End-point
/cancelEnterpriseAdminInvitation	 Self-descriptive End-point
/cancelSponsorship	 Self-descriptive End-point
/changeUserStatus	 Self-descriptive End-point
/clearProjectV2ItemFieldValue	 Self-descriptive End-point
/cloneProject	 Self-descriptive End-point
/cloneTemplateRepository	 Self-descriptive End-point
/closeDiscussion	 Self-descriptive End-point
/closeIssue	 Self-descriptive End-point
/closePullRequest	 Self-descriptive End-point
/convertProjectCardNoteToIssue	 Self-descriptive End-point
/convertPullRequestToDraft	 Self-descriptive End-point
/copyProjectV2	 Self-descriptive End-point
/createAttributionInvitation	 Self-descriptive End-point
/createBranchProtectionRule	 Self-descriptive End-point
/createCheckRun	 Self-descriptive End-point
/createCheckSuite	 Self-descriptive End-point
/createCommitOnBranch	 Self-descriptive End-point
/createDeployment	 Self-descriptive End-point
/createDeploymentStatus	 Self-descriptive End-point
/createDiscussion	 Self-descriptive End-point
/createEnterpriseOrganization	 Self-descriptive End-point
/createEnvironment	 Self-descriptive End-point
/createIpAllowListEntry	 Self-descriptive End-point
/createIssue	 Self-descriptive End-point
/createLabel	 Self-descriptive End-point
/createLinkedBranch	 Self-descriptive End-point
/createMigrationSource	 Self-descriptive End-point
/createProject	 Self-descriptive End-point
/createProjectV2	 Self-descriptive End-point
/createProjectV2Field	 Self-descriptive End-point
/createPullRequest	 Self-descriptive End-point
/createRef	 Self-descriptive End-point
/createRepository	 Self-descriptive End-point
/createSponsorsListing	 Self-descriptive End-point
/createSponsorsTier	 Self-descriptive End-point
/createSponsorship	 Self-descriptive End-point
/createSponsorships	 Self-descriptive End-point
/createTeamDiscussion	 Self-descriptive End-point
/createTeamDiscussionComment	 Self-descriptive End-point
/declineTopicSuggestion	 Self-descriptive End-point
/deleteBranchProtectionRule	 Self-descriptive End-point
/deleteDeployment	 Self-descriptive End-point
/deleteDiscussion	 Self-descriptive End-point
/deleteDiscussionComment	 Self-descriptive End-point
/deleteEnvironment	 Self-descriptive End-point
/deleteIpAllowListEntry	 Self-descriptive End-point
/deleteIssue	 Self-descriptive End-point
/deleteIssueComment	 Self-descriptive End-point
/deleteLabel	 Self-descriptive End-point
/deleteLinkedBranch	 Self-descriptive End-point
/deletePackageVersion	 Self-descriptive End-point
/deleteProject	 Self-descriptive End-point
/deleteProjectCard	 Self-descriptive End-point
/deleteProjectColumn	 Self-descriptive End-point
/deleteProjectV2	 Self-descriptive End-point
/deleteProjectV2Field	 Self-descriptive End-point
/deleteProjectV2Item	 Self-descriptive End-point
/deleteProjectV2Workflow	 Self-descriptive End-point
/deletePullRequestReview	 Self-descriptive End-point
/deletePullRequestReviewComment	 Self-descriptive End-point
/deleteRef	 Self-descriptive End-point
/deleteTeamDiscussion	 Self-descriptive End-point
/deleteTeamDiscussionComment	 Self-descriptive End-point
/deleteVerifiableDomain	 Self-descriptive End-point
/dequeuePullRequest	 Self-descriptive End-point
/disablePullRequestAutoMerge	 Self-descriptive End-point
/dismissPullRequestReview	 Self-descriptive End-point
/dismissRepositoryVulnerabilityAlert	 Self-descriptive End-point
/enablePullRequestAutoMerge	 Self-descriptive End-point
/enqueuePullRequest	 Self-descriptive End-point
/followOrganization	 Self-descriptive End-point
/followUser	 Self-descriptive End-point
/grantEnterpriseOrganizationsMigratorRole	 Self-descriptive End-point
/grantMigratorRole	 Self-descriptive End-point
/importProject	 Self-descriptive End-point
/linkProjectV2ToRepository	 Self-descriptive End-point
/linkProjectV2ToTeam	 Self-descriptive End-point
/linkRepositoryToProject	 Self-descriptive End-point
/markDiscussionCommentAsAnswer	 Self-descriptive End-point
/markFileAsViewed	 Self-descriptive End-point
/markProjectV2AsTemplate	 Self-descriptive End-point
/markPullRequestReadyForReview	 Self-descriptive End-point
/mergeBranch	 Self-descriptive End-point
/mergePullRequest	 Self-descriptive End-point
/minimizeComment	 Self-descriptive End-point
/moveProjectCard	 Self-descriptive End-point
/moveProjectColumn	 Self-descriptive End-point
/pinIssue	 Self-descriptive End-point
/publishSponsorsTier	 Self-descriptive End-point
/regenerateEnterpriseIdentityProviderRecoveryCodes	 Self-descriptive End-point
/regenerateVerifiableDomainToken	 Self-descriptive End-point
/rejectDeployments	 Self-descriptive End-point
/removeAssigneesFromAssignable	 Self-descriptive End-point
/removeEnterpriseIdentityProvider	 Self-descriptive End-point
/removeEnterpriseMember	 Self-descriptive End-point
/removeEnterpriseOrganization	 Self-descriptive End-point
/removeEnterpriseSupportEntitlement	 Self-descriptive End-point
/removeOutsideCollaborator	 Self-descriptive End-point
/removeReaction	 Self-descriptive End-point
/removeStar	 Self-descriptive End-point
/removeUpvote	 Self-descriptive End-point
/reopenDiscussion	 Self-descriptive End-point
/reopenIssue	 Self-descriptive End-point
/reopenPullRequest	 Self-descriptive End-point
/requestReviews	 Self-descriptive End-point
/rerequestCheckSuite	 Self-descriptive End-point
/resolveReviewThread	 Self-descriptive End-point
/retireSponsorsTier	 Self-descriptive End-point
/revertPullRequest	 Self-descriptive End-point
/revokeEnterpriseOrganizationsMigratorRole	 Self-descriptive End-point
/revokeMigratorRole	 Self-descriptive End-point
/setEnterpriseIdentityProvider	 Self-descriptive End-point
/setOrganizationInteractionLimit	 Self-descriptive End-point
/setRepositoryInteractionLimit	 Self-descriptive End-point
/setUserInteractionLimit	 Self-descriptive End-point
/startOrganizationMigration	 Self-descriptive End-point
/startRepositoryMigration	 Self-descriptive End-point
/submitPullRequestReview	 Self-descriptive End-point
/transferEnterpriseOrganization	 Self-descriptive End-point
/transferIssue	 Self-descriptive End-point
/unarchiveProjectV2Item	 Self-descriptive End-point
/unarchiveRepository	 Self-descriptive End-point
/unfollowOrganization	 Self-descriptive End-point
/unfollowUser	 Self-descriptive End-point
/unlinkProjectV2FromRepository	 Self-descriptive End-point
/unlinkProjectV2FromTeam	 Self-descriptive End-point
/unlinkRepositoryFromProject	 Self-descriptive End-point
/unmarkDiscussionCommentAsAnswer	 Self-descriptive End-point
/unmarkFileAsViewed	 Self-descriptive End-point
/unmarkIssueAsDuplicate	 Self-descriptive End-point
/unmarkProjectV2AsTemplate	 Self-descriptive End-point
/unminimizeComment	 Self-descriptive End-point
/unpinIssue	 Self-descriptive End-point
/unresolveReviewThread	 Self-descriptive End-point
/unsubscribeFromNotifications	 Self-descriptive End-point
/updateBranchProtectionRule	 Self-descriptive End-point
/updateCheckRun	 Self-descriptive End-point
/updateCheckSuitePreferences	 Self-descriptive End-point
/updateDiscussion	 Self-descriptive End-point
/updateDiscussionComment	 Self-descriptive End-point
/updateEnterpriseAdministratorRole	 Self-descriptive End-point
/updateEnterpriseAllowPrivateRepositoryForkingSetting	 Self-descriptive End-point
/updateEnterpriseDefaultRepositoryPermissionSetting	 Self-descriptive End-point
/updateEnterpriseMembersCanChangeRepositoryVisibilitySetting	 Self-descriptive End-point
/updateEnterpriseMembersCanCreateRepositoriesSetting	 Self-descriptive End-point
/updateEnterpriseMembersCanDeleteIssuesSetting	 Self-descriptive End-point
/updateEnterpriseMembersCanDeleteRepositoriesSetting	 Self-descriptive End-point
/updateEnterpriseMembersCanInviteCollaboratorsSetting	 Self-descriptive End-point
/updateEnterpriseMembersCanMakePurchasesSetting	 Self-descriptive End-point
/updateEnterpriseMembersCanUpdateProtectedBranchesSetting	 Self-descriptive End-point
/updateEnterpriseMembersCanViewDependencyInsightsSetting	 Self-descriptive End-point
/updateEnterpriseOrganizationProjectsSetting	 Self-descriptive End-point
/updateEnterpriseOwnerOrganizationRole	 Self-descriptive End-point
/updateEnterpriseProfile	 Self-descriptive End-point
/updateEnterpriseRepositoryProjectsSetting	 Self-descriptive End-point
/updateEnterpriseTeamDiscussionsSetting	 Self-descriptive End-point
/updateEnterpriseTwoFactorAuthenticationRequiredSetting	 Self-descriptive End-point
/updateEnvironment	 Self-descriptive End-point
/updateIpAllowListEnabledSetting	 Self-descriptive End-point
/updateIpAllowListEntry	 Self-descriptive End-point
/updateIpAllowListForInstalledAppsEnabledSetting	 Self-descriptive End-point
/updateIssue	 Self-descriptive End-point
/updateIssueComment	 Self-descriptive End-point
/updateLabel	 Self-descriptive End-point
/updateNotificationRestrictionSetting	 Self-descriptive End-point
/updateOrganizationAllowPrivateRepositoryForkingSetting	 Self-descriptive End-point
/updateOrganizationWebCommitSignoffSetting	 Self-descriptive End-point
/updateProject	 Self-descriptive End-point
/updateProjectCard	 Self-descriptive End-point
/updateProjectColumn	 Self-descriptive End-point
/updateProjectV2	 Self-descriptive End-point
/updateProjectV2Collaborators	 Self-descriptive End-point
/updateProjectV2DraftIssue	 Self-descriptive End-point
/updateProjectV2ItemFieldValue	 Self-descriptive End-point
/updateProjectV2ItemPosition	 Self-descriptive End-point
/updatePullRequest	 Self-descriptive End-point
/updatePullRequestBranch	 Self-descriptive End-point
/updatePullRequestReview	 Self-descriptive End-point
/updatePullRequestReviewComment	 Self-descriptive End-point
/updateRef	 Self-descriptive End-point
/updateRefs	 Self-descriptive End-point
/updateRepository	 Self-descriptive End-point
/updateRepositoryWebCommitSignoffSetting	 Self-descriptive End-point
/updateSponsorshipPreferences	 Self-descriptive End-point
/updateSubscription	 Self-descriptive End-point
/updateTeamDiscussion	 Self-descriptive End-point
/updateTeamDiscussionComment	 Self-descriptive End-point
/updateTeamReviewAssignment	 Self-descriptive End-point
/updateTeamsRepository	 Self-descriptive End-point
/updateTopics	 Self-descriptive End-point
/verifyVerifiableDomain	 Self-descriptive End-point
