***Anti-Pattern*** 
Count: 1
/auditEventsInstanceAmazonS3Configurations	Amorphous End-point	 [uppercase found] 

***Patterns*** 
Count: 54
/abuseReport/{id}	Tidy End-point	Tidy Endpoint
/abuseReportLabels	Tidy End-point	Tidy Endpoint
/addOnPurchase/{id}	Tidy End-point	Tidy Endpoint
/aiMessages	Tidy End-point	Tidy Endpoint
/auditEventDefinitions	Tidy End-point	Tidy Endpoint
/boardList/{id}	Tidy End-point	Tidy Endpoint
/ciCatalogResource/{id}	Tidy End-point	Tidy Endpoint
/ciCatalogResources/{projectPath}	Tidy End-point	Tidy Endpoint
/ciConfig/{projectPath}	Tidy End-point	Tidy Endpoint
/ciMinutesUsage/{namespaceId}	Tidy End-point	Tidy Endpoint
/ciPipelineStage/{id}	Tidy End-point	Tidy Endpoint
/ciQueueingHistory	Tidy End-point	Tidy Endpoint
/ciVariables	Tidy End-point	Tidy Endpoint
/containerRepository/{id}	Tidy End-point	Tidy Endpoint
/currentLicense	Tidy End-point	Tidy Endpoint
/currentUser	Tidy End-point	Tidy Endpoint
/designManagement	Tidy End-point	Tidy Endpoint
/devopsAdoptionEnabledNamespaces/{displayNamespaceId}	Tidy End-point	Tidy Endpoint
/echo	Tidy End-point	Tidy Endpoint
/epicBoardList/{id}	Tidy End-point	Tidy Endpoint
/explainVulnerabilityPrompt/{vulnerabilityId}	Tidy End-point	Tidy Endpoint
/frecentGroups	Tidy End-point	Tidy Endpoint
/frecentProjects	Tidy End-point	Tidy Endpoint
/geoNode	Tidy End-point	Tidy Endpoint
/gitpodEnabled	Tidy End-point	Tidy Endpoint
/group	Tidy End-point	Tidy Endpoint
groups	Tidy End-point	Tidy Endpoint
/instanceExternalAuditEventDestinations	Tidy End-point	Tidy Endpoint
/instanceGoogleCloudLoggingConfigurations	Tidy End-point	Tidy Endpoint
/instanceSecurityDashboard	Tidy End-point	Tidy Endpoint
/issue/{id}	Tidy End-point	Tidy Endpoint
/issues/{assigneeId}	Tidy End-point	Tidy Endpoint
/iteration/{id}	Tidy End-point	Tidy Endpoint
/jobs	Tidy End-point	Tidy Endpoint
/licenseHistoryEntries	Tidy End-point	Tidy Endpoint
/memberRole/{id}	Tidy End-point	Tidy Endpoint
/memberRolePermissions	Tidy End-point	Tidy Endpoint
/memberRoles/{id}	Tidy End-point	Tidy Endpoint
/mergeRequest/{id}	Tidy End-point	Tidy Endpoint
/metadata	Tidy End-point	Tidy Endpoint
/milestone/{id}	Tidy End-point	Tidy Endpoint
/mlModel/{id}	Tidy End-point	Tidy Endpoint
/namespace	Tidy End-point	Tidy Endpoint
/note/{id}	Tidy End-point	Tidy Endpoint
/organization/{id}	Tidy End-point	Tidy Endpoint
/organizations	Tidy End-point	Tidy Endpoint
/package/{id}	Tidy End-point	Tidy Endpoint
/project/{fullPath}	Tidy End-point	Tidy Endpoint
/projects/{ids}	Tidy End-point	Tidy Endpoint
/queryComplexity	Tidy End-point	Tidy Endpoint
/runner/{id}	Tidy End-point	Tidy Endpoint
/runnerSetup	Tidy End-point	Tidy Endpoint
/runners/{creatorId}	Tidy End-point	Tidy Endpoint
/selfManagedAddOnEligibleUsers	Tidy End-point	Tidy Endpoint
