***Anti-Pattern*** 
Count: 1
-/echo	Non-pertinent Documentation	Testing endpoint to validate the API with.  n/a

***Patterns*** 
Count: 54
-/abuseReport/{id}	Pertinent Documentation	Find an abuse report.  id AbuseReportID! ID of the abuse report.
-/abuseReportLabels	Pertinent Documentation	Abuse report labels.  searchTerm String Search term to find labels with.
-/addOnPurchase/{id}	Pertinent Documentation	Retrieve the active add-on purchase. This query can be used in GitLab SaaS and self-managed environments addOnType	GitlabSubscriptionsAddOnType!	Type of add-on for the add-on purchase. namespaceId	NamespaceID	ID of namespace that the add-on was purchased for.
-/aiMessages	Pertinent Documentation	Find GitLab Duo Chat messages.  requestIds [ID!] Array of request IDs to fetch. roles [AiMessageRole!] Array of roles to fetch.
-/auditEventDefinitions	Pertinent Documentation	Definitions for all audit events available on the instance.  n/a
-/auditEventsInstanceAmazonS3Configurations	Pertinent Documentation	Instance-level Amazon S3 configurations for audit events. n/a
-/boardList/{id}	Pertinent Documentation	Find an issue board list.  id ListID! Global ID of the list.
-/ciCatalogResource/{id}	Pertinent Documentation	A single CI/CD Catalog resource visible to an authorized user.  id CiCatalogResourceID CI/CD Catalog resource global ID.
-/ciCatalogResources/{projectPath}	Pertinent Documentation	All CI/CD Catalog resources under a common namespace, visible to an authorized user.  projectPath ID Project with the namespace catalog.
-/ciConfig/{projectPath}	Pertinent Documentation	Linted and processed contents of a CI config. Should not be requested more than once per request  projectPath ID! Project of the CI config.
-/ciMinutesUsage/{namespaceId}	Pertinent Documentation	Compute usage data for a namespace.  namespaceId NamespaceID Global ID of the Namespace for the monthly compute usage.
-/ciPipelineStage/{id}	Pertinent Documentation	Stage belonging to a CI pipeline. id CiStageID! Global ID of the CI stage.
-/ciQueueingHistory	Pertinent Documentation	Time it took for ci job to be picked up by runner in percentiles. n/a
-/ciVariables	Pertinent Documentation	List of the instanceâ€™s CI/CD variables.  n/a
-/containerRepository/{id}	Pertinent Documentation	Find a container repository.  id ContainerRepositoryID! Global ID of the container repository.
-/currentLicense	Pertinent Documentation	Fields related to the current license.  n/a
-/currentUser	Pertinent Documentation	Get information about current user.  n/a
-/designManagement	Pertinent Documentation	Fields related to design management.  n/a
-/devopsAdoptionEnabledNamespaces/{displayNamespaceId}	Pertinent Documentation	Get configured DevOps adoption namespaces. BETA This endpoint is subject to change without notice.  displayNamespaceId NamespaceID Filter by display namespace.
-/epicBoardList/{id}	Pertinent Documentation	Returns EpicList.  id BoardsEpicListID! Global ID of the list.
-/explainVulnerabilityPrompt/{vulnerabilityId}	Pertinent Documentation	GitLab Duo Vulnerability summary prompt for a specified vulnerability. vulnerabilityId VulnerabilityID! Vulnerability to generate a prompt for.
-/frecentGroups	Pertinent Documentation	A userâ€™s frecently visited groups. n/a
-/frecentProjects	Pertinent Documentation	A userâ€™s frecently visited projects.  n/a
-/geoNode	Pertinent Documentation	Find a Geo node  n/a
-/gitpodEnabled	Pertinent Documentation	Whether Gitpod is enabled in application settings.  n/a
-/group	Pertinent Documentation	Find a group  n/a
-groups	Pertinent Documentation	Find groups.  n/a
-/instanceExternalAuditEventDestinations	Pertinent Documentation	Instance level external audit event destinations.  n/a
-/instanceGoogleCloudLoggingConfigurations	Pertinent Documentation	Instance level google cloud logging configurations.  n/a
-/instanceSecurityDashboard	Pertinent Documentation	Fields related to Instance Security Dashboard. n/a
-/issue/{id}	Pertinent Documentation	Find an issue.  id IssueID! Global ID of the issue.
-/issues/{assigneeId}	Pertinent Documentation	Find issues visible to the current user. At least one filter must be provided. assigneeId String ID of a user assigned to the issues.
-/iteration/{id}	Pertinent Documentation	Find an iteration.  id IterationID! Find an iteration by its ID.
-/jobs	Pertinent Documentation	All jobs on this GitLab instance. Returns an empty result for users without administrator access.  n/a
-/licenseHistoryEntries	Pertinent Documentation	Fields related to entries in the license history.  n/a
-/memberRole/{id}	Pertinent Documentation	Finds a single custom role.  id MemberRoleID Global ID of the member role to look up.
-/memberRolePermissions	Pertinent Documentation	List of all customizable permissions. n/a
-/memberRoles/{id}	Pertinent Documentation	Member roles available for the instance. id MemberRoleID Global ID of the member role to look up.
-/mergeRequest/{id}	Pertinent Documentation	Find a merge request.  id MergeRequestID! Global ID of the merge request.
-/metadata	Pertinent Documentation	Metadata about GitLab.  n/a
-/milestone/{id}	Pertinent Documentation	Find a milestone.  id MilestoneID! Find a milestone by its ID.
-/mlModel/{id}	Pertinent Documentation	Find machine learning models.  id MlModelID! ID of the model.
-/namespace	Pertinent Documentation	Find a namespace. n/a
-/note/{id}	Pertinent Documentation	Find a note.  n/a
-/organization/{id}	Pertinent Documentation	Find an organization.  id OrganizationsOrganizationID! ID of the organization.
-/organizations	Pertinent Documentation	List organizations. n/a
-/package/{id}	Pertinent Documentation	Find a package. This field can only be resolved for one query in any single request. Returns null if a package has no default status.  id PackagesPackageID! Global ID of the package.
-/project/{fullPath}	Pertinent Documentation	Find a project.  fullPath ID! Full path of the project. For example, gitlab-org/gitlab-foss.
-/projects/{ids}	Pertinent Documentation	Find projects visible to the current user.  ids [ID!] Filter projects by IDs
-/queryComplexity	Pertinent Documentation	Information about the complexity of the GraphQL query. n/a
-/runner/{id}	Pertinent Documentation	Find a runner.  id CiRunnerID! Runner ID.
-/runnerSetup	Pertinent Documentation	Runner setup instructions.  n/a
-/runners/{creatorId}	Pertinent Documentation	Get all runners in the GitLab instance (project and shared). Access is restricted to users with administrator access.  creatorId UserID Filter runners by creator ID.
-/selfManagedAddOnEligibleUsers	Pertinent Documentation	Users within the self-managed instance who are eligible for add-ons  n/a
