***Anti-Pattern*** 
Count: 0

***Patterns*** 
Count: 15
POST	 /v2/models 	[Regular Endpoints]	Create models
PATCH	 /v2/models/{model_id}	[Identifier is Enclosed in {} or <> or Starts with :]	You can at any time update the settings, and Preview URLs for your content models from within the schema editor.
DELETE	 /v2/models/{model_id} 	[Identifier is Enclosed in {} or <> or Starts with :]	For each of the content models you have created, you can choose to update, or delete from the schema editor.Deleting a model will also delete all of the content entries.
GET	 /v2/post/{id} 	[Identifier is Enclosed in {} or <> or Starts with :]	For each of the content models you have created, you can choose to update, or delete from the schema editor. Deleting a model will also delete all of the content entries.The post query is what you would use to fetch one entry from the CMS. You can fetch an individual entry by id, or any unique non-localized field defined in your content type.
GET	 /v2/posts/{id} 	[Identifier is Enclosed in {} or <> or Starts with :]	The posts query is what you should use to fetch multiple entries from the CMS.
GET	 /v2/posts/{id}/comments/{id} 	[Identifier is Enclosed in {} or <> or Starts with :]	Imagine posts have a one to many relation with comments. With GraphQL you can query the related comments in the same request. Here we will get all posts, and their comments.
GET	 /v2/posts/{id}/comments/{id} 	[Identifier is Enclosed in {} or <> or Starts with :]	Imagine posts have a one to many relation with comments. With GraphQL you can query the related comments in the same request. Here we will get all posts, and their comments.
GET	 /v2/post/{id}/local/{id} 	[Identifier is Enclosed in {} or <> or Starts with :]	When fetching one or more entry, you can also fetch the localized entries. The default locale is set to en.
GET	 /v2/post/{id}/local/{id} 	[Identifier is Enclosed in {} or <> or Starts with :]	When fetching one or more entry, you can also fetch the localized entries. The default locale is set to en.
GET	 /v2/pages/{id}/pageElements 	[Identifier is Enclosed in {} or <> or Starts with :]	You can at any time update the settings, and Preview URLs for your content models from within the schema editor.
DELETE	 /v2/models/{model_id} 	[Identifier is Enclosed in {} or <> or Starts with :]	For each of the content models you have created, you can choose to update, or delete from the schema editor.Deleting a model will also delete all of the content entries.
GET	 /v2/post/{id} 	[Identifier is Enclosed in {} or <> or Starts with :]	For each of the content models you have created, you can choose to update, or delete from the schema editor. Deleting a model will also delete all of the content entries.The post query is what you would use to fetch one entry from the CMS. You can fetch an individual entry by id, or any unique non-localized field defined in your content type.
GET	 /v2/posts/{id} 	[Identifier is Enclosed in {} or <> or Starts with :]	The posts query is what you should use to fetch multiple entries from the CMS.
GET	 /v2/posts/{id}/comments/{id} 	[Identifier is Enclosed in {} or <> or Starts with :]	Imagine posts have a one to many relation with comments. With GraphQL you can query the related comments in the same request. Here we will get all posts, and their comments.
GET	 /v2/posts/{id}/comments/{id} 	[Identifier is Enclosed in {} or <> or Starts with :]	Imagine posts have a one to many relation with comments. With GraphQL you can query the related comments in the same request. Here we will get all posts, and their comments.
