***Anti-Pattern*** 
Count: 11

***Patterns*** 
Count: 4
POST	 /v2/models 	Parameter Adherence	Create models
PATCH	 /v2/models/{model_id}	Parameter Adherence	You can at any time update the settings, and Preview URLs for your content models from within the schema editor.
DELETE	 /v2/models/{model_id} 	Parameter Adherence	For each of the content models you have created, you can choose to update, or delete from the schema editor.Deleting a model will also delete all of the content entries.
GET	 /v2/post/{id} 	Parameter Adherence	For each of the content models you have created, you can choose to update, or delete from the schema editor. Deleting a model will also delete all of the content entries.The post query is what you would use to fetch one entry from the CMS. You can fetch an individual entry by id, or any unique non-localized field defined in your content type.
GET	 /v2/posts/{id} 	Parameter Adherence	The posts query is what you should use to fetch multiple entries from the CMS.
GET	 /v2/posts/{id}/comments/{id} 	Parameter Adherence	Imagine posts have a one to many relation with comments. With GraphQL you can query the related comments in the same request. Here we will get all posts, and their comments.
GET	 /v2/post/{id}/local/{id} 	Parameter Adherence	When fetching one or more entry, you can also fetch the localized entries. The default locale is set to en.
GET	 /v2/pages/{id}/pageElements 	Parameter Adherence	You can at any time update the settings, and Preview URLs for your content models from within the schema editor.
DELETE	 /v2/models/{model_id} 	Parameter Adherence	For each of the content models you have created, you can choose to update, or delete from the schema editor.Deleting a model will also delete all of the content entries.
GET	 /v2/post/{id} 	Parameter Adherence	For each of the content models you have created, you can choose to update, or delete from the schema editor. Deleting a model will also delete all of the content entries.The post query is what you would use to fetch one entry from the CMS. You can fetch an individual entry by id, or any unique non-localized field defined in your content type.
GET	 /v2/posts/{id} 	Parameter Adherence	The posts query is what you should use to fetch multiple entries from the CMS.
GET	 /v2/posts/{id}/comments/{id} 	Parameter Adherence	Imagine posts have a one to many relation with comments. With GraphQL you can query the related comments in the same request. Here we will get all posts, and their comments.
GET	 /v2/{projectId}/{environment} 	Parameter Adherence	Regular read & write endpoint
GET	 /content/{projectId}/{environment} 	Parameter Adherence	High performance endpoint
GET	 /v2/{projectId}/master 	Parameter Adherence	Each environment has its own API endpoint, with the alias of the environment appended to the URL.
