***Anti-Pattern*** 
Count: 1
GET	/{api-version}/{ig-comment-id}/replies	Inconsistent Documentation	Get a list of IG Comments on the IG Comment; Create an IG Comment on an IG Comment.  n/a

***Patterns*** 
Count: 27
GET	 /{ig-comment-id}?fields={fields} 	Consistent Documentation	Get fields and edges on an IG Comment. n/a
GET	 /oauth/access_token 	Consistent Documentation	To generate an app access token, you need n/a
GET	 /{user-id}/accounts?access_token={user-access-token} 	Consistent Documentation	Page access tokens are used in Graph API calls to manage Pages. To generate a page access token, an admin of the page must grant your app the Page permission or permissions needed. Once granted, you can retrieve the Page access token using a user access token with the required permissions. n/a
GET	 /{app-id}|{client-token} 	Consistent Documentation	Client tokens make Graph API requests on behalf of apps instead of users.  n/a
GET	 /{api-version}/{ig-comment-id} 	Consistent Documentation	Get Instagram comments  {api-version} API version. {ig-comment-id} Required. IG Comment ID.
POST	 /{ig-comment-id}/replies?message={message} 	Consistent Documentation	Replying to a Comment {message} (required) â€” The text to be included in the comment.
POST	 /{ig-media-id}/comments 	Consistent Documentation	Create an IG Comment on an IG Media object  n/a
GET	 /{ig-comment-id}/replies 	Consistent Documentation	Returns a list of IG Comments on an IG Comment.
DELETE	/{ig-comment-id}	Consistent Documentation	Deleting a Comment n/a
GET	 /{api-version}/{instagram-container-id}?fields={fields}&access_token={access-token} 	Consistent Documentation	Get fields and edges on an IG Container.  access_token Required String The app user's User access token. fields Comma-separated list A comma-separated list of fields and edges you want returned. If omitted, default fields will be returned.
GET	 /{api-version}/{ig-hashtag-id}?fields={fields}&access_token={access-token} 	Consistent Documentation	Returns Fields and Edges on an IG Hashtag. access_token Required String The app user's Instagram User Access Token. fields Comma-separated list A comma-separated list of Fields and Edges you want returned. If omitted, default fields will be returned.
GET	 /{api-version}/{ig-media-id}?fields={fields}&access_token={access-token}	Consistent Documentation	Gets fields and edges on IG media.  access_token {access-token} Required. App user's user access token. fields {fields} Comma-separated list of fields you want returned
POST	 {api-version}/{ig-media-id}?comment_enabled={comment-enabled} &access_token={access-token} 	Consistent Documentation	Enable or disable comments on an IG Media. {ig-media-id}: IG Media ID.
GET	 /{api-version}/{ig-user-id} 	Consistent Documentation	Get fields and edges on an Instagram Business or Creator Account. {ig-user-id} IG User ID.
GET	 /{api-version}/{ig-user-id}?fields=business_discovery.username({username}) 	Consistent Documentation	Returns data about another Instagram Business or Creator IG User. Perform this request on the Instagram Business or Creator IG User who is making the query, and identify the targeted business with the username parameter. {username} The username of the Instagram Business or Creator IG User you want to get data about.
GET	 /v9.0/{ig-user-id}/content_publishing_limit?fields={fields}&since={since}&access_token={access-token}	Consistent Documentation	Get the number of times an IG User has published and IG Container within a given time period. Refer to the Content Publishing guide for complete publishing steps. {access-token} Required String The app user's User Access Token. {fields} Comma-separated list A comma-separated list of fields you want returned. If omitted, the quota_usage field will be returned by default. {since} Unix timestamp A Unix timestamp no older than 24 hours.
GET	 {api-version}/{ig-user-id}/insights ?metric={metric} &period={period} &since={since} &until={until} &access_token={access-token}	Consistent Documentation	Returns insights on an IG User. {api-version} API version. {ig-user-id} Required. IG User ID.{access-token} Required String The app user's User Access Token. {metric} Required Comma-separated list A comma-separated list of Metrics you want returned. If requesting multiple metrics, they must all have the same compatible Period. {period} Required String A Period that is compatible with the metrics you are requesting. {since} Unix timestamp Used in conjunction with {until} to define a Range. If you omit since and until, the API defaults to a 2 day range: yesterday through today. Note: The pagination cursors (previous and next) fetch the next time window of results, not the next batch of results within the current time window. {until} Unix timestamp Used in conjunction with {since} to define a Range. If you omit since and until, the API defaults to a 2 day range: yesterday through today. Note: The pagination cursors (previous and next) fetch the next time window of results, not the next batch of results within the current time window.
GET	 /{api-version}//{instagram-container-id} 	Consistent Documentation	Get fields and edges on an IG Container. id Instagram Container ID, represented in code examples as {instagram-container-id}
GET	 /{api-version}//{ig-hashtag-id} 	Consistent Documentation	Returns Fields and Edges on an IG Hashtag.  id The hashtag's ID (included by default). IDs are static and global. name The hashtag's name, without the leading hash symbol.
