***Anti-Pattern*** 
Count: 3
/v2/berry/{id or name}/	Non-standard End-point	 [blank space/tab found] 
/v2/berry-firmness/{id or name}/	Non-standard End-point	 [blank space/tab found] 
v2/berry-flavor/{id or name}/	Non-standard End-point	 [blank space/tab found] 

***Patterns*** 
Count: 21
/v2/count/	Standard End-point	
/v2/next/	Standard End-point	
/v2/previous/	Standard End-point	
/v2/results/	Standard End-point	
/v2/berry/{id}/	Standard End-point	
/v2/berry/{name}/	Standard End-point	
/v2/berry/{growth_time}/	Standard End-point	
/v2/berry/{max_harvest}/	Standard End-point	
/v2/berry/{natural_gift_power}/	Standard End-point	
/v2/berry/{size}/	Standard End-point	
/v2/berry/{smoothness}/	Standard End-point	
/v2/berry/{soil_dryness}/	Standard End-point	
/v2/berry/{firmness}/	Standard End-point	
/v2/berry/{flavors}/	Standard End-point	
/v2/berry/{items}/	Standard End-point	
/v2/berry/{natural_gift_type}/	Standard End-point	
/v2/berry/{potency}/	Standard End-point	
/v2/berry-firmness/{id}/	Standard End-point	
/v2/berry-firmness/{name}/	Standard End-point	
/v2/berry-firmness/{berries}/	Standard End-point	
/v2/berry-firmness/{names}/	Standard End-point	
