***Anti-Pattern*** 
Count: 2
/Link	Amorphous End-point	 [uppercase found] 
/Publication	Amorphous End-point	 [uppercase found] 

***Patterns*** 
Count: 31
/delegateAccessTokenCreate	Tidy End-point	Tidy Endpoint
/storefrontAccessTokenCreate	Tidy End-point	Tidy Endpoint
/storefrontAccessTokenDelete	Tidy End-point	Tidy Endpoint
/AccessScope	Tidy End-point	Tidy Endpoint
/DelegateAccessToken	Tidy End-point	Tidy Endpoint
/StorefrontAccessToken	Tidy End-point	Tidy Endpoint
/shopifyqlQuery	Tidy End-point	Tidy Endpoint
/ErrorPosition	Tidy End-point	Tidy Endpoint
/ParseError	Tidy End-point	Tidy Endpoint
/ParseErrorRange	Tidy End-point	Tidy Endpoint
/PolarisVizDataPoint	Tidy End-point	Tidy Endpoint
/PolarisVizDataSeries	Tidy End-point	Tidy Endpoint
/PolarisVizResponse	Tidy End-point	Tidy Endpoint
/TableData	Tidy End-point	Tidy Endpoint
/TableDataColumn	Tidy End-point	Tidy Endpoint
/TableResponse	Tidy End-point	Tidy Endpoint
/query/{id}	Tidy End-point	Tidy Endpoint
/appByHandle	Tidy End-point	Tidy Endpoint
/appByKey	Tidy End-point	Tidy Endpoint
/appInstallation/{id}	Tidy End-point	Tidy Endpoint
/appInstallations	Tidy End-point	Tidy Endpoint
/currentAppInstallation	Tidy End-point	Tidy Endpoint
/publication/{id}	Tidy End-point	Tidy Endpoint
/publications	Tidy End-point	Tidy Endpoint
/publicationCreate	Tidy End-point	Tidy Endpoint
/publicationDelete{id}	Tidy End-point	Tidy Endpoint
/publicationUpdate	Tidy End-point	Tidy Endpoint
/AppFeedback	Tidy End-point	Tidy Endpoint
/AppInstallation	Tidy End-point	Tidy Endpoint
/FailedRequirement	Tidy End-point	Tidy Endpoint
/ResourceFeedback	Tidy End-point	Tidy Endpoint
