***Anti-Pattern*** 
Count: 1
-/Link	Non-pertinent Documentation	A link to direct users to.

***Patterns*** 
Count: 32
-/delegateAccessTokenCreate	Pertinent Documentation	creating a delegate access token. n/a
-/storefrontAccessTokenCreate	Pertinent Documentation	Creates a storefront access token. An app can have a maximum of 100 active storefront access tokens for each shop. n/a
-/storefrontAccessTokenDelete	Pertinent Documentation	Deletes a storefront access token.  n/a
-/AccessScope	Pertinent Documentation	The permission required to access a Shopify Admin API or Storefront API resource for a shop. Merchants grant access scopes that are requested by applications. n/a
-/DelegateAccessToken	Pertinent Documentation	A token that delegates a set of scopes from the original permission. n/a
-/StorefrontAccessToken	Pertinent Documentation	A token that's used to delegate unauthenticated access scopes to clients that need to access the unauthenticated Storefront API. An app can have a maximum of 100 active storefront access tokens for each shop. n/a
-/shopifyqlQuery	Pertinent Documentation	Returns the results of a ShopifyQL query  n/a
-/ErrorPosition	Pertinent Documentation	Error position information in a ShopifyQL parsing error.  n/a
-/ParseError	Pertinent Documentation	A ShopifyQL parsing error. n/a
-/ParseErrorRange	Pertinent Documentation	A range of ShopifyQL parsing errors. n/a
-/PolarisVizDataPoint	Pertinent Documentation	A PolarisViz data point structure for ShopifyQL query. n/a
-/PolarisVizDataSeries	Pertinent Documentation	The data series used for PolarisViz visualization. n/a
-/PolarisVizResponse	Pertinent Documentation	A PolarisViz response to a ShopifyQL query. n/a
-/TableData	Pertinent Documentation	The result in a tabular format with schema information and formatted and unformatted row data. n/a
-/TableDataColumn	Pertinent Documentation	A nested array representation of the data. An index in an array represents a row number. n/a
-/TableResponse	Pertinent Documentation	The default table response structure for a ShopifyQL query.  n/a
-/query/{id}	Pertinent Documentation	Lookup an App by ID or return the currently authenticated App.  id ID The ID to lookup the App by.
-/appByHandle	Pertinent Documentation	Fetches app by handle. Returns null if the app doesn't exist.
-/appByKey	Pertinent Documentation	Fetches an app by its client ID. Returns null if the app doesn't exist.
-/appInstallation/{id}	Pertinent Documentation	Lookup an AppInstallation by ID or return the AppInstallation for the currently authenticated App. id ID ID used to lookup AppInstallation.
-/appInstallations	Pertinent Documentation	A list of app installations. To use this query, you need to contact Shopify Support to grant your custom app the read_apps access scope. Public apps can't be granted this access scope.
-/currentAppInstallation	Pertinent Documentation	Return the AppInstallation for the currently authenticated App.
-/publication/{id}	Pertinent Documentation	Lookup a publication by ID. id id ID! non-null The ID of the Publication to return.
-/publications	Pertinent Documentation	List of publications.
-/publicationCreate	Pertinent Documentation	Creates a publication.
-/publicationDelete{id}	Pertinent Documentation	Deletes a publication. id ID! required The ID of the publication to delete.
-/publicationUpdate	Pertinent Documentation	Updates a publication.  id ID! required The ID of the publication to update.
-/AppFeedback	Pertinent Documentation	Reports the status of shops and their resources and displays this information within Shopify admin. AppFeedback is used to notify merchants about steps they need to take to set up an app on their store.
-/AppInstallation	Pertinent Documentation	Represents an installed application on a shop.
-/FailedRequirement	Pertinent Documentation	Requirements that must be met before an app can be installed.
-/Publication	Pertinent Documentation	A publication is a group of products and collections that is published to an app.
-/ResourceFeedback	Pertinent Documentation	Represents feedback from apps about a resource, and the steps required to set up the apps on the shop.
