***Anti-Pattern*** 
Count: 1
-/devices/{id}/pass	Non-pertinent Documentation	Check if the password matches.

***Patterns*** 
Count: 19
-/devices	Pertinent Documentation	Creates a new device associated to the user.
-/devices/{id}	Pertinent Documentation	Removes a device associated to the user.
-/devices/{id}/events	Pertinent Documentation	GET device events.
-/devices/{id}/properties	Pertinent Documentation	GET device properties.
-/devices	Pertinent Documentation	Returns the list of devices associated to the user.
-/devices/{id}	Pertinent Documentation	Returns the device requested by the user.
-/devices/{id}	Pertinent Documentation	Removes a device associated to the user
-/devices/{id}/properties/{pid}	Pertinent Documentation	GET device properties values in a range of time
-/devices/{id}/properties	Pertinent Documentation	Update device properties last values
-/devices/{id}/certs	Pertinent Documentation	Creates a new cert associated to a device. The csr is signed and saved in database. The CommonName will be replaced with the device id.
-/devices/{id}/certs/{cid}	Pertinent Documentation	Removes a cert associated to a device
-/devices/{id}/certs	Pertinent Documentation	Returns the list of certs associated to the device
-/devices/{id}/certs/{cid}	Pertinent Documentation	Returns the cert requested by the user
-/devices/{id}/certs/{cid}	Pertinent Documentation	Updates a cert associated to a device. The csr is signed and saved in database. The CommonName will be replaced with the device id.
-/things/{id}/properties	Pertinent Documentation	Creates a new property associated to a thing
-/things/{id}/properties/{pid}/publish	Pertinent Documentation	Publish a property value to MQTT
-/series/batch_query	Pertinent Documentation	Returns the batch of time-series data
-/series/batch_query_raw	Pertinent Documentation	Returns the batch of time-series data raw
-/series/batch_query_raw/lastvalue	Pertinent Documentation	Returns the batch of time-series data raw
