***Anti-Pattern*** 
Count: 9
POST 	/api/getAccess	Pluralized Nodes	Singular last node with POST method
POST 	/bui/addLogComment	Pluralized Nodes	Singular last node with POST method
POST 	/bui/changeStatus/{factory}({persid})	Pluralized Nodes	Singular last node with POST method
POST 	/bui/attmnt	Pluralized Nodes	Singular last node with POST method
POST 	/bui/createChatThread	Pluralized Nodes	Singular last node with POST method
POST 	/bui/addKDComment({id})	Pluralized Nodes	Singular last node with POST method
POST 	/bui/rateDocument({id})	Pluralized Nodes	Singular last node with POST method
POST 	/bui/unLinkSolution({id})	Pluralized Nodes	Singular last node with POST method
POST 	/bui/{factory}	Pluralized Nodes	Singular last node with POST method

***Patterns*** 
Count: 31
GET 	/bui/getBUIAllConfig	 Regular methods
GET 	/bui/getAllowedStatus	 Regular methods
GET 	/bui/getMyTicketDetails({persid})	 Regular methods
GET 	/bui/getTicketsCustomData({persid})	 Regular methods
GET 	/bui/getDefaultCategories	 Regular methods
GET 	/bui/attrInfo	 Regular methods
GET 	/bui/attrCtrl	 Regular methods
GET 	/bui/allFeeds({persid})	 Regular methods
GET 	/bui/getBopSID	 Regular methods
GET 	/bui/attmnt({persid})/$value	 Regular methods
PUT 	/bui/updateStatusForNotification	Singularized Nodes	Singular last node with PUT and DELETE method
PUT 	/bui/updateStatusForAllNotification	Singularized Nodes	Singular last node with PUT and DELETE method
GET 	/bui/getMyResources	 Regular methods
GET 	/bui/getMyActiveChatSession	 Regular methods
GET 	/bui/checkActiveSessions	 Regular methods
GET 	/bui/getChatHistory/{roomName}	 Regular methods
GET 	/bui/getDocument({id})	 Regular methods
GET 	/bui/getKDAttachments({id})	 Regular methods
GET 	/bui/getKDComments({id})	 Regular methods
GET 	/bui/kdLinkInfo({id})	 Regular methods
GET 	/bui/helpAbout	 Regular methods
GET 	/bui/getEEMAuth	 Regular methods
GET 	/bui/{factory}({persid})	 Regular methods
PUT 	/bui/{factory}({persid})	Singularized Nodes	Singular last node with PUT and DELETE method
GET 	/bui/{factory}	 Regular methods
GET 	/gs/mytkt_active	 Regular methods
GET 	/gs/mytkt_inactive	 Regular methods
GET 	/getServiceRequest	 Regular methods
GET 	/pcatSearch	 Regular methods
GET 	/getOfferings	 Regular methods
GET 	/suggestedSolutions	 Regular methods
