***Anti-Pattern*** 
Count: 15
/deployment/resources/virtual data center./<virtual data center.UID>	Non-standard End-point	 [blanck space/tab found] 
/deployment/resources/subnets/<subnetUUID>	Non-standard End-point	 [unknown char found] 
/deployment/resources/subnet/<subnetUUID>/addresses	Non-standard End-point	 [unknown char found] 
/deployment/resources/subnet/<subnetUUID>/addresses	Non-standard End-point	 [unknown char found] 
/deployment/resources/addresses/<addressUUID>	Non-standard End-point	 [unknown char found] 
/deployment/resources/addresses/<addressUUID>	Non-standard End-point	 [unknown char found] 
/deployment/resources/credentials/<credentialUUID>	Non-standard End-point	 [unknown char found] 
/deployment/resources/images/<imageID>	Non-standard End-point	 [unknown char found] 
/deployment/resources/groups/<groupUUID>	Non-standard End-point	 [unknown char found] 
/deployment/resources/groups?isMaster=true	Non-standard End-point	 [unknown char found] 
/deployment/resources/groups/group<UUID>?showNested=true	Non-standard End-point	 [unknown char found] 
/deployment/resources/instances/<instanceUUID>	Non-standard End-point	 [unknown char found] 
/deployment/resources/instances/<instanceUUID>	Non-standard End-point	 [unknown char found] 
/deployment/resources/volumes/<volumeUUID>	Non-standard End-point	 [unknown char found] 
/deployment/resources/instances/<instanceUUID>	Non-standard End-point	 [unknown char found] 

***Patterns*** 
Count: 19
/deployment/resources/instances	Standard End-point	
/deployment/resources/vm_configurations	Standard End-point	
/deployment/resources/vdcs/{uuid}/vm_configurations	Standard End-point	
/deployment/resources/volume_configurations	Standard End-point	
/deployment/resources/vdcs/{uuid}/volume_configurations	Standard End-point	
/deployment/resources/subnets	Standard End-point	
/deployment/resources/addresses	Standard End-point	
/deployment/resources/credentials	Standard End-point	
/deployment/resources/groups	Standard End-point	
/deployment/resources/instances	Standard End-point	
/deployment/resources/addresses	Standard End-point	
/deployment/resources/volumes	Standard End-point	
/deployment/resources/volumes	Standard End-point	
/deployment/resources/instance_snapshots	Standard End-point	
/deployment/resources/acls	Standard End-point	
/audit/resources/audit_config	Standard End-point	
/admin/resources/backup	Standard End-point	
/admin/resources/backup_subcomponents/{id}	Standard End-point	
/admin/resources/chassis_management_modules	Standard End-point	
