***Anti-Pattern*** 
Count: 12
/deployment/resources/virtual data center./<virtual data center.UID>	 Non-descriptive End-point
/deployment/resources/subnets	 Non-descriptive End-point
/deployment/resources/subnets/<subnetUUID>	 Non-descriptive End-point
/deployment/resources/addresses/<addressUUID>	 Non-descriptive End-point
/deployment/resources/addresses/<addressUUID>	 Non-descriptive End-point
/deployment/resources/credentials/<credentialUUID>	 Non-descriptive End-point
/deployment/resources/groups/<groupUUID>	 Non-descriptive End-point
/deployment/resources/groups/group<UUID>?showNested=true	 Non-descriptive End-point
/deployment/resources/instances/<instanceUUID>	 Non-descriptive End-point
/deployment/resources/instances/<instanceUUID>	 Non-descriptive End-point
/deployment/resources/volumes/<volumeUUID>	 Non-descriptive End-point
/deployment/resources/instances/<instanceUUID>	 Non-descriptive End-point

***Patterns*** 
Count: 22
/deployment/resources/instances	 Self-descriptive End-point
/deployment/resources/vm_configurations	 Self-descriptive End-point
/deployment/resources/vdcs/{uuid}/vm_configurations	 Self-descriptive End-point
/deployment/resources/volume_configurations	 Self-descriptive End-point
/deployment/resources/vdcs/{uuid}/volume_configurations	 Self-descriptive End-point
/deployment/resources/addresses	 Self-descriptive End-point
/deployment/resources/subnet/<subnetUUID>/addresses	 Self-descriptive End-point
/deployment/resources/subnet/<subnetUUID>/addresses	 Self-descriptive End-point
/deployment/resources/credentials	 Self-descriptive End-point
/deployment/resources/images/<imageID>	 Self-descriptive End-point
/deployment/resources/groups	 Self-descriptive End-point
/deployment/resources/groups?isMaster=true	 Self-descriptive End-point
/deployment/resources/instances	 Self-descriptive End-point
/deployment/resources/addresses	 Self-descriptive End-point
/deployment/resources/volumes	 Self-descriptive End-point
/deployment/resources/volumes	 Self-descriptive End-point
/deployment/resources/instance_snapshots	 Self-descriptive End-point
/deployment/resources/acls	 Self-descriptive End-point
/audit/resources/audit_config	 Self-descriptive End-point
/admin/resources/backup	 Self-descriptive End-point
/admin/resources/backup_subcomponents/{id}	 Self-descriptive End-point
/admin/resources/chassis_management_modules	 Self-descriptive End-point
