***Anti-Pattern*** 
Count: 1
-/usage/data-traffic	Non-pertinent Documentation	Retrieve the amount of data used. Retrieve the amount of data used.

***Patterns*** 
Count: 56
-/bulk/devices	Pertinent Documentation	List devices. Sorting can be performed on any of the following properties (sort order can be reversed by prefixing the property name with '-'.
-/bulk/devices/add	Pertinent Documentation	Register multiple new devices. Register multiple new devices, each request can contain a maximum of 512 kB. The response body will contain the generated authentication tokens for all devices. You must make sure to record these tokens when processing the response. We are not able to retrieve lost authentication tokens.
-/bulk/devices/remove	Pertinent Documentation	Delete multiple devices. Delete multiple devices, each request can contain a maximum of 512 kB.
-/device/types	Pertinent Documentation	List device types. Sorting can be performed on any of the following properties (sort order can be reversed by prefixing the property name with '-'):
-/device/types	Pertinent Documentation	Create device type.
-/device/types/{typeId}	Pertinent Documentation	Get device type. Gets device type details.
-/device/types/{typeId}	Pertinent Documentation	Update device type. Updates a device type.
-/device/types/{typeId}	Pertinent Documentation	Delete device type. Deletes a device type.
-/device/types/{typeId}/devices	Pertinent Documentation	List devices. Sorting can be performed on any of the following properties (sort order can be reversed by prefixing the property name with '-').
-/device/types/{typeId}/devices	Pertinent Documentation	Add device. Adds a device.
-/device/types/{typeId}/devices/{deviceId}	Pertinent Documentation	Get device. Gets device details.
-/device/types/{typeId}/devices/{deviceId}	Pertinent Documentation	Update device. Updates a device.
-/device/types/{typeId}/devices/{deviceId}	Pertinent Documentation	Remove device. Removes a device.
-/device/types/{typeId}/devices/{deviceId}/devices	Pertinent Documentation	Get devices that are connected through the gateway specified by id {deviceId}. Gets information on devices that are connected through the specified gateway (typeId, deviceId) to Watson IoT Platform.
-/device/types/{typeId}/devices/{deviceId}/edgestatus	Pertinent Documentation	Return the status of containers from an edge node. Return the status of containers from an edge node.
-/device/types/{typeId}/devices/{deviceId}/edgestatus/{serviceId}	Pertinent Documentation	Return the status of containers from an edge node filtering by service. Return the status of containers from an edge node filtering by service.
-/logs/connection	Pertinent Documentation	List device connection log events. List connection log events for a device to aid in diagnosing connectivity problems. The entries record successful connection, unsuccessful connection attempts, intentional disconnection and server-initiated disconnection.
-/service-status	Pertinent Documentation	Retrieve the status of services for an organization. Retrieve the organization-specific status of each of the services offered by Watson IoT Platform.
-/device/types/{typeId}/devices/{deviceId}/diag/logs	Pertinent Documentation	Get all device diagnostic logs. Gets diagnostic logs for a device.
-/device/types/{typeId}/devices/{deviceId}/diag/logs	Pertinent Documentation	Add device diagnostic log information. Adds an entry in the log of diagnostic information for the device. If no date is supplied, the entry is added with the current date and time. The 10 most recent entries will be retained until either the device is deleted or the clear logs API is called.
-/device/types/{typeId}/devices/{deviceId}/diag/logs	Pertinent Documentation	Clear diagnostic log. Clears the diagnostic log for the device.
-/device/types/{typeId}/devices/{deviceId}/diag/logs/{logId}	Pertinent Documentation	Get device diagnostic log. Gets diagnostic log for a device.
-/device/types/{typeId}/devices/{deviceId}/diag/logs/{logId}	Pertinent Documentation	Delete diagnostic log. Delete this diagnostic log for the device.
-/device/types/{typeId}/devices/{deviceId}/diag/errorCodes	Pertinent Documentation	Get device diagnostic error codes. Gets diagnostic error codes for a device.
-/device/types/{typeId}/devices/{deviceId}/diag/errorCodes	Pertinent Documentation	Add diagnostic error code for a device. Adds an error code to the list of error codes for the device. The 10 most recent entries will be retained until either the device is deleted or the clear error codes API is called.
-/device/types/{typeId}/devices/{deviceId}/diag/errorCodes	Pertinent Documentation	Clear error codes. Clears the list of error codes for the device. The list is replaced with a single error code of zero.
-/mgmt/requests	Pertinent Documentation	List device management requests. Gets a list of device management requests, which can be in progress or recently completed. Sorting can be performed on any of the following properties (sort order can be reversed by prefixing the property name with '-'):
-/mgmt/requests	Pertinent Documentation	Initiate a device management request. Initiates a device management request, such as reboot. The request will fail if any of the devices participating in the request are inactive, disabled, blocked by a separate on-going firmware download/update request, or do not support the requested operation.
-/mgmt/requests/{requestId}	Pertinent Documentation	Get device management request. Gets details of a device management request.
-/mgmt/requests/{requestId}	Pertinent Documentation	Clear device management request status. Clears the status of a device management request. You can use this operation to clear the status for a completed request…
