***Anti-Pattern*** 
Count: 1
/me	CRUDy End-point	

***Patterns*** 
Count: 20
/{ig-comment-id}?fields={fields}	Verbless End-point	
/{ig-comment-id}?hide={hide}	Verbless End-point	
/{ig-comment-id}	Verbless End-point	
/oauth/authorize	Verbless End-point	
/oauth/access_token	Verbless End-point	
/access_token	Verbless End-point	
/refresh_access_token	Verbless End-point	
/oauth/authorize	Verbless End-point	
/{media-id}	Verbless End-point	
/{media-id}/children	Verbless End-point	
/{user-id}/media	Verbless End-point	
/{user-id}	Verbless End-point	
/{user-id}/media	Verbless End-point	
/{ig-hashtag-id}	Verbless End-point	
/{ig-media-id}?fields={fields}	Verbless End-point	
/{ig-media-id}?comment_enabled={comment_enabled}	Verbless End-point	
/{ig-media-id}/comments?message={message}	Verbless End-point	
/{ig-media-id}/comments	Verbless End-point	
/{ig-user-id}?fields={fields}	Verbless End-point	
/{page-id}?fields=instagram_business_account	Verbless End-point	
