***Anti-Pattern*** 
Count: 2
 /people/(id:{person ID}) 	 Contextless Resource Names
 /people/(id:{profile ID})?projection=(id,firstName,lastName) 	 Contextless Resource Names

***Patterns*** 
Count: 11
- /me 	Contextual Resource Names
 /salesContracts?q=contractsByMember 	 Contextual Resource Names
 /salesAnalyticsExportJobs/{jobId}?contract={contractUrn} 	 Contextual Resource Names
 /salesAnalyticsExportJobs?action=exportSeatData 	 Contextual Resource Names
 /salesAnalyticsExportJobs?action=exportActivityOutcomeData 	 Contextual Resource Names
 /salesAnalyticsExportJobs?action=exportActivityData 	 Contextual Resource Names
 /salesAccessTokens?q=viewerAndDeveloperApp 	 Contextual Resource Names
 /salesNavigatorProfileAssociations/(instanceId:foo,partner:bar,recordId:baz) 	 Contextual Resource Names
 /salesNavigatorProfileAssociations?ids=List((instanceId:foo,partner:bar,recordId:foo),(instanceId:foo,partner:bar,recordId:bar)) 	 Contextual Resource Names
 /crmDataValidationExportJobs?crmInstanceId={crmInstanceId} 	 Contextual Resource Names
 /crmDataValidationExportJobs/{jobId}?crmInstanceId={crmInstanceId} 	 Contextual Resource Names
