***Anti-Pattern*** 
Count: 0

***Patterns*** 
Count: 13
GET	/me	[Regular Endpoints]	To identify and retrieve the current member's profile based on the access token
GET	/people/(id:{person ID})	[Regular Endpoints]	To retrieve another member's profile, you will need access to the Person ID, available only via certain limited access APIs and subject to member privacy settings.
GET	/people/(id:{profile ID})?projection=(id,firstName,lastName)	[Regular Endpoints]	By default, only the Lite Profile Fields are returned for a profile request. See the Profile Fields document for a full list of supported fields. To request more or less fields, you must have additional permissions that are only granted to select partners. Please refer to the field projections on proper syntax.
GET	/salesContracts?q=contractsByMember	[Regular Endpoints]	Find all contracts where user has an active seat.
GET	/salesAnalyticsExportJobs/{jobId}?contract={contractUrn}	[Identifier is Enclosed in {} or <> or Starts with :]	Fetches the SalesAnalyticsExportJob object corresponding to the job id with the latest status
POST	/salesAnalyticsExportJobs?action=exportSeatData	[Regular Endpoints]	Export data about seat holders. For example, seat holder name, seat status, Social Selling Index scores, total connections. A new SalesAnalyticsExportJob with jobId and status as ENQUEUED will be returned.
POST	/salesAnalyticsExportJobs?action=exportActivityOutcomeData	[Regular Endpoints]	Export results of performed activities. For example InMails accepted and rejected. A new SalesAnalyticsExportJob with jobId and status as ENQUEUED will be returned.
POST	/salesAnalyticsExportJobs?action=exportActivityData	[Regular Endpoints]	Export activities performed by seat holders. For example, saving leads, performing searches, and sending InMail. A new SalesAnalyticsExportJob with jobId and status as ENQUEUED will be returned.
GET	/salesAccessTokens?q=viewerAndDeveloperApp	[Regular Endpoints]	This resource returns a Sales Access Token to be used in Sales Navigator Display Services iframe for creating authenticated iframe session.
GET	/salesNavigatorProfileAssociations/(instanceId:foo,partner:bar,recordId:baz)	[Regular Endpoints]	Fetches the corresponding match when provided with a SalesNavigatorProfileAssociationKey.
GET	/salesNavigatorProfileAssociations?ids=List((instanceId:foo,partner:bar,recordId:foo),(instanceId:foo,partner:bar,recordId:bar))	[Regular Endpoints]	Batch fetches the corresponding match when provided with multiple SalesNavigatorProfileAssociationKeys.
POST	/crmDataValidationExportJobs?crmInstanceId={crmInstanceId}	[Regular Endpoints]	Allows creation of CRM data validation export jobs.
GET	/crmDataValidationExportJobs/{jobId}?crmInstanceId={crmInstanceId}	[Identifier is Enclosed in {} or <> or Starts with :]	Get the CRM data validation export based on the export job id.
