***Anti-Pattern*** 
Count: 2
GET	 /me 	Non-Filtering Endpoint	To identify and retrieve the current member's profile based on the access token
POST	 /crmDataValidationExportJobs?crmInstanceId={crmInstanceId} 	Non-Filtering Endpoint	Allows creation of CRM data validation export jobs.

***Patterns*** 
Count: 11
GET	 /people/(id:{person ID}) 	Filtering Endpoint	To retrieve another member's profile, you will need access to the Person ID, available only via certain limited access APIs and subject to member privacy settings.
GET	 /people/(id:{profile ID})?projection=(id,firstName,lastName) 	Filtering Endpoint	By default, only the Lite Profile Fields are returned for a profile request. See the Profile Fields document for a full list of supported fields. To request more or less fields, you must have additional permissions that are only granted to select partners. Please refer to the field projections on proper syntax.
GET	 /salesContracts?q=contractsByMember 	Filtering Endpoint	Find all contracts where user has an active seat.
GET	 /salesAnalyticsExportJobs/{jobId}?contract={contractUrn} 	Filtering Endpoint	Fetches the SalesAnalyticsExportJob object corresponding to the job id with the latest status
POST	 /salesAnalyticsExportJobs?action=exportSeatData 	Filtering Endpoint	Export data about seat holders. For example, seat holder name, seat status, Social Selling Index scores, total connections. A new SalesAnalyticsExportJob with jobId and status as ENQUEUED will be returned.
POST	 /salesAnalyticsExportJobs?action=exportActivityOutcomeData 	Filtering Endpoint	Export results of performed activities. For example InMails accepted and rejected. A new SalesAnalyticsExportJob with jobId and status as ENQUEUED will be returned.
POST	 /salesAnalyticsExportJobs?action=exportActivityData 	Filtering Endpoint	Export activities performed by seat holders. For example, saving leads, performing searches, and sending InMail. A new SalesAnalyticsExportJob with jobId and status as ENQUEUED will be returned.
GET	 /salesAccessTokens?q=viewerAndDeveloperApp 	Filtering Endpoint	This resource returns a Sales Access Token to be used in Sales Navigator Display Services iframe for creating authenticated iframe session.
GET	 /salesNavigatorProfileAssociations/(instanceId:foo,partner:bar,recordId:baz) 	Filtering Endpoint	Fetches the corresponding match when provided with a SalesNavigatorProfileAssociationKey.
GET	 /salesNavigatorProfileAssociations?ids=List((instanceId:foo,partner:bar,recordId:foo),(instanceId:foo,partner:bar,recordId:bar)) 	Filtering Endpoint	Batch fetches the corresponding match when provided with multiple SalesNavigatorProfileAssociationKeys.
GET	 /crmDataValidationExportJobs/{jobId}?crmInstanceId={crmInstanceId} 	Filtering Endpoint	Get the CRM data validation export based on the export job id.
