***Anti-Pattern*** 
Count: 7
GET	 /me 	Parameter Tunneling	To identify and retrieve the current member's profile based on the access token
GET	 /salesContracts?q=contractsByMember 	Parameter Tunneling	Find all contracts where user has an active seat.
POST	 /salesAnalyticsExportJobs?action=exportSeatData 	Parameter Tunneling	Export data about seat holders. For example, seat holder name, seat status, Social Selling Index scores, total connections. A new SalesAnalyticsExportJob with jobId and status as ENQUEUED will be returned.
POST	 /salesAnalyticsExportJobs?action=exportActivityOutcomeData 	Parameter Tunneling	Export results of performed activities. For example InMails accepted and rejected. A new SalesAnalyticsExportJob with jobId and status as ENQUEUED will be returned.
POST	 /salesAnalyticsExportJobs?action=exportActivityData 	Parameter Tunneling	Export activities performed by seat holders. For example, saving leads, performing searches, and sending InMail. A new SalesAnalyticsExportJob with jobId and status as ENQUEUED will be returned.
GET	 /salesAccessTokens?q=viewerAndDeveloperApp 	Parameter Tunneling	This resource returns a Sales Access Token to be used in Sales Navigator Display Services iframe for creating authenticated iframe session.
POST	 /crmDataValidationExportJobs?crmInstanceId={crmInstanceId} 	Parameter Tunneling	Allows creation of CRM data validation export jobs.

***Patterns*** 
Count: 6
GET	 /people/(id:{person ID}) 	Parameter Adherence	To retrieve another member's profile, you will need access to the Person ID, available only via certain limited access APIs and subject to member privacy settings.
GET	 /people/(id:{profile ID})?projection=(id,firstName,lastName) 	Parameter Adherence	By default, only the Lite Profile Fields are returned for a profile request. See the Profile Fields document for a full list of supported fields. To request more or less fields, you must have additional permissions that are only granted to select partners. Please refer to the field projections on proper syntax.
GET	 /salesAnalyticsExportJobs/{jobId}?contract={contractUrn} 	Parameter Adherence	Fetches the SalesAnalyticsExportJob object corresponding to the job id with the latest status
GET	 /salesNavigatorProfileAssociations/(instanceId:foo,partner:bar,recordId:baz) 	Parameter Adherence	Fetches the corresponding match when provided with a SalesNavigatorProfileAssociationKey.
GET	 /salesNavigatorProfileAssociations?ids=List((instanceId:foo,partner:bar,recordId:foo),(instanceId:foo,partner:bar,recordId:bar)) 	Parameter Adherence	Batch fetches the corresponding match when provided with multiple SalesNavigatorProfileAssociationKeys.
GET	 /crmDataValidationExportJobs/{jobId}?crmInstanceId={crmInstanceId} 	Parameter Adherence	Get the CRM data validation export based on the export job id.
